"m11124","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Disabled","2018","16-34 y.","Full Time","41","0.0160103365597465","0.0109453345796724","0.0210753385398207","1"
"Disabled","2018","16-34 y.","Part Time","43","0.0267125110905766","0.0198112762856585","0.0336137458954948","1"
"Disabled","2018","16-34 y.","Not Working","52","0.0487501223076258","0.0381719235932627","0.059328321021989","1"
"Disabled","2018","35-65 y.","Full Time","453","0.066995749667603","0.0613303089394658","0.0726611903957403","1"
"Disabled","2018","35-65 y.","Part Time","456","0.115201247557716","0.106279282425064","0.124123212690369","1"
"Disabled","2018","35-65 y.","Not Working","706","0.376044899868693","0.356003263152397","0.396086536584989","1"
"Disabled","2018","66 and older","Full Time","10","","","","1"
"Disabled","2018","66 and older","Part Time","93","0.167253146657567","0.135329529928128","0.199176763387007","1"
"Disabled","2018","66 and older","Not Working","1087","0.247379548355192","0.234664721930258","0.260094374780125","1"
"Not disabled","2018","66 and older","Part Time","432","0.832746853342433","0.800823236612993","0.864670470071872","0"
"Not disabled","2018","16-34 y.","Not Working","1540","0.951249877692374","0.940671678978011","0.961828076406737","0"
"Not disabled","2018","16-34 y.","Part Time","2054","0.973287488909423","0.966386254104505","0.980188723714342","0"
"Not disabled","2018","35-65 y.","Part Time","4463","0.884798752442284","0.875876787309631","0.893720717574936","0"
"Not disabled","2018","35-65 y.","Not Working","1538","0.623955100131307","0.603913463415011","0.643996736847603","0"
"Not disabled","2018","66 and older","Full Time","82","0.90449395014096","0.844435730758475","0.964552169523445","0"
"Not disabled","2018","66 and older","Not Working","3337","0.752620451644808","0.739905625219875","0.765335278069742","0"
"Not disabled","2018","16-34 y.","Full Time","2318","0.983989663440254","0.978924661460179","0.989054665420328","0"
"Not disabled","2018","35-65 y.","Full Time","7028","0.933004250332397","0.92733880960426","0.938669691060534","0"
"Disabled","2019","16-34 y.","Full Time","47","0.0290999833233969","0.0220032566636832","0.0361967099831106","1"
"Disabled","2019","16-34 y.","Part Time","30","0.0120811542078636","0.00712296013353597","0.0170393482821913","1"
"Disabled","2019","16-34 y.","Not Working","58","0.0604188151776645","0.0480827045965238","0.0727549257588051","1"
"Disabled","2019","35-65 y.","Full Time","436","0.0660821232416951","0.0606843793873224","0.0714798670960679","1"
"Disabled","2019","35-65 y.","Part Time","432","0.10386069400784","0.0951847915706952","0.112536596444985","1"
"Disabled","2019","35-65 y.","Not Working","690","0.363890449909947","0.344037281334836","0.383743618485058","1"
"Disabled","2019","66 and older","Full Time","20","","","","1"
"Disabled","2019","66 and older","Part Time","86","0.156588314328488","0.127749151109644","0.185427477547332","1"
"Disabled","2019","66 and older","Not Working","1044","0.241752991573151","0.229087935639257","0.254418047507045","1"
"Not disabled","2019","66 and older","Part Time","524","0.843411685671512","0.814572522452668","0.872250848890356","0"
"Not disabled","2019","16-34 y.","Not Working","1375","0.939581184822336","0.927245074241195","0.951917295403476","0"
"Not disabled","2019","66 and older","Full Time","207","0.909975167411372","0.872741904748972","0.947208430073772","0"
"Not disabled","2019","16-34 y.","Part Time","1835","0.987918845792136","0.982960651717809","0.992877039866464","0"
"Not disabled","2019","35-65 y.","Part Time","4318","0.89613930599216","0.887463403555015","0.904815208429305","0"
"Not disabled","2019","35-65 y.","Not Working","1566","0.636109550090053","0.616256381514942","0.655962718665164","0"
"Not disabled","2019","66 and older","Not Working","3346","0.758247008426849","0.745581952492955","0.770912064360743","0"
"Not disabled","2019","16-34 y.","Full Time","2108","0.970900016676603","0.963803290016889","0.977996743336317","0"
"Not disabled","2019","35-65 y.","Full Time","7701","0.933917876758305","0.928520132903932","0.939315620612678","0"
