"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No transfer dependency","2003","vocational + Abi","East Germany","38","0.341768544968112","0.263201678183482","0.420335411752743","0"
"No transfer dependency","2003","higher vocational","West Germany","477","0.474854612508638","0.446890557049508","0.502818667967768","0"
"No transfer dependency","2003","higher vocational","East Germany","179","0.459478918240744","0.413124010658875","0.505833825822612","0"
"No transfer dependency","2003","higher education","West Germany","1252","0.486804457975288","0.469016315603496","0.504592600347079","0"
"Very high transfer dependency","2003","general elemantary","West Germany","44","0.021621040034436","0.0156886736223557","0.0275534064465164","4"
"Very high transfer dependency","2003","general elemantary","East Germany","18","","","","4"
"Very high transfer dependency","2003","middle vocational","West Germany","63","0.0114833262223767","0.00918121235794384","0.0137854400868096","4"
"Very high transfer dependency","2003","middle vocational","East Germany","86","0.0382628613824195","0.0311036056505308","0.0454221171143083","4"
"Very high transfer dependency","2003","vocational + Abi","West Germany","7","","","","4"
"Very high transfer dependency","2003","higher education","East Germany","13","","","","4"
"Very high transfer dependency","2003","in school","West Germany","3","","","","4"
"Very high transfer dependency","2003","in school","East Germany","5","","","","4"
"Very high transfer dependency","2003","inadequately","West Germany","10","","","","4"
"Very high transfer dependency","2003","inadequately","East Germany","2","","","","4"
"Very high transfer dependency","2003","vocational + Abi","East Germany","7","","","","4"
"Very high transfer dependency","2003","higher vocational","West Germany","6","","","","4"
"Very high transfer dependency","2003","higher vocational","East Germany","9","","","","4"
"Very high transfer dependency","2003","higher education","West Germany","11","","","","4"
"Very low transfer dependency","2003","in school","East Germany","122","0.751893784335128","0.684116703243192","0.819670865427064","1"
"Very low transfer dependency","2003","inadequately","West Germany","74","0.22338672959272","0.171548120615619","0.275225338569821","1"
"Very low transfer dependency","2003","inadequately","East Germany","2","","","","1"
"Very low transfer dependency","2003","general elemantary","West Germany","993","0.370335014114512","0.350638549318149","0.390031478910875","1"
"Very low transfer dependency","2003","higher vocational","West Germany","686","0.467105880050046","0.439167052442735","0.495044707657357","1"
"Very low transfer dependency","2003","higher vocational","East Germany","216","0.419714141825184","0.373809732803407","0.465618550846961","1"
"Very low transfer dependency","2003","higher education","West Germany","1676","0.466896201164149","0.449140904026529","0.484651498301769","1"
"Very low transfer dependency","2003","higher education","East Germany","661","0.420922559474096","0.393854813723983","0.44799030522421","1"
"Very low transfer dependency","2003","in school","West Germany","398","0.840114914580795","0.806290277611112","0.873939551550479","1"
"Very low transfer dependency","2003","general elemantary","East Germany","165","0.347918762850679","0.301870107048111","0.393967418653247","1"
"Very low transfer dependency","2003","middle vocational","West Germany","3855","0.40091005368618","0.390320675986935","0.411499431385425","1"
"Very low transfer dependency","2003","middle vocational","East Germany","1124","0.34771761043943","0.32994373509001","0.365491485788849","1"
"Very low transfer dependency","2003","vocational + Abi","West Germany","512","0.429886438252453","0.399340036022077","0.460432840482829","1"
"Very low transfer dependency","2003","vocational + Abi","East Germany","71","0.402055473062588","0.320836497009944","0.483274449115232","1"
"Complete transfer dependency","2004","in school","East Germany","3","","","","5"
"Complete transfer dependency","2004","inadequately","West Germany","5","","","","5"
"Complete transfer dependency","2004","inadequately","East Germany","2","","","","5"
"Complete transfer dependency","2004","general elemantary","West Germany","41","0.0203569409361131","0.0144329905261046","0.0262808913461217","5"
"Complete transfer dependency","2004","in school","West Germany","3","","","","5"
"Complete transfer dependency","2004","general elemantary","East Germany","5","","","","5"
"Complete transfer dependency","2004","higher vocational","West Germany","7","","","","5"
"Complete transfer dependency","2004","higher vocational","East Germany","5","","","","5"
"Complete transfer dependency","2004","higher education","West Germany","12","","","","5"
"Complete transfer dependency","2004","higher education","East Germany","1","","","","5"
"Complete transfer dependency","2004","middle vocational","West Germany","58","0.00966670709190261","0.00751728589957942","0.0118161282842258","5"
"Complete transfer dependency","2004","middle vocational","East Germany","52","0.0319211691633044","0.0252805997637193","0.0385617385628896","5"
"Complete transfer dependency","2004","vocational + Abi","West Germany","11","","","","5"
"Complete transfer dependency","2004","vocational + Abi","East Germany","1","","","","5"
"High transfer dependency","2004","in school","East Germany","5","","","","3"
"High transfer dependency","2004","inadequately","West Germany","15","","","","3"
"High transfer dependency","2004","inadequately","East Germany","3","","","","3"
"High transfer dependency","2004","general elemantary","West Germany","67","0.0293435801935718","0.0222639505479506","0.0364232098391931","3"
"High transfer dependency","2004","in school","West Germany","10","","","","3"
"High transfer dependency","2004","general elemantary","East Germany","27","","","","3"
"High transfer dependency","2004","middle vocational","West Germany","121","0.0163589741250418","0.0135722889516599","0.0191456592984238","3"
"High transfer dependency","2004","middle vocational","East Germany","104","0.0422766360495723","0.0346754595672189","0.0498778125319256","3"
"High transfer dependency","2004","vocational + Abi","West Germany","12","","","","3"
"High transfer dependency","2004","vocational + Abi","East Germany","6","","","","3"
"High transfer dependency","2004","higher vocational","West Germany","11","","","","3"
"High transfer dependency","2004","higher vocational","East Germany","9","","","","3"
"High transfer dependency","2004","higher education","West Germany","21","","","","3"
"High transfer dependency","2004","higher education","East Germany","18","","","","3"
"Low transfer dependency","2004","general elemantary","West Germany","170","0.0753445305157893","0.0642722505079611","0.0864168105236175","2"
"Low transfer dependency","2004","general elemantary","East Germany","52","0.123620123375098","0.0898531260429335","0.157387120707263","2"
"Low transfer dependency","2004","middle vocational","West Germany","423","0.0532742575288035","0.0483406755035589","0.0582078395540481","2"
"Low transfer dependency","2004","inadequately","East Germany","3","","","","2"
"Low transfer dependency","2004","middle vocational","East Germany","330","0.114899986198265","0.102853324198328","0.126946648198203","2"
"Low transfer dependency","2004","in school","West Germany","28","","","","2"
"Low transfer dependency","2004","in school","East Germany","22","","","","2"
"Low transfer dependency","2004","inadequately","West Germany","28","","","","2"
"Low transfer dependency","2004","vocational + Abi","West Germany","57","0.0619286352376215","0.0469899703451092","0.0768673001301337","2"
"Low transfer dependency","2004","higher education","East Germany","74","0.0666375911681401","0.0528726187523313","0.0804025635839489","2"
"Low transfer dependency","2004","vocational + Abi","East Germany","17","","","","2"
"Low transfer dependency","2004","higher vocational","East Germany","31","0.0626707406568241","0.0397090053018366","0.0856324760118116","2"
"Low transfer dependency","2004","higher education","West Germany","75","0.0342578001280347","0.0277436161833637","0.0407719840727057","2"
"Low transfer dependency","2004","higher vocational","West Germany","42","0.0290534326391916","0.0195187475382524","0.0385881177401309","2"
"No transfer dependency","2004","general elemantary","West Germany","950","0.496161304508797","0.47518744145726","0.517135167560333","0"
"No transfer dependency","2004","general elemantary","East Germany","130","0.375588842815734","0.325907499800507","0.425270185830961","0"
"No transfer dependency","2004","middle vocational","West Germany","3560","0.504992097744325","0.494008618990725","0.515975576497925","0"
"No transfer dependency","2004","middle vocational","East Germany","1015","0.437487960066308","0.418748394126163","0.456227526006454","0"
"No transfer dependency","2004","in school","West Germany","3","","","","0"
"No transfer dependency","2004","in school","East Germany","","","","","0"
"No transfer dependency","2004","inadequately","West Germany","69","0.347419908073363","0.285749814023321","0.409090002123404","0"
"No transfer dependency","2004","inadequately","East Germany","5","","","","0"
"No transfer dependency","2004","vocational + Abi","West Germany","373","0.419238826531701","0.388655999644838","0.449821653418565","0"
"No transfer dependency","2004","higher education","East Germany","489","0.482171378029599","0.454592011482285","0.509750744576912","0"
"No transfer dependency","2004","vocational + Abi","East Germany","39","0.316969887477723","0.242508454515293","0.391431320440153","0"
"No transfer dependency","2004","higher vocational","West Germany","462","0.464146560607604","0.435835212945259","0.492457908269949","0"
"No transfer dependency","2004","higher vocational","East Germany","178","0.477975241925118","0.430652003377587","0.525298480472648","0"
"No transfer dependency","2004","higher education","West Germany","1278","0.503654954889527","0.485748563269027","0.521561346510028","0"
"Very high transfer dependency","2004","general elemantary","West Germany","46","0.0286858177899226","0.0216836146498489","0.0356880209299963","4"
"Very high transfer dependency","2004","general elemantary","East Germany","16","","","","4"
"Very high transfer dependency","2004","middle vocational","West Germany","72","0.0130856869935565","0.010589198637245","0.0155821753498679","4"
"Very high transfer dependency","2004","middle vocational","East Germany","108","0.0452132096864766","0.0373645331064708","0.0530618862664824","4"
"Very high transfer dependency","2004","in school","West Germany","6","","","","4"
"Very high transfer dependency","2004","in school","East Germany","10","","","","4"
"Very high transfer dependency","2004","inadequately","West Germany","9","","","","4"
"Very high transfer dependency","2004","inadequately","East Germany","1","","","","4"
"Very high transfer dependency","2004","vocational + Abi","West Germany","5","","","","4"
"Very high transfer dependency","2004","higher education","East Germany","16","","","","4"
"Very high transfer dependency","2004","vocational + Abi","East Germany","9","","","","4"
"Very high transfer dependency","2004","higher vocational","West Germany","6","","","","4"
"Very high transfer dependency","2004","higher vocational","East Germany","6","","","","4"
"Very high transfer dependency","2004","higher education","West Germany","11","","","","4"
"Very low transfer dependency","2004","in school","East Germany","123","0.714198715196121","0.644840819300566","0.783556611091676","1"
"Very low transfer dependency","2004","inadequately","West Germany","103","0.40714208276316","0.343509630727319","0.470774534799001","1"
"Very low transfer dependency","2004","inadequately","East Germany","4","","","","1"
"Very low transfer dependency","2004","general elemantary","West Germany","909","0.350107826055806","0.330098024290799","0.370117627820814","1"
"Very low transfer dependency","2004","in school","West Germany","415","0.841365451143606","0.808159735781295","0.874571166505916","1"
"Very low transfer dependency","2004","general elemantary","East Germany","135","0.329630624927336","0.281405593575871","0.377855656278801","1"
"Very low transfer dependency","2004","middle vocational","West Germany","3726","0.40262227651637","0.391848574264641","0.4133959787681","1"
"Very low transfer dependency","2004","middle vocational","East Germany","1083","0.328201038836073","0.310463220492319","0.345938857179827","1"
"Very low transfer dependency","2004","vocational + Abi","West Germany","542","0.484086411038032","0.453112359232465","0.5150604628436","1"
"Very low transfer dependency","2004","vocational + Abi","East Germany","78","0.393864334940041","0.315672625277487","0.472056044602596","1"
"Very low transfer dependency","2004","higher vocational","West Germany","664","0.48150087910036","0.453135896747846","0.509865861452873","1"
"Very low transfer dependency","2004","higher vocational","East Germany","199","0.417440451755422","0.370721441377108","0.464159462133737","1"
"Very low transfer dependency","2004","higher education","West Germany","1598","0.435424400157214","0.41766750170424","0.453181298610189","1"
"Very low transfer dependency","2004","higher education","East Germany","663","0.418551154226222","0.391322851149986","0.445779457302459","1"
"Complete transfer dependency","2005","in school","East Germany","4","","","","5"
"Complete transfer dependency","2005","inadequately","West Germany","12","","","","5"
"Complete transfer dependency","2005","inadequately","East Germany","3","","","","5"
"Complete transfer dependency","2005","general elemantary","West Germany","44","0.0239674512898512","0.0173271302265055","0.0306077723531969","5"
"Complete transfer dependency","2005","higher vocational","West Germany","3","","","","5"
"Complete transfer dependency","2005","higher vocational","East Germany","1","","","","5"
"Complete transfer dependency","2005","higher education","West Germany","10","","","","5"
"Complete transfer dependency","2005","higher education","East Germany","5","","","","5"
"Complete transfer dependency","2005","in school","West Germany","5","","","","5"
"Complete transfer dependency","2005","general elemantary","East Germany","7","","","","5"
"Complete transfer dependency","2005","middle vocational","West Germany","50","0.00852056711623383","0.00644910427796344","0.0105920299545042","5"
"Complete transfer dependency","2005","middle vocational","East Germany","58","0.0295096144950989","0.0229732409892311","0.0360459880009666","5"
"Complete transfer dependency","2005","vocational + Abi","West Germany","7","","","","5"
"Complete transfer dependency","2005","vocational + Abi","East Germany","2","","","","5"
"High transfer dependency","2005","in school","East Germany","8","","","","3"
"High transfer dependency","2005","inadequately","West Germany","14","","","","3"
"High transfer dependency","2005","inadequately","East Germany","3","","","","3"
"High transfer dependency","2005","general elemantary","West Germany","68","0.0354245632902856","0.0273991694769977","0.0434499571035734","3"
"High transfer dependency","2005","general elemantary","East Germany","25","","","","3"
"High transfer dependency","2005","middle vocational","West Germany","122","0.0179187035861016","0.0149290005427575","0.0209084066294457","3"
"High transfer dependency","2005","middle vocational","East Germany","122","0.0526946650594912","0.0440651221994408","0.0613242079195416","3"
"High transfer dependency","2005","vocational + Abi","West Germany","15","","","","3"
"High transfer dependency","2005","vocational + Abi","East Germany","6","","","","3"
"High transfer dependency","2005","higher vocational","West Germany","10","","","","3"
"High transfer dependency","2005","higher vocational","East Germany","10","","","","3"
"High transfer dependency","2005","higher education","West Germany","26","","","","3"
"High transfer dependency","2005","higher education","East Germany","17","","","","3"
"High transfer dependency","2005","in school","West Germany","10","","","","3"
"Low transfer dependency","2005","general elemantary","West Germany","172","0.0907544543110035","0.0782829004351212","0.103226008186886","2"
"Low transfer dependency","2005","general elemantary","East Germany","39","0.122286517866925","0.0872561961160241","0.157316839617826","2"
"Low transfer dependency","2005","middle vocational","West Germany","394","0.0497979311215005","0.04489546414677","0.054700398096231","2"
"Low transfer dependency","2005","inadequately","East Germany","1","","","","2"
"Low transfer dependency","2005","middle vocational","East Germany","322","0.130518419161619","0.117506972972386","0.143529865350851","2"
"Low transfer dependency","2005","in school","West Germany","39","0.0817563762099636","0.0576678808205217","0.105844871599405","2"
"Low transfer dependency","2005","in school","East Germany","17","","","","2"
"Low transfer dependency","2005","inadequately","West Germany","34","0.172151702262176","0.122492167724723","0.221811236799629","2"
"Low transfer dependency","2005","vocational + Abi","West Germany","61","0.0566703289859288","0.0420596577243691","0.0712810002474885","2"
"Low transfer dependency","2005","higher vocational","West Germany","55","0.0483172352301171","0.0358530183127853","0.0607814521474488","2"
"Low transfer dependency","2005","higher education","East Germany","85","0.0638473925512695","0.0501956639545942","0.0774991211479448","2"
"Low transfer dependency","2005","higher vocational","East Germany","37","0.0943161020544929","0.0661967513832397","0.122435452725746","2"
"Low transfer dependency","2005","higher education","West Germany","79","0.0344547685669288","0.0277887789880937","0.0411207581457639","2"
"Low transfer dependency","2005","vocational + Abi","East Germany","18","","","","2"
"No transfer dependency","2005","general elemantary","West Germany","885","0.461474710299837","0.439831433905275","0.4831179866944","0"
"No transfer dependency","2005","general elemantary","East Germany","114","0.37413479826809","0.322394025963422","0.425875570572758","0"
"No transfer dependency","2005","middle vocational","West Germany","3476","0.505880244597885","0.494612395824888","0.517148093370882","0"
"No transfer dependency","2005","middle vocational","East Germany","998","0.424887556495836","0.405794614083247","0.443980498908424","0"
"No transfer dependency","2005","inadequately","East Germany","4","","","","0"
"No transfer dependency","2005","vocational + Abi","West Germany","375","0.408307191577349","0.377247136962634","0.439367246192065","0"
"No transfer dependency","2005","higher education","East Germany","507","0.498859988191209","0.470940232572235","0.526779743810183","0"
"No transfer dependency","2005","in school","West Germany","7","","","","0"
"No transfer dependency","2005","vocational + Abi","East Germany","37","0.295632874455897","0.22447950846588","0.366786240445914","0"
"No transfer dependency","2005","higher vocational","West Germany","460","0.461801454505145","0.432823564020894","0.490779344989396","0"
"No transfer dependency","2005","higher vocational","East Germany","175","0.442310749781378","0.394526593015008","0.490094906547748","0"
"No transfer dependency","2005","higher education","West Germany","1250","0.497927089337252","0.479653665721678","0.516200512952825","0"
"No transfer dependency","2005","inadequately","West Germany","58","0.289686414311587","0.230015769835988","0.349357058787186","0"
"No transfer dependency","2005","in school","East Germany","","","","","0"
"Very high transfer dependency","2005","general elemantary","West Germany","44","0.0214204875692432","0.0151347139388424","0.027706261199644","4"
"Very high transfer dependency","2005","general elemantary","East Germany","21","","","","4"
"Very high transfer dependency","2005","middle vocational","West Germany","90","0.0166262695880223","0.0137445099712554","0.0195080292047893","4"
"Very high transfer dependency","2005","middle vocational","East Germany","90","0.0449770774342513","0.0369720654179407","0.0529820894505618","4"
"Very high transfer dependency","2005","inadequately","East Germany","4","","","","4"
"Very high transfer dependency","2005","vocational + Abi","West Germany","5","","","","4"
"Very high transfer dependency","2005","higher education","East Germany","10","","","","4"
"Very high transfer dependency","2005","in school","West Germany","5","","","","4"
"Very high transfer dependency","2005","in school","East Germany","12","","","","4"
"Very high transfer dependency","2005","inadequately","West Germany","16","","","","4"
"Very high transfer dependency","2005","vocational + Abi","East Germany","11","","","","4"
"Very high transfer dependency","2005","higher vocational","West Germany","9","","","","4"
"Very high transfer dependency","2005","higher vocational","East Germany","3","","","","4"
"Very high transfer dependency","2005","higher education","West Germany","14","","","","4"
"Very low transfer dependency","2005","in school","East Germany","103","0.604025019335669","0.524146835468992","0.683903203202345","1"
"Very low transfer dependency","2005","inadequately","West Germany","88","0.35960065270383","0.296474796779757","0.422726508627903","1"
"Very low transfer dependency","2005","inadequately","East Germany","2","","","","1"
"Very low transfer dependency","2005","general elemantary","West Germany","825","0.366958333239779","0.346033089445471","0.387883577034088","1"
"Very low transfer dependency","2005","in school","West Germany","431","0.839728431967614","0.807475621192533","0.871981242742695","1"
"Very low transfer dependency","2005","general elemantary","East Germany","130","0.326933093710449","0.276775463054055","0.377090724366843","1"
"Very low transfer dependency","2005","middle vocational","West Germany","3431","0.401256283990257","0.39020958682367","0.412302981156844","1"
"Very low transfer dependency","2005","middle vocational","East Germany","985","0.317412667353704","0.299434280803538","0.33539105390387","1"
"Very low transfer dependency","2005","vocational + Abi","West Germany","499","0.501631971834585","0.470036252597492","0.533227691071678","1"
"Very low transfer dependency","2005","vocational + Abi","East Germany","84","0.383596267302331","0.307775292485793","0.459417242118869","1"
"Very low transfer dependency","2005","higher vocational","West Germany","600","0.465823780803209","0.436828924442429","0.494818637163988","1"
"Very low transfer dependency","2005","higher vocational","East Germany","189","0.439634558403434","0.391881012368693","0.487388104438174","1"
"Very low transfer dependency","2005","higher education","West Germany","1497","0.435909910802638","0.417787070792243","0.454032750813033","1"
"Very low transfer dependency","2005","higher education","East Germany","608","0.408998689666018","0.381545177179343","0.436452202152694","1"
"Complete transfer dependency","2006","in school","East Germany","2","","","","5"
"Complete transfer dependency","2006","inadequately","West Germany","12","","","","5"
"Complete transfer dependency","2006","inadequately","East Germany","5","","","","5"
"Complete transfer dependency","2006","general elemantary","West Germany","47","0.0275135638921214","0.0205604128782578","0.034466714905985","5"
"Complete transfer dependency","2006","higher vocational","West Germany","10","","","","5"
"Complete transfer dependency","2006","higher vocational","East Germany","2","","","","5"
"Complete transfer dependency","2006","higher education","West Germany","13","","","","5"
"Complete transfer dependency","2006","higher education","East Germany","2","","","","5"
"Complete transfer dependency","2006","in school","West Germany","5","","","","5"
"Complete transfer dependency","2006","general elemantary","East Germany","11","","","","5"
"Complete transfer dependency","2006","middle vocational","West Germany","69","0.0114011392466699","0.00910536867321679","0.013696909820123","5"
"Complete transfer dependency","2006","middle vocational","East Germany","56","0.0273708460443633","0.021293634339417","0.0334480577493097","5"
"Complete transfer dependency","2006","vocational + Abi","West Germany","7","","","","5"
"Complete transfer dependency","2006","vocational + Abi","East Germany","4","","","","5"
"High transfer dependency","2006","in school","East Germany","9","","","","3"
"High transfer dependency","2006","inadequately","West Germany","19","","","","3"
"High transfer dependency","2006","inadequately","East Germany","3","","","","3"
"High transfer dependency","2006","general elemantary","West Germany","99","0.0464762554980844","0.037527806187848","0.0554247048083208","3"
"High transfer dependency","2006","higher vocational","West Germany","14","","","","3"
"High transfer dependency","2006","higher vocational","East Germany","14","","","","3"
"High transfer dependency","2006","higher education","West Germany","15","","","","3"
"High transfer dependency","2006","higher education","East Germany","13","","","","3"
"High transfer dependency","2006","in school","West Germany","8","","","","3"
"High transfer dependency","2006","general elemantary","East Germany","28","","","","3"
"High transfer dependency","2006","middle vocational","West Germany","158","0.021103817075322","0.0179957303278604","0.0242119038227837","3"
"High transfer dependency","2006","middle vocational","East Germany","140","0.0560370295514363","0.0474705645443076","0.064603494558565","3"
"High transfer dependency","2006","vocational + Abi","West Germany","16","","","","3"
"High transfer dependency","2006","vocational + Abi","East Germany","7","","","","3"
"Low transfer dependency","2006","general elemantary","West Germany","155","0.0720710172555605","0.0610783228023606","0.0830637117087604","2"
"Low transfer dependency","2006","general elemantary","East Germany","38","0.0962102561978088","0.0665228075374259","0.125897704858192","2"
"Low transfer dependency","2006","middle vocational","West Germany","430","0.0544225922709285","0.0495171015004173","0.0593280830414397","2"
"Low transfer dependency","2006","middle vocational","East Germany","279","0.109951887048863","0.0983000420502073","0.121603732047519","2"
"Low transfer dependency","2006","in school","West Germany","30","0.0565821416339063","0.0359131538041522","0.0772511294636605","2"
"Low transfer dependency","2006","in school","East Germany","12","","","","2"
"Low transfer dependency","2006","inadequately","West Germany","29","","","","2"
"Low transfer dependency","2006","inadequately","East Germany","1","","","","2"
"Low transfer dependency","2006","vocational + Abi","West Germany","78","0.0849613281604472","0.0679582206395919","0.101964435681302","2"
"Low transfer dependency","2006","higher education","East Germany","82","0.0516474940666964","0.0397129396920755","0.0635820484413174","2"
"Low transfer dependency","2006","vocational + Abi","East Germany","19","","","","2"
"Low transfer dependency","2006","higher vocational","West Germany","65","0.0519504341572628","0.0394922039762113","0.0644086643383143","2"
"Low transfer dependency","2006","higher vocational","East Germany","30","0.0702486742921179","0.0459514817338329","0.0945458668504028","2"
"Low transfer dependency","2006","higher education","West Germany","72","0.0255344468869192","0.0200656577428723","0.0310032360309662","2"
"No transfer dependency","2006","general elemantary","West Germany","996","0.488038958394475","0.466791246758046","0.509286670030905","0"
"No transfer dependency","2006","general elemantary","East Germany","141","0.432453949966909","0.382577105098688","0.48233079483513","0"
"No transfer dependency","2006","middle vocational","West Germany","3912","0.506881786222462","0.496070604382303","0.517692968062622","0"
"No transfer dependency","2006","middle vocational","East Germany","1114","0.428963583014103","0.410529194847209","0.447397971180997","0"
"No transfer dependency","2006","vocational + Abi","West Germany","396","0.404808739613133","0.374875677760536","0.434741801465729","0"
"No transfer dependency","2006","higher education","East Germany","563","0.47749257336688","0.450556999875275","0.504428146858486","0"
"No transfer dependency","2006","in school","West Germany","8","","","","0"
"No transfer dependency","2006","in school","East Germany","1","","","","0"
"No transfer dependency","2006","inadequately","West Germany","66","0.32143901944323","0.258571851121403","0.384306187765057","0"
"No transfer dependency","2006","inadequately","East Germany","4","","","","0"
"No transfer dependency","2006","vocational + Abi","East Germany","41","0.297370982062876","0.228044016767873","0.36669794735788","0"
"No transfer dependency","2006","higher vocational","West Germany","520","0.488164438428375","0.460103994591674","0.516224882265077","0"
"No transfer dependency","2006","higher vocational","East Germany","190","0.447904996026141","0.400627606562788","0.495182385489493","0"
"No transfer dependency","2006","higher education","West Germany","1447","0.511035262527423","0.49370484962287","0.528365675431976","0"
"Very high transfer dependency","2006","general elemantary","West Germany","57","0.0263376800521542","0.0195306228298053","0.0331447372745032","4"
"Very high transfer dependency","2006","general elemantary","East Germany","24","","","","4"
"Very high transfer dependency","2006","middle vocational","West Germany","109","0.0163732728603067","0.0136290004636217","0.0191175452569918","4"
"Very high transfer dependency","2006","middle vocational","East Germany","120","0.0549757544435079","0.0464860281760616","0.0634654807109543","4"
"Very high transfer dependency","2006","inadequately","East Germany","5","","","","4"
"Very high transfer dependency","2006","vocational + Abi","West Germany","12","","","","4"
"Very high transfer dependency","2006","higher education","East Germany","13","","","","4"
"Very high transfer dependency","2006","in school","West Germany","10","","","","4"
"Very high transfer dependency","2006","in school","East Germany","12","","","","4"
"Very high transfer dependency","2006","inadequately","West Germany","13","","","","4"
"Very high transfer dependency","2006","vocational + Abi","East Germany","4","","","","4"
"Very high transfer dependency","2006","higher vocational","West Germany","7","","","","4"
"Very high transfer dependency","2006","higher vocational","East Germany","2","","","","4"
"Very high transfer dependency","2006","higher education","West Germany","21","","","","4"
"Very low transfer dependency","2006","inadequately","West Germany","73","0.264078161416779","0.204736151771552","0.323420171062006","1"
"Very low transfer dependency","2006","in school","East Germany","108","0.649604102162572","0.571680193087918","0.727528011237226","1"
"Very low transfer dependency","2006","inadequately","East Germany","4","","","","1"
"Very low transfer dependency","2006","general elemantary","West Germany","772","0.339562524907604","0.319432598264977","0.359692451550231","1"
"Very low transfer dependency","2006","in school","West Germany","419","0.835345152358222","0.802167342691813","0.86852296202463","1"
"Very low transfer dependency","2006","general elemantary","East Germany","137","0.255251330950117","0.211356097655203","0.299146564245031","1"
"Very low transfer dependency","2006","higher vocational","West Germany","603","0.427572112769956","0.399799846799959","0.455344378739953","1"
"Very low transfer dependency","2006","higher vocational","East Germany","187","0.421901869357956","0.374949216705846","0.468854522010066","1"
"Very low transfer dependency","2006","higher education","West Germany","1628","0.431182059476347","0.414012399690855","0.44835171926184","1"
"Very low transfer dependency","2006","higher education","East Germany","648","0.437372390695282","0.410621830294999","0.464122951095564","1"
"Very low transfer dependency","2006","middle vocational","West Germany","3537","0.38981739232431","0.379270978085815","0.400363806562806","1"
"Very low transfer dependency","2006","middle vocational","East Germany","1060","0.322700899897726","0.305287765552578","0.340114034242874","1"
"Very low transfer dependency","2006","vocational + Abi","West Germany","524","0.470234670557654","0.4397980086749","0.500671332440408","1"
"Very low transfer dependency","2006","vocational + Abi","East Germany","92","0.409694337150856","0.335108166457822","0.48428050784389","1"
"Complete transfer dependency","2007","in school","West Germany","9","","","","5"
"Complete transfer dependency","2007","in school","East Germany","2","","","","5"
"Complete transfer dependency","2007","inadequately","West Germany","13","","","","5"
"Complete transfer dependency","2007","inadequately","East Germany","2","","","","5"
"Complete transfer dependency","2007","general elemantary","West Germany","43","0.0260000799421737","0.0188483742011828","0.0331517856831646","5"
"Complete transfer dependency","2007","higher vocational","West Germany","11","","","","5"
"Complete transfer dependency","2007","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","2007","higher education","West Germany","12","","","","5"
"Complete transfer dependency","2007","higher education","East Germany","8","","","","5"
"Complete transfer dependency","2007","general elemantary","East Germany","8","","","","5"
"Complete transfer dependency","2007","middle vocational","West Germany","66","0.0104798704265663","0.00819940244278772","0.012760338410345","5"
"Complete transfer dependency","2007","middle vocational","East Germany","57","0.03017245804635","0.0235895815397394","0.0367553345529606","5"
"Complete transfer dependency","2007","vocational + Abi","West Germany","6","","","","5"
"Complete transfer dependency","2007","vocational + Abi","East Germany","4","","","","5"
"High transfer dependency","2007","in school","West Germany","12","","","","3"
"High transfer dependency","2007","in school","East Germany","3","","","","3"
"High transfer dependency","2007","inadequately","West Germany","13","","","","3"
"High transfer dependency","2007","inadequately","East Germany","2","","","","3"
"High transfer dependency","2007","general elemantary","West Germany","80","0.0485452696802654","0.0388867546818325","0.0582037846786984","3"
"High transfer dependency","2007","higher vocational","West Germany","11","","","","3"
"High transfer dependency","2007","higher vocational","East Germany","9","","","","3"
"High transfer dependency","2007","higher education","West Germany","21","","","","3"
"High transfer dependency","2007","higher education","East Germany","22","","","","3"
"High transfer dependency","2007","general elemantary","East Germany","18","","","","3"
"High transfer dependency","2007","middle vocational","West Germany","148","0.0237738258114031","0.0203622229642309","0.0271854286585754","3"
"High transfer dependency","2007","middle vocational","East Germany","111","0.0455044398119463","0.0374843921801124","0.0535244874437801","3"
"High transfer dependency","2007","vocational + Abi","West Germany","11","","","","3"
"High transfer dependency","2007","vocational + Abi","East Germany","8","","","","3"
"Low transfer dependency","2007","general elemantary","West Germany","159","0.0802151790664815","0.0680080304348157","0.0924223276981473","2"
"Low transfer dependency","2007","general elemantary","East Germany","45","0.13814628523377","0.101196486933686","0.175096083533854","2"
"Low transfer dependency","2007","middle vocational","West Germany","363","0.0538923255689401","0.0488356225146294","0.0589490286232508","2"
"Low transfer dependency","2007","middle vocational","East Germany","283","0.102861924597344","0.0911717748984763","0.114552074296211","2"
"Low transfer dependency","2007","in school","West Germany","32","0.0920823845871189","0.0660526092313609","0.118112159942877","2"
"Low transfer dependency","2007","in school","East Germany","21","","","","2"
"Low transfer dependency","2007","inadequately","West Germany","29","","","","2"
"Low transfer dependency","2007","inadequately","East Germany","2","","","","2"
"Low transfer dependency","2007","vocational + Abi","West Germany","54","0.058718953181229","0.0441257939529622","0.0733121124094957","2"
"Low transfer dependency","2007","higher education","East Germany","66","0.0478054756433561","0.0361762582217315","0.0594346930649807","2"
"Low transfer dependency","2007","higher vocational","East Germany","27","","","","2"
"Low transfer dependency","2007","vocational + Abi","East Germany","18","","","","2"
"Low transfer dependency","2007","higher vocational","West Germany","41","0.0407956169847318","0.029200115939497","0.0523911180299667","2"
