"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","2001","66 and older","higher vocational","2","","","","3"
"High transfer dependency","2001","66 and older","higher education","","","","","3"
"Low transfer dependency","2001","35-65 y.","in school","","","","","2"
"Low transfer dependency","2001","35-65 y.","general elemantary","89","0.0647140554200828","0.0504390335926102","0.0789890772475554","2"
"Low transfer dependency","2001","35-65 y.","middle vocational","487","0.0579027295620863","0.0523009982376589","0.0635044608865138","2"
"Low transfer dependency","2001","35-65 y.","vocational + Abi","30","0.0443889476090611","0.026566497204403","0.0622113980137192","2"
"Low transfer dependency","2001","35-65 y.","inadequately","27","","","","2"
"Low transfer dependency","2001","16-34 y.","in school","47","0.0777862494329497","0.0550269186678166","0.100545580198083","2"
"Low transfer dependency","2001","16-34 y.","inadequately","11","","","","2"
"Low transfer dependency","2001","66 and older","in school","","","","","2"
"Low transfer dependency","2001","66 and older","inadequately","6","","","","2"
"Low transfer dependency","2001","66 and older","middle vocational","33","0.0179834270611267","0.0118357435419299","0.0241311105803235","2"
"Low transfer dependency","2001","66 and older","vocational + Abi","","","","","2"
"Low transfer dependency","2001","66 and older","higher vocational","","","","","2"
"Low transfer dependency","2001","66 and older","higher education","4","","","","2"
"Low transfer dependency","2001","16-34 y.","general elemantary","133","0.108570589733334","0.0902691110972512","0.126872068369416","2"
"Low transfer dependency","2001","16-34 y.","middle vocational","290","0.0858483620720552","0.075805436107249","0.0958912880368614","2"
"Low transfer dependency","2001","16-34 y.","vocational + Abi","44","0.0724959521594733","0.0484033964724327","0.0965885078465139","2"
"Low transfer dependency","2001","16-34 y.","higher education","35","0.0534264935499861","0.0358101231660852","0.071042863933887","2"
"Low transfer dependency","2001","35-65 y.","higher vocational","75","0.0518933095526161","0.0388562398461811","0.064930379259051","2"
"Low transfer dependency","2001","66 and older","general elemantary","24","","","","2"
"Low transfer dependency","2001","16-34 y.","higher vocational","16","","","","2"
"Low transfer dependency","2001","35-65 y.","higher education","105","0.0308576463680976","0.0240446889425851","0.03767060379361","2"
"No transfer dependency","2001","35-65 y.","in school","","","","","0"
"No transfer dependency","2001","35-65 y.","inadequately","46","0.301785653885154","0.234726893997868","0.368844413772441","0"
"No transfer dependency","2001","35-65 y.","general elemantary","503","0.49464601016743","0.465635833510628","0.523656186824233","0"
"No transfer dependency","2001","35-65 y.","middle vocational","2449","0.429386040962544","0.417514146140456","0.441257935784631","0"
"No transfer dependency","2001","35-65 y.","vocational + Abi","136","0.350128180753559","0.308850356800176","0.391406004706942","0"
"No transfer dependency","2001","35-65 y.","higher vocational","330","0.376439295484725","0.347963062149666","0.404915528819785","0"
"No transfer dependency","2001","16-34 y.","general elemantary","118","0.122068232264827","0.102809916139099","0.141326548390555","0"
"No transfer dependency","2001","66 and older","general elemantary","661","0.838017942873748","0.812754230020134","0.863281655727361","0"
"No transfer dependency","2001","16-34 y.","in school","9","","","","0"
"No transfer dependency","2001","16-34 y.","inadequately","12","","","","0"
"No transfer dependency","2001","16-34 y.","middle vocational","877","0.344988339994031","0.327946681521351","0.362029998466711","0"
"No transfer dependency","2001","16-34 y.","vocational + Abi","186","0.473701060734529","0.427309764067965","0.520092357401094","0"
"No transfer dependency","2001","16-34 y.","higher vocational","117","0.379745701749928","0.326404124180474","0.433087279319383","0"
"No transfer dependency","2001","16-34 y.","higher education","322","0.562397791144269","0.523536029806536","0.601259552482003","0"
"No transfer dependency","2001","35-65 y.","higher education","763","0.37184291559144","0.352802589750243","0.390883241432636","0"
"No transfer dependency","2001","66 and older","in school","","","","","0"
"No transfer dependency","2001","66 and older","inadequately","38","0.662390938629447","0.537413682677081","0.787368194581812","0"
"No transfer dependency","2001","66 and older","middle vocational","1551","0.880486762501205","0.865480059562086","0.895493465440324","0"
"No transfer dependency","2001","66 and older","vocational + Abi","90","0.911595580627121","0.856771977836227","0.966419183418015","0"
"No transfer dependency","2001","66 and older","higher vocational","206","0.890356625201184","0.850151881936669","0.930561368465699","0"
"No transfer dependency","2001","66 and older","higher education","375","0.892893776177615","0.863492859056247","0.922294693298983","0"
"Very high transfer dependency","2001","16-34 y.","in school","8","","","","4"
"Very high transfer dependency","2001","35-65 y.","middle vocational","108","0.01804876874694","0.0148558076036913","0.0212417298901887","4"
"Very high transfer dependency","2001","35-65 y.","inadequately","5","","","","4"
"Very high transfer dependency","2001","35-65 y.","general elemantary","27","","","","4"
"Very high transfer dependency","2001","35-65 y.","vocational + Abi","8","","","","4"
"Very high transfer dependency","2001","35-65 y.","higher vocational","14","","","","4"
"Very high transfer dependency","2001","35-65 y.","higher education","17","","","","4"
"Very high transfer dependency","2001","35-65 y.","in school","","","","","4"
"Very high transfer dependency","2001","16-34 y.","general elemantary","42","0.0468871112661231","0.0344509738824691","0.0593232486497772","4"
"Very high transfer dependency","2001","16-34 y.","middle vocational","50","0.0186561021825527","0.0138053822256638","0.0235068221394416","4"
"Very high transfer dependency","2001","66 and older","general elemantary","","","","","4"
"Very high transfer dependency","2001","66 and older","middle vocational","1","","","","4"
"Very high transfer dependency","2001","16-34 y.","higher vocational","2","","","","4"
"Very high transfer dependency","2001","16-34 y.","inadequately","5","","","","4"
"Very high transfer dependency","2001","16-34 y.","higher education","6","","","","4"
"Very high transfer dependency","2001","66 and older","higher education","","","","","4"
"Very high transfer dependency","2001","66 and older","in school","","","","","4"
"Very high transfer dependency","2001","16-34 y.","vocational + Abi","13","","","","4"
"Very high transfer dependency","2001","66 and older","higher vocational","","","","","4"
"Very high transfer dependency","2001","66 and older","inadequately","1","","","","4"
"Very high transfer dependency","2001","66 and older","vocational + Abi","","","","","4"
"Very low transfer dependency","2001","16-34 y.","in school","451","0.852383463779313","0.822241101309303","0.882525826249323","1"
"Very low transfer dependency","2001","16-34 y.","inadequately","38","0.435728293196347","0.32119444290004","0.550262143492654","1"
"Very low transfer dependency","2001","16-34 y.","general elemantary","756","0.663093350810543","0.635287977559379","0.690898724061707","1"
"Very low transfer dependency","2001","16-34 y.","middle vocational","1654","0.510313343346098","0.492392323091969","0.528234363600227","1"
"Very low transfer dependency","2001","16-34 y.","vocational + Abi","191","0.396025197132715","0.350585136174992","0.441465258090438","1"
"Very low transfer dependency","2001","16-34 y.","higher vocational","174","0.534356060424571","0.479531282882665","0.589180837966478","1"
"Very low transfer dependency","2001","16-34 y.","higher education","257","0.365691673929035","0.327963249708852","0.403420098149219","1"
"Very low transfer dependency","2001","35-65 y.","in school","","","","","1"
"Very low transfer dependency","2001","35-65 y.","inadequately","76","0.366722331351612","0.296321529813176","0.437123132890048","1"
"Very low transfer dependency","2001","35-65 y.","general elemantary","476","0.376770402217222","0.348653485577265","0.404887318857178","1"
"Very low transfer dependency","2001","35-65 y.","middle vocational","3414","0.464532762043093","0.452570880147679","0.476494643938507","1"
"Very low transfer dependency","2001","35-65 y.","higher vocational","675","0.540987628568486","0.511698829832643","0.570276427304329","1"
"Very low transfer dependency","2001","35-65 y.","higher education","1548","0.571792341496262","0.552298076217121","0.591286606775404","1"
"Very low transfer dependency","2001","66 and older","in school","","","","","1"
"Very low transfer dependency","2001","66 and older","inadequately","6","","","","1"
"Very low transfer dependency","2001","66 and older","general elemantary","124","0.127739399079688","0.104850620110814","0.150628178048562","1"
"Very low transfer dependency","2001","66 and older","middle vocational","203","0.0957693749258883","0.0821559062326495","0.109382843619127","1"
"Very low transfer dependency","2001","66 and older","vocational + Abi","13","","","","1"
"Very low transfer dependency","2001","35-65 y.","vocational + Abi","328","0.563899101180725","0.520986622514593","0.606811579846856","1"
"Very low transfer dependency","2001","66 and older","higher vocational","22","","","","1"
"Very low transfer dependency","2001","66 and older","higher education","45","0.0914602275800332","0.0640544747367885","0.118865980423278","1"
"Complete transfer dependency","2002","16-34 y.","in school","3","","","","5"
"Complete transfer dependency","2002","16-34 y.","inadequately","2","","","","5"
"Complete transfer dependency","2002","16-34 y.","general elemantary","18","","","","5"
"Complete transfer dependency","2002","16-34 y.","middle vocational","25","","","","5"
"Complete transfer dependency","2002","16-34 y.","higher vocational","5","","","","5"
"Complete transfer dependency","2002","16-34 y.","higher education","","","","","5"
"Complete transfer dependency","2002","35-65 y.","in school","","","","","5"
"Complete transfer dependency","2002","66 and older","in school","","","","","5"
"Complete transfer dependency","2002","66 and older","inadequately","","","","","5"
"Complete transfer dependency","2002","66 and older","general elemantary","1","","","","5"
"Complete transfer dependency","2002","66 and older","middle vocational","2","","","","5"
"Complete transfer dependency","2002","66 and older","higher vocational","2","","","","5"
"Complete transfer dependency","2002","66 and older","higher education","1","","","","5"
"Complete transfer dependency","2002","16-34 y.","vocational + Abi","7","","","","5"
"Complete transfer dependency","2002","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","2002","35-65 y.","inadequately","12","","","","5"
"Complete transfer dependency","2002","35-65 y.","general elemantary","25","","","","5"
"Complete transfer dependency","2002","35-65 y.","middle vocational","70","0.0140086596227053","0.0111993385471396","0.016817980698271","5"
"Complete transfer dependency","2002","35-65 y.","vocational + Abi","7","","","","5"
"Complete transfer dependency","2002","35-65 y.","higher vocational","8","","","","5"
"Complete transfer dependency","2002","35-65 y.","higher education","21","","","","5"
"High transfer dependency","2002","35-65 y.","in school","","","","","3"
"High transfer dependency","2002","66 and older","inadequately","6","","","","3"
"High transfer dependency","2002","16-34 y.","vocational + Abi","10","","","","3"
"High transfer dependency","2002","35-65 y.","inadequately","9","","","","3"
"High transfer dependency","2002","66 and older","in school","","","","","3"
"High transfer dependency","2002","66 and older","general elemantary","5","","","","3"
"High transfer dependency","2002","66 and older","middle vocational","8","","","","3"
"High transfer dependency","2002","66 and older","vocational + Abi","","","","","3"
"High transfer dependency","2002","16-34 y.","in school","19","","","","3"
"High transfer dependency","2002","16-34 y.","inadequately","3","","","","3"
"High transfer dependency","2002","16-34 y.","general elemantary","48","0.0539989087289341","0.0400462768776257","0.0679515405802425","3"
"High transfer dependency","2002","16-34 y.","middle vocational","87","0.038554692609812","0.0314862037883928","0.0456231814312313","3"
"High transfer dependency","2002","16-34 y.","higher vocational","2","","","","3"
"High transfer dependency","2002","16-34 y.","higher education","5","","","","3"
"High transfer dependency","2002","66 and older","higher vocational","2","","","","3"
"High transfer dependency","2002","66 and older","higher education","2","","","","3"
"High transfer dependency","2002","35-65 y.","higher vocational","10","","","","3"
"High transfer dependency","2002","35-65 y.","general elemantary","38","0.0450712936598197","0.0325407650705452","0.0576018222490942","3"
"High transfer dependency","2002","35-65 y.","middle vocational","158","0.0256596808081913","0.0218800663861668","0.0294392952302157","3"
"High transfer dependency","2002","35-65 y.","vocational + Abi","8","","","","3"
"High transfer dependency","2002","35-65 y.","higher education","25","","","","3"
"Low transfer dependency","2002","16-34 y.","in school","43","0.0921201167048393","0.069056837424762","0.115183395984917","2"
"Low transfer dependency","2002","16-34 y.","inadequately","10","","","","2"
"Low transfer dependency","2002","35-65 y.","general elemantary","72","0.0575592546829605","0.0434917031960955","0.0716268061698255","2"
"Low transfer dependency","2002","35-65 y.","middle vocational","430","0.0626289073837522","0.0568371584005952","0.0684206563669092","2"
"Low transfer dependency","2002","35-65 y.","inadequately","27","","","","2"
"Low transfer dependency","2002","35-65 y.","vocational + Abi","34","0.0730644834034173","0.0523102095871325","0.0938187572197021","2"
"Low transfer dependency","2002","35-65 y.","in school","","","","","2"
"Low transfer dependency","2002","66 and older","general elemantary","21","","","","2"
"Low transfer dependency","2002","66 and older","middle vocational","33","0.0186960843712038","0.0125619074477719","0.0248302612946357","2"
"Low transfer dependency","2002","16-34 y.","higher education","28","","","","2"
"Low transfer dependency","2002","66 and older","vocational + Abi","1","","","","2"
"Low transfer dependency","2002","66 and older","higher vocational","","","","","2"
"Low transfer dependency","2002","66 and older","higher education","3","","","","2"
"Low transfer dependency","2002","16-34 y.","middle vocational","259","0.0892456560563499","0.078778713760667","0.0997125983520328","2"
"Low transfer dependency","2002","16-34 y.","higher vocational","16","","","","2"
"Low transfer dependency","2002","66 and older","in school","","","","","2"
"Low transfer dependency","2002","66 and older","inadequately","2","","","","2"
"Low transfer dependency","2002","16-34 y.","general elemantary","112","0.117327657042576","0.0974613207187481","0.137193993366403","2"
"Low transfer dependency","2002","16-34 y.","vocational + Abi","38","0.0720670526947859","0.0481475801494653","0.0959865252401066","2"
"Low transfer dependency","2002","35-65 y.","higher vocational","67","0.0638951149791226","0.0499527824515593","0.0778374475066859","2"
"Low transfer dependency","2002","35-65 y.","higher education","115","0.0415793412672418","0.0348204141625363","0.0483382683719473","2"
"No transfer dependency","2002","16-34 y.","in school","8","","","","0"
"No transfer dependency","2002","16-34 y.","inadequately","16","","","","0"
"No transfer dependency","2002","16-34 y.","general elemantary","96","0.107568701433171","0.0884416430090349","0.126695759857306","0"
"No transfer dependency","2002","16-34 y.","middle vocational","820","0.341592248329543","0.324181111357973","0.359003385301114","0"
"No transfer dependency","2002","16-34 y.","vocational + Abi","188","0.459865103346066","0.413766128649592","0.505964078042539","0"
"No transfer dependency","2002","16-34 y.","higher vocational","111","0.349099043712847","0.295514062400342","0.402684025025351","0"
"No transfer dependency","2002","16-34 y.","higher education","303","0.557465291331061","0.518369065737911","0.596561516924212","0"
"No transfer dependency","2002","35-65 y.","in school","","","","","0"
"No transfer dependency","2002","35-65 y.","inadequately","47","0.300508131663982","0.229244331401219","0.371771931926745","0"
"No transfer dependency","2002","35-65 y.","general elemantary","466","0.478392614827837","0.448221038227836","0.508564191427837","0"
"No transfer dependency","2002","35-65 y.","middle vocational","2484","0.421636138700424","0.409831953263973","0.433440324136876","0"
"No transfer dependency","2002","35-65 y.","vocational + Abi","171","0.345374472944202","0.307454221573619","0.383294724314785","0"
"No transfer dependency","2002","35-65 y.","higher vocational","361","0.382720825588325","0.355011802616045","0.410429848560605","0"
"No transfer dependency","2002","35-65 y.","higher education","1067","0.388616969840258","0.372113379011205","0.405120560669312","0"
"No transfer dependency","2002","66 and older","in school","","","","","0"
"No transfer dependency","2002","66 and older","inadequately","37","0.725478164577472","0.609624097890619","0.841332231264326","0"
"No transfer dependency","2002","66 and older","general elemantary","648","0.840688312034189","0.815312729219815","0.866063894848564","0"
"No transfer dependency","2002","66 and older","middle vocational","1633","0.877423641519152","0.862571563365672","0.892275719672632","0"
"No transfer dependency","2002","66 and older","vocational + Abi","91","0.921188086450294","0.868377841303373","0.973998331597215","0"
"No transfer dependency","2002","66 and older","higher vocational","214","0.881499780622112","0.840946699230274","0.92205286201395","0"
"No transfer dependency","2002","66 and older","higher education","477","0.874388775143428","0.846564980966832","0.902212569320025","0"
"Very high transfer dependency","2002","16-34 y.","in school","6","","","","4"
"Very high transfer dependency","2002","16-34 y.","inadequately","2","","","","4"
"Very high transfer dependency","2002","35-65 y.","general elemantary","20","","","","4"
"Very high transfer dependency","2002","16-34 y.","general elemantary","32","0.0337773983976996","0.0226249680589341","0.0449298287364651","4"
"Very high transfer dependency","2002","16-34 y.","middle vocational","38","0.0162721357530878","0.0116271388699422","0.0209171326362334","4"
"Very high transfer dependency","2002","16-34 y.","vocational + Abi","9","","","","4"
"Very high transfer dependency","2002","16-34 y.","higher vocational","4","","","","4"
"Very high transfer dependency","2002","16-34 y.","higher education","4","","","","4"
"Very high transfer dependency","2002","35-65 y.","in school","","","","","4"
"Very high transfer dependency","2002","35-65 y.","inadequately","10","","","","4"
"Very high transfer dependency","2002","35-65 y.","middle vocational","82","0.0134751579155386","0.0107191054546214","0.0162312103764558","4"
"Very high transfer dependency","2002","35-65 y.","vocational + Abi","5","","","","4"
"Very high transfer dependency","2002","35-65 y.","higher vocational","7","","","","4"
"Very high transfer dependency","2002","35-65 y.","higher education","15","","","","4"
"Very high transfer dependency","2002","66 and older","in school","","","","","4"
"Very high transfer dependency","2002","66 and older","inadequately","","","","","4"
"Very high transfer dependency","2002","66 and older","general elemantary","1","","","","4"
"Very high transfer dependency","2002","66 and older","middle vocational","","","","","4"
"Very high transfer dependency","2002","66 and older","vocational + Abi","","","","","4"
"Very high transfer dependency","2002","66 and older","higher vocational","","","","","4"
"Very high transfer dependency","2002","66 and older","higher education","","","","","4"
"Very low transfer dependency","2002","16-34 y.","general elemantary","702","0.665294480805725","0.6361634252017","0.694425536409749","1"
"Very low transfer dependency","2002","16-34 y.","higher vocational","166","0.54851990391533","0.492579345251121","0.604460462579539","1"
"Very low transfer dependency","2002","16-34 y.","inadequately","29","","","","1"
"Very low transfer dependency","2002","66 and older","general elemantary","123","0.126203991050012","0.103178109071077","0.149229873028947","1"
"Very low transfer dependency","2002","16-34 y.","higher education","280","0.363238630741458","0.32538246580007","0.401094795682846","1"
"Very low transfer dependency","2002","16-34 y.","in school","525","0.805057029899301","0.773463603108459","0.836650456690143","1"
"Very low transfer dependency","2002","66 and older","in school","","","","","1"
"Very low transfer dependency","2002","66 and older","higher vocational","26","","","","1"
"Very low transfer dependency","2002","66 and older","inadequately","12","","","","1"
"Very low transfer dependency","2002","16-34 y.","middle vocational","1621","0.505279024414067","0.48692330298641","0.523634745841723","1"
"Very low transfer dependency","2002","16-34 y.","vocational + Abi","197","0.379158945482082","0.334281741818209","0.424036149145956","1"
"Very low transfer dependency","2002","66 and older","middle vocational","197","0.0960994648712126","0.0827519624367706","0.109446967305655","1"
"Very low transfer dependency","2002","66 and older","vocational + Abi","8","","","","1"
"Very low transfer dependency","2002","35-65 y.","higher education","2108","0.542049273926325","0.525180262337914","0.558918285514737","1"
"Very low transfer dependency","2002","35-65 y.","in school","","","","","1"
"Very low transfer dependency","2002","35-65 y.","inadequately","54","0.279714876694481","0.209946352921372","0.349483400467589","1"
"Very low transfer dependency","2002","35-65 y.","general elemantary","432","0.370249013191142","0.341083791051523","0.399414235330762","1"
"Very low transfer dependency","2002","35-65 y.","vocational + Abi","379","0.534914227724489","0.495136660037847","0.574691795411132","1"
"Very low transfer dependency","2002","35-65 y.","higher vocational","729","0.524753837878766","0.496284558539646","0.553223117217885","1"
"Very low transfer dependency","2002","35-65 y.","middle vocational","3499","0.462591455569389","0.45067306475172","0.474509846387058","1"
"Very low transfer dependency","2002","66 and older","higher education","62","0.109608182602733","0.0833803798780346","0.135835985327432","1"
"Complete transfer dependency","2003","16-34 y.","higher vocational","2","","","","5"
"Complete transfer dependency","2003","16-34 y.","higher education","5","","","","5"
"Complete transfer dependency","2003","35-65 y.","in school","","","","","5"
"Complete transfer dependency","2003","66 and older","higher vocational","1","","","","5"
"Complete transfer dependency","2003","66 and older","higher education","2","","","","5"
"Complete transfer dependency","2003","16-34 y.","in school","7","","","","5"
"Complete transfer dependency","2003","16-34 y.","inadequately","1","","","","5"
"Complete transfer dependency","2003","16-34 y.","general elemantary","23","","","","5"
"Complete transfer dependency","2003","16-34 y.","middle vocational","37","0.019637900456828","0.0143669995782234","0.0249088013354326","5"
"Complete transfer dependency","2003","16-34 y.","vocational + Abi","4","","","","5"
"Complete transfer dependency","2003","66 and older","in school","","","","","5"
"Complete transfer dependency","2003","66 and older","inadequately","","","","","5"
"Complete transfer dependency","2003","66 and older","general elemantary","1","","","","5"
"Complete transfer dependency","2003","66 and older","middle vocational","","","","","5"
"Complete transfer dependency","2003","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","2003","35-65 y.","inadequately","14","","","","5"
"Complete transfer dependency","2003","35-65 y.","general elemantary","24","","","","5"
"Complete transfer dependency","2003","35-65 y.","middle vocational","80","0.0175130862509861","0.0143024133336034","0.0207237591683687","5"
"Complete transfer dependency","2003","35-65 y.","vocational + Abi","6","","","","5"
"Complete transfer dependency","2003","35-65 y.","higher vocational","8","","","","5"
"Complete transfer dependency","2003","35-65 y.","higher education","14","","","","5"
"High transfer dependency","2003","16-34 y.","higher vocational","9","","","","3"
"High transfer dependency","2003","35-65 y.","in school","","","","","3"
"High transfer dependency","2003","35-65 y.","inadequately","11","","","","3"
"High transfer dependency","2003","16-34 y.","inadequately","5","","","","3"
"High transfer dependency","2003","16-34 y.","vocational + Abi","11","","","","3"
"High transfer dependency","2003","16-34 y.","higher education","1","","","","3"
"High transfer dependency","2003","66 and older","higher vocational","1","","","","3"
"High transfer dependency","2003","16-34 y.","general elemantary","51","0.0540835904710786","0.0397082887059639","0.0684588922361934","3"
"High transfer dependency","2003","16-34 y.","middle vocational","90","0.0370863629157658","0.0299076785915674","0.0442650472399641","3"
"High transfer dependency","2003","66 and older","inadequately","2","","","","3"
"High transfer dependency","2003","66 and older","higher education","3","","","","3"
"High transfer dependency","2003","16-34 y.","in school","16","","","","3"
"High transfer dependency","2003","66 and older","in school","","","","","3"
"High transfer dependency","2003","66 and older","general elemantary","2","","","","3"
"High transfer dependency","2003","66 and older","middle vocational","7","","","","3"
"High transfer dependency","2003","66 and older","vocational + Abi","","","","","3"
"High transfer dependency","2003","35-65 y.","general elemantary","34","0.0301294501021916","0.0193994859274098","0.0408594142769735","3"
"High transfer dependency","2003","35-65 y.","higher vocational","8","","","","3"
"High transfer dependency","2003","35-65 y.","middle vocational","143","0.0231939130082962","0.0195097187211364","0.0268781072954559","3"
"High transfer dependency","2003","35-65 y.","vocational + Abi","6","","","","3"
"High transfer dependency","2003","35-65 y.","higher education","22","","","","3"
"Low transfer dependency","2003","16-34 y.","in school","52","0.103271251657299","0.0790624098581416","0.127480093456457","2"
"Low transfer dependency","2003","16-34 y.","inadequately","13","","","","2"
"Low transfer dependency","2003","35-65 y.","general elemantary","84","0.0789021880872622","0.0619805196195841","0.0958238565549402","2"
"Low transfer dependency","2003","35-65 y.","middle vocational","466","0.0673575375567289","0.0612227146930515","0.0734923604204062","2"
"Low transfer dependency","2003","35-65 y.","in school","","","","","2"
"Low transfer dependency","2003","35-65 y.","vocational + Abi","42","0.095651831795923","0.0721963639932819","0.119107299598564","2"
"Low transfer dependency","2003","35-65 y.","inadequately","26","","","","2"
"Low transfer dependency","2003","16-34 y.","higher vocational","21","","","","2"
"Low transfer dependency","2003","66 and older","inadequately","7","","","","2"
"Low transfer dependency","2003","66 and older","higher education","5","","","","2"
"Low transfer dependency","2003","16-34 y.","middle vocational","255","0.091002711538964","0.0800769296680284","0.1019284934099","2"
"Low transfer dependency","2003","16-34 y.","vocational + Abi","37","0.0888651842336246","0.0623976337725952","0.115332734694654","2"
"Low transfer dependency","2003","16-34 y.","higher education","25","","","","2"
"Low transfer dependency","2003","35-65 y.","higher vocational","42","0.0346188354229153","0.0240483796296961","0.0451892912161344","2"
"Low transfer dependency","2003","35-65 y.","higher education","128","0.0428339506787106","0.0357919582601049","0.0498759430973162","2"
"Low transfer dependency","2003","66 and older","in school","","","","","2"
"Low transfer dependency","2003","66 and older","general elemantary","28","","","","2"
"Low transfer dependency","2003","66 and older","middle vocational","32","0.0170536489668938","0.0112503129924241","0.0228569849413635","2"
"Low transfer dependency","2003","66 and older","vocational + Abi","","","","","2"
"Low transfer dependency","2003","66 and older","higher vocational","4","","","","2"
"Low transfer dependency","2003","16-34 y.","general elemantary","110","0.109000949258395","0.0891942734463101","0.128807625070479","2"
"No transfer dependency","2003","16-34 y.","in school","4","","","","0"
"No transfer dependency","2003","16-34 y.","inadequately","15","","","","0"
"No transfer dependency","2003","16-34 y.","general elemantary","88","0.115868060664767","0.0955258456021832","0.13621027572735","0"
"No transfer dependency","2003","16-34 y.","middle vocational","753","0.309933679957741","0.292365617468115","0.327501742447367","0"
"No transfer dependency","2003","16-34 y.","vocational + Abi","175","0.430449627898796","0.384393879459992","0.476505376337601","0"
"No transfer dependency","2003","16-34 y.","higher vocational","93","0.376542088888583","0.318748915393674","0.434335262383493","0"
"No transfer dependency","2003","16-34 y.","higher education","258","0.518167439709749","0.476634389483763","0.559700489935734","0"
"No transfer dependency","2003","35-65 y.","in school","","","","","0"
"No transfer dependency","2003","35-65 y.","inadequately","45","0.31470154364113","0.240134955816018","0.389268131466243","0"
"No transfer dependency","2003","35-65 y.","general elemantary","408","0.43780085177091","0.406660094033163","0.468941609508657","0"
"No transfer dependency","2003","35-65 y.","middle vocational","2345","0.421633808980369","0.40954675401566","0.433720863945078","0"
"No transfer dependency","2003","35-65 y.","vocational + Abi","180","0.344831728376392","0.306925579859875","0.382737876892909","0"
"No transfer dependency","2003","35-65 y.","higher vocational","348","0.382092106156237","0.353996786277411","0.410187426035063","0"
"No transfer dependency","2003","35-65 y.","higher education","994","0.377590029970391","0.360730076421085","0.394449983519697","0"
"No transfer dependency","2003","66 and older","in school","","","","","0"
"No transfer dependency","2003","66 and older","inadequately","36","0.711122763032071","0.590235606551187","0.832009919512955","0"
"No transfer dependency","2003","66 and older","general elemantary","647","0.827873619476625","0.801616711627238","0.854130527326012","0"
"No transfer dependency","2003","66 and older","middle vocational","1650","0.870152669790869","0.855085961225109","0.885219378356629","0"
"No transfer dependency","2003","66 and older","vocational + Abi","91","0.934132921316584","0.885757368139868","0.982508474493301","0"
"No transfer dependency","2003","66 and older","higher vocational","215","0.835806586169478","0.789885849390635","0.881727322948321","0"
"No transfer dependency","2003","66 and older","higher education","493","0.849443207791762","0.820314168611136","0.878572246972387","0"
"Very high transfer dependency","2003","16-34 y.","in school","8","","","","4"
"Very high transfer dependency","2003","16-34 y.","middle vocational","54","0.0278494062339947","0.0215988479604809","0.0340999645075084","4"
"Very high transfer dependency","2003","16-34 y.","inadequately","5","","","","4"
"Very high transfer dependency","2003","16-34 y.","general elemantary","38","0.0539280577677018","0.0395722609299034","0.0682838546055002","4"
"Very high transfer dependency","2003","16-34 y.","vocational + Abi","9","","","","4"
"Very high transfer dependency","2003","16-34 y.","higher vocational","3","","","","4"
"Very high transfer dependency","2003","16-34 y.","higher education","3","","","","4"
"Very high transfer dependency","2003","35-65 y.","in school","","","","","4"
"Very high transfer dependency","2003","35-65 y.","inadequately","7","","","","4"
"Very high transfer dependency","2003","35-65 y.","general elemantary","23","","","","4"
"Very high transfer dependency","2003","35-65 y.","middle vocational","95","0.0190304641738202","0.0156861752914387","0.0223747530562017","4"
"Very high transfer dependency","2003","35-65 y.","vocational + Abi","5","","","","4"
"Very high transfer dependency","2003","35-65 y.","higher vocational","12","","","","4"
"Very high transfer dependency","2003","35-65 y.","higher education","21","","","","4"
"Very high transfer dependency","2003","66 and older","inadequately","","","","","4"
"Very high transfer dependency","2003","66 and older","general elemantary","1","","","","4"
"Very high transfer dependency","2003","66 and older","middle vocational","","","","","4"
"Very high transfer dependency","2003","66 and older","vocational + Abi","","","","","4"
"Very high transfer dependency","2003","66 and older","in school","","","","","4"
"Very high transfer dependency","2003","66 and older","higher vocational","","","","","4"
"Very high transfer dependency","2003","66 and older","higher education","","","","","4"
"Very low transfer dependency","2003","16-34 y.","higher vocational","142","0.487648244500654","0.428026640484006","0.547269848517302","1"
"Very low transfer dependency","2003","16-34 y.","higher education","264","0.425903001484267","0.384801405710374","0.467004597258161","1"
"Very low transfer dependency","2003","66 and older","higher vocational","29","","","","1"
"Very low transfer dependency","2003","16-34 y.","in school","520","0.821427890899134","0.790959797239428","0.851895984558839","1"
"Very low transfer dependency","2003","16-34 y.","inadequately","21","","","","1"
"Very low transfer dependency","2003","16-34 y.","general elemantary","641","0.635305646473173","0.604713235150381","0.665898057795965","1"
"Very low transfer dependency","2003","16-34 y.","middle vocational","1473","0.514489938896706","0.495504019810371","0.533475857983042","1"
"Very low transfer dependency","2003","16-34 y.","vocational + Abi","208","0.423441218395042","0.377481753145656","0.469400683644429","1"
"Very low transfer dependency","2003","66 and older","in school","","","","","1"
"Very low transfer dependency","2003","66 and older","general elemantary","115","0.130190897371334","0.1067842008581","0.153597593884567","1"
"Very low transfer dependency","2003","66 and older","middle vocational","223","0.107872972611726","0.0939678821463168","0.121778063077136","1"
"Very low transfer dependency","2003","66 and older","vocational + Abi","10","","","","1"
"Very low transfer dependency","2003","66 and older","inadequately","9","","","","1"
"Very low transfer dependency","2003","35-65 y.","in school","","","","","1"
