"transab_cat","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","2006","Hesse","Rural Area","13","","",""
"Low transfer dependency","2006","Rhineland-Palatinate,Saarland","Urban Area","51","0.0803158328646399","0.063334550619898","0.0972971151093818"
"Low transfer dependency","2006","Rhineland-Palatinate,Saarland","Rural Area","18","","",""
"Low transfer dependency","2006","Baden-Württemberg","Urban Area","111","0.0427664806537895","0.0348305196494629","0.050702441658116"
"Low transfer dependency","2006","Baden-Württemberg","Rural Area","19","","",""
"Low transfer dependency","2006","Bavaria","Urban Area","84","0.0605619489967997","0.0485904877450845","0.072533410248515"
"Low transfer dependency","2006","Bavaria","Rural Area","108","0.0570743250903351","0.045822729307434","0.0683259208732362"
"Low transfer dependency","2006","Berlin","Urban Area","56","0.0812012013167307","0.0621421611226314","0.10026024151083"
"Low transfer dependency","2006","Berlin","Rural Area","","","",""
"Low transfer dependency","2006","Brandenburg","Urban Area","3","","",""
"Low transfer dependency","2006","Brandenburg","Rural Area","67","0.0820996261302961","0.0637097174874211","0.100489534773171"
"Low transfer dependency","2006","Mecklenburg-Western Pomerania","Urban Area","5","","",""
"Low transfer dependency","2006","Mecklenburg-Western Pomerania","Rural Area","48","0.110187398417967","0.0824627982526753","0.137911998583259"
"Low transfer dependency","2006","Saxony","Urban Area","86","0.120966478654271","0.0986745615219554","0.143258395786586"
"Low transfer dependency","2006","Saxony","Rural Area","71","0.0865343271140258","0.0665720108588976","0.106496643369154"
"Low transfer dependency","2006","Saxony-Anhalt","Urban Area","15","","",""
"Low transfer dependency","2006","Saxony-Anhalt","Rural Area","53","0.0615398841127743","0.0435433426083135","0.0795364256172351"
"Low transfer dependency","2006","Thuringia","Urban Area","16","","",""
"Low transfer dependency","2006","Thuringia","Rural Area","81","0.130500462731251","0.104955777050595","0.156045148411908"
"High transfer dependency","2006","Schleswig-Holstein","Urban Area","5","","",""
"High transfer dependency","2006","Schleswig-Holstein","Rural Area","8","","",""
"High transfer dependency","2006","Hamburg","Urban Area","7","","",""
"High transfer dependency","2006","Hamburg","Rural Area","","","",""
"High transfer dependency","2006","Lower Saxony","Urban Area","13","","",""
"High transfer dependency","2006","Lower Saxony","Rural Area","38","0.0339436652461509","0.0226579122887352","0.0452294182035666"
"High transfer dependency","2006","Bremen","Urban Area","7","","",""
"High transfer dependency","2006","Bremen","Rural Area","","","",""
"High transfer dependency","2006","North Rhine-Westphalia","Urban Area","101","0.0251864263762589","0.0205670748167418","0.029805777935776"
"High transfer dependency","2006","North Rhine-Westphalia","Rural Area","5","","",""
"High transfer dependency","2006","Hesse","Urban Area","13","","",""
"High transfer dependency","2006","Hesse","Rural Area","2","","",""
"High transfer dependency","2006","Rhineland-Palatinate,Saarland","Urban Area","22","","",""
"High transfer dependency","2006","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"High transfer dependency","2006","Baden-Württemberg","Urban Area","48","0.0213407006400523","0.0156723211194515","0.0270090801606531"
"High transfer dependency","2006","Baden-Württemberg","Rural Area","3","","",""
"High transfer dependency","2006","Bavaria","Urban Area","19","","",""
"High transfer dependency","2006","Bavaria","Rural Area","35","0.0201437358425295","0.0133296720643161","0.026957799620743"
"High transfer dependency","2006","Berlin","Urban Area","37","0.0405100363293904","0.0267534358727865","0.0542666367859943"
"High transfer dependency","2006","Berlin","Rural Area","","","",""
"High transfer dependency","2006","Brandenburg","Urban Area","2","","",""
"High transfer dependency","2006","Brandenburg","Rural Area","28","","",""
"High transfer dependency","2006","Mecklenburg-Western Pomerania","Urban Area","4","","",""
"High transfer dependency","2006","Mecklenburg-Western Pomerania","Rural Area","31","0.0808272007336626","0.0566933066667365","0.104961094800589"
"High transfer dependency","2006","Saxony","Urban Area","24","","",""
"High transfer dependency","2006","Saxony","Rural Area","28","","",""
"High transfer dependency","2006","Saxony-Anhalt","Urban Area","5","","",""
"High transfer dependency","2006","Saxony-Anhalt","Rural Area","32","0.0962009753091213","0.0741194801287132","0.118282470489529"
"High transfer dependency","2006","Thuringia","Urban Area","16","","",""
"High transfer dependency","2006","Thuringia","Rural Area","25","","",""
"Very high transfer dependency","2006","Schleswig-Holstein","Urban Area","3","","",""
"Very high transfer dependency","2006","Schleswig-Holstein","Rural Area","15","","",""
"Very high transfer dependency","2006","Hamburg","Urban Area","9","","",""
"Very high transfer dependency","2006","Hamburg","Rural Area","","","",""
"Very high transfer dependency","2006","Lower Saxony","Urban Area","14","","",""
"Very high transfer dependency","2006","Lower Saxony","Rural Area","19","","",""
"Very high transfer dependency","2006","Bremen","Urban Area","3","","",""
"Very high transfer dependency","2006","Bremen","Rural Area","","","",""
"Very high transfer dependency","2006","North Rhine-Westphalia","Urban Area","61","0.0195311004110086","0.0154515037848938","0.0236106970371234"
"Very high transfer dependency","2006","North Rhine-Westphalia","Rural Area","4","","",""
"Very high transfer dependency","2006","Hesse","Urban Area","13","","",""
"Very high transfer dependency","2006","Hesse","Rural Area","1","","",""
"Very high transfer dependency","2006","Rhineland-Palatinate,Saarland","Urban Area","25","","",""
"Very high transfer dependency","2006","Rhineland-Palatinate,Saarland","Rural Area","5","","",""
"Very high transfer dependency","2006","Baden-Württemberg","Urban Area","20","","",""
"Very high transfer dependency","2006","Baden-Württemberg","Rural Area","","","",""
"Very high transfer dependency","2006","Bavaria","Urban Area","14","","",""
"Very high transfer dependency","2006","Bavaria","Rural Area","19","","",""
"Very high transfer dependency","2006","Berlin","Urban Area","24","","",""
"Very high transfer dependency","2006","Berlin","Rural Area","","","",""
"Very high transfer dependency","2006","Brandenburg","Urban Area","","","",""
"Very high transfer dependency","2006","Brandenburg","Rural Area","39","0.0673258064364945","0.0505390429757014","0.0841125698972876"
"Very high transfer dependency","2006","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very high transfer dependency","2006","Mecklenburg-Western Pomerania","Rural Area","14","","",""
"Very high transfer dependency","2006","Saxony","Urban Area","34","0.0927993506671456","0.0729641623918009","0.11263453894249"
"Very high transfer dependency","2006","Saxony","Rural Area","22","","",""
"Very high transfer dependency","2006","Saxony-Anhalt","Urban Area","4","","",""
"Very high transfer dependency","2006","Saxony-Anhalt","Rural Area","37","0.0553673775115458","0.0382411680286967","0.0724935869943948"
"Very high transfer dependency","2006","Thuringia","Urban Area","15","","",""
"Very high transfer dependency","2006","Thuringia","Rural Area","14","","",""
"Complete transfer dependency","2006","Schleswig-Holstein","Urban Area","4","","",""
"Complete transfer dependency","2006","Schleswig-Holstein","Rural Area","5","","",""
"Complete transfer dependency","2006","Hamburg","Urban Area","3","","",""
"Complete transfer dependency","2006","Hamburg","Rural Area","","","",""
"Complete transfer dependency","2006","Lower Saxony","Urban Area","15","","",""
"Complete transfer dependency","2006","Lower Saxony","Rural Area","5","","",""
"Complete transfer dependency","2006","Bremen","Urban Area","3","","",""
"Complete transfer dependency","2006","Bremen","Rural Area","","","",""
"Complete transfer dependency","2006","North Rhine-Westphalia","Urban Area","65","0.0252484426380008","0.020623554607065","0.0298733306689365"
"Complete transfer dependency","2006","North Rhine-Westphalia","Rural Area","8","","",""
"Complete transfer dependency","2006","Hesse","Urban Area","14","","",""
"Complete transfer dependency","2006","Hesse","Rural Area","1","","",""
"Complete transfer dependency","2006","Rhineland-Palatinate,Saarland","Urban Area","7","","",""
"Complete transfer dependency","2006","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Complete transfer dependency","2006","Baden-Württemberg","Urban Area","15","","",""
"Complete transfer dependency","2006","Baden-Württemberg","Rural Area","","","",""
"Complete transfer dependency","2006","Bavaria","Urban Area","7","","",""
"Complete transfer dependency","2006","Bavaria","Rural Area","8","","",""
"Complete transfer dependency","2006","Berlin","Urban Area","25","","",""
"Complete transfer dependency","2006","Berlin","Rural Area","","","",""
"Complete transfer dependency","2006","Brandenburg","Urban Area","1","","",""
"Complete transfer dependency","2006","Brandenburg","Rural Area","10","","",""
"Complete transfer dependency","2006","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Complete transfer dependency","2006","Mecklenburg-Western Pomerania","Rural Area","10","","",""
"Complete transfer dependency","2006","Saxony","Urban Area","11","","",""
"Complete transfer dependency","2006","Saxony","Rural Area","10","","",""
"Complete transfer dependency","2006","Saxony-Anhalt","Urban Area","2","","",""
"Complete transfer dependency","2006","Saxony-Anhalt","Rural Area","14","","",""
"Complete transfer dependency","2006","Thuringia","Urban Area","4","","",""
"Complete transfer dependency","2006","Thuringia","Rural Area","10","","",""
"No transfer dependency","2007","Schleswig-Holstein","Urban Area","121","0.527990844171644","0.467075507997453","0.588906180345834"
"No transfer dependency","2007","Schleswig-Holstein","Rural Area","145","0.419555730263255","0.368859870615707","0.470251589910803"
"No transfer dependency","2007","Hamburg","Urban Area","157","0.637337224314127","0.582381800851239","0.692292647777016"
"No transfer dependency","2007","Hamburg","Rural Area","","","",""
"No transfer dependency","2007","Lower Saxony","Urban Area","402","0.484727372901236","0.452659173321691","0.516795572480781"
"No transfer dependency","2007","Lower Saxony","Rural Area","372","0.466107624022092","0.433942734184735","0.498272513859449"
"No transfer dependency","2007","Bremen","Urban Area","73","0.529047710108326","0.448080805000118","0.610014615216535"
"No transfer dependency","2007","Bremen","Rural Area","","","",""
"No transfer dependency","2007","North Rhine-Westphalia","Urban Area","1798","0.461050824601844","0.445824118511205","0.476277530692483"
"No transfer dependency","2007","North Rhine-Westphalia","Rural Area","32","0.250332406092531","0.166262432518878","0.334402379666185"
"No transfer dependency","2007","Hesse","Urban Area","528","0.464682179026519","0.435868793607816","0.493495564445222"
"No transfer dependency","2007","Hesse","Rural Area","124","0.49264497903863","0.429656166692865","0.555633791384394"
"No transfer dependency","2007","Rhineland-Palatinate,Saarland","Urban Area","370","0.436492862632693","0.404000981385056","0.468984743880331"
"No transfer dependency","2007","Rhineland-Palatinate,Saarland","Rural Area","138","0.50207512404956","0.44462805702545","0.55952219107367"
"No transfer dependency","2007","Baden-Württemberg","Urban Area","1000","0.484782176376943","0.464357605795982","0.505206746957904"
"No transfer dependency","2007","Baden-Württemberg","Rural Area","88","0.445509104173321","0.380275531979386","0.510742676367255"
"No transfer dependency","2007","Bavaria","Urban Area","688","0.515829235670574","0.489999443877346","0.541659027463802"
"No transfer dependency","2007","Bavaria","Rural Area","678","0.46759526856543","0.442827833067854","0.492362704063005"
"No transfer dependency","2007","Berlin","Urban Area","310","0.439199149801981","0.403845420821474","0.474552878782488"
"No transfer dependency","2007","Berlin","Rural Area","","","",""
"No transfer dependency","2007","Brandenburg","Urban Area","38","0.659381426990757","0.552125826933439","0.766637027048074"
"No transfer dependency","2007","Brandenburg","Rural Area","301","0.395868587458464","0.361959513380973","0.429777661535956"
"No transfer dependency","2007","Mecklenburg-Western Pomerania","Urban Area","34","0.575666481402682","0.45551460611328","0.695818356692084"
"No transfer dependency","2007","Mecklenburg-Western Pomerania","Rural Area","159","0.41885912932694","0.372707128516436","0.465011130137445"
"No transfer dependency","2007","Saxony","Urban Area","317","0.462526253440729","0.427194580987671","0.497857925893787"
"No transfer dependency","2007","Saxony","Rural Area","335","0.462882868039735","0.42724520421217","0.498520531867299"
"No transfer dependency","2007","Saxony-Anhalt","Urban Area","99","0.494629342589975","0.429155318900742","0.560103366279209"
"No transfer dependency","2007","Saxony-Anhalt","Rural Area","249","0.44117365744815","0.402943700447971","0.479403614448329"
"No transfer dependency","2007","Thuringia","Urban Area","119","0.492238517816363","0.432716023901888","0.551761011730838"
"No transfer dependency","2007","Thuringia","Rural Area","269","0.46520231083989","0.426768659733","0.503635961946779"
"Very low transfer dependency","2007","Schleswig-Holstein","Urban Area","125","0.393852037847839","0.334231744135185","0.453472331560493"
"Very low transfer dependency","2007","Schleswig-Holstein","Rural Area","153","0.391480172826396","0.341339558402271","0.441620787250521"
"Very low transfer dependency","2007","Hamburg","Urban Area","103","0.259500111832141","0.209392269857019","0.309607953807264"
"Very low transfer dependency","2007","Hamburg","Rural Area","","","",""
"Very low transfer dependency","2007","Lower Saxony","Urban Area","429","0.4008704681532","0.369424160116795","0.432316776189606"
"Very low transfer dependency","2007","Lower Saxony","Rural Area","432","0.390363121646657","0.358908670474952","0.421817572818362"
"Very low transfer dependency","2007","Bremen","Urban Area","53","0.345411622655509","0.268281453909514","0.422541791401504"
"Very low transfer dependency","2007","Bremen","Rural Area","","","",""
"Very low transfer dependency","2007","North Rhine-Westphalia","Urban Area","1942","0.419159703059329","0.404087532885566","0.434231873233093"
"Very low transfer dependency","2007","North Rhine-Westphalia","Rural Area","48","0.433795341687922","0.337617026236377","0.529973657139466"
"Very low transfer dependency","2007","Hesse","Urban Area","516","0.407293043384436","0.378908367620559","0.435677719148314"
"Very low transfer dependency","2007","Hesse","Rural Area","103","0.437935997583276","0.375427563945258","0.500444431221294"
"Very low transfer dependency","2007","Rhineland-Palatinate,Saarland","Urban Area","430","0.404844686371513","0.372686173822542","0.437003198920485"
"Very low transfer dependency","2007","Rhineland-Palatinate,Saarland","Rural Area","139","0.432079424376034","0.375164365289256","0.488994483462811"
"Very low transfer dependency","2007","Baden-Württemberg","Urban Area","1127","0.431189713622448","0.410950105954134","0.451429321290761"
"Very low transfer dependency","2007","Baden-Württemberg","Rural Area","127","0.534630118278942","0.46916325901718","0.600096977540703"
"Very low transfer dependency","2007","Bavaria","Urban Area","662","0.395940031682454","0.370663156580382","0.421216906784525"
"Very low transfer dependency","2007","Bavaria","Rural Area","719","0.425972767434463","0.401426684383257","0.450518850485668"
"Very low transfer dependency","2007","Berlin","Urban Area","311","0.348654655148565","0.314707487734734","0.382601822562396"
"Very low transfer dependency","2007","Berlin","Rural Area","","","",""
"Very low transfer dependency","2007","Brandenburg","Urban Area","32","0.264569064903081","0.164739785210822","0.364398344595339"
"Very low transfer dependency","2007","Brandenburg","Rural Area","347","0.394647539273081","0.360756603765584","0.428538474780579"
"Very low transfer dependency","2007","Mecklenburg-Western Pomerania","Urban Area","22","","",""
"Very low transfer dependency","2007","Mecklenburg-Western Pomerania","Rural Area","197","0.380005546677698","0.334600439948624","0.425410653406772"
"Very low transfer dependency","2007","Saxony","Urban Area","310","0.317981533754865","0.284981347566","0.350981719943731"
"Very low transfer dependency","2007","Saxony","Rural Area","287","0.312695981510634","0.279561913270726","0.345830049750541"
"Very low transfer dependency","2007","Saxony-Anhalt","Urban Area","97","0.385969801318045","0.322217537589256","0.449722065046834"
"Very low transfer dependency","2007","Saxony-Anhalt","Rural Area","284","0.376431368269492","0.339128208417828","0.413734528121156"
"Very low transfer dependency","2007","Thuringia","Urban Area","91","0.303421177958064","0.248685371162483","0.358156984753645"
"Very low transfer dependency","2007","Thuringia","Rural Area","270","0.367438525679036","0.330290164052135","0.404586887305937"
"Low transfer dependency","2007","Schleswig-Holstein","Urban Area","5","","",""
"Low transfer dependency","2007","Schleswig-Holstein","Rural Area","33","0.107079994089242","0.0753143368666013","0.138845651311883"
"Low transfer dependency","2007","Hamburg","Urban Area","13","","",""
"Low transfer dependency","2007","Hamburg","Rural Area","","","",""
"Low transfer dependency","2007","Lower Saxony","Urban Area","44","0.0405330831673362","0.0278791046941121","0.0531870616405603"
"Low transfer dependency","2007","Lower Saxony","Rural Area","71","0.086970202384522","0.0688008343717335","0.105139570397311"
"Low transfer dependency","2007","Bremen","Urban Area","10","","",""
"Low transfer dependency","2007","Bremen","Rural Area","","","",""
"Low transfer dependency","2007","North Rhine-Westphalia","Urban Area","188","0.0616330071757245","0.0542870109965446","0.0689790033549043"
"Low transfer dependency","2007","North Rhine-Westphalia","Rural Area","9","","",""
"Low transfer dependency","2007","Hesse","Urban Area","58","0.0625839350948393","0.0485910245226204","0.0765768456670583"
"Low transfer dependency","2007","Hesse","Rural Area","12","","",""
"Low transfer dependency","2007","Rhineland-Palatinate,Saarland","Urban Area","33","0.0556126733449489","0.0405985999420981","0.0706267467477997"
"Low transfer dependency","2007","Rhineland-Palatinate,Saarland","Rural Area","6","","",""
"Low transfer dependency","2007","Baden-Württemberg","Urban Area","96","0.0376497012406562","0.0298705622183401","0.0454288402629723"
"Low transfer dependency","2007","Baden-Württemberg","Rural Area","5","","",""
"Low transfer dependency","2007","Bavaria","Urban Area","45","0.041016723374646","0.0307659968630325","0.0512674498862595"
"Low transfer dependency","2007","Bavaria","Rural Area","108","0.0591388669373004","0.0474297458478077","0.0708479880267931"
"Low transfer dependency","2007","Berlin","Urban Area","57","0.0886603425204921","0.0684112768766273","0.108909408164357"
"Low transfer dependency","2007","Berlin","Rural Area","","","",""
"Low transfer dependency","2007","Brandenburg","Urban Area","4","","",""
"Low transfer dependency","2007","Brandenburg","Rural Area","78","0.0947806339770184","0.0744705637865578","0.115090704167479"
"Low transfer dependency","2007","Mecklenburg-Western Pomerania","Urban Area","8","","",""
"Low transfer dependency","2007","Mecklenburg-Western Pomerania","Rural Area","42","0.105647647182804","0.0768935277285626","0.134401766637045"
"Low transfer dependency","2007","Saxony","Urban Area","66","0.0810928582012974","0.0617489380501861","0.100436778352409"
"Low transfer dependency","2007","Saxony","Rural Area","83","0.117060689095803","0.0940827996533863","0.140038578538219"
"Low transfer dependency","2007","Saxony-Anhalt","Urban Area","16","","",""
"Low transfer dependency","2007","Saxony-Anhalt","Rural Area","57","0.0831497069150492","0.0618908375341236","0.104408576295975"
"Low transfer dependency","2007","Thuringia","Urban Area","26","","",""
"Low transfer dependency","2007","Thuringia","Rural Area","64","0.0807063397729007","0.0597180568944906","0.101694622651311"
"High transfer dependency","2007","Schleswig-Holstein","Urban Area","1","","",""
"High transfer dependency","2007","Schleswig-Holstein","Rural Area","18","","",""
"High transfer dependency","2007","Hamburg","Urban Area","6","","",""
"High transfer dependency","2007","Hamburg","Rural Area","","","",""
"High transfer dependency","2007","Lower Saxony","Urban Area","29","","",""
"High transfer dependency","2007","Lower Saxony","Rural Area","23","","",""
"High transfer dependency","2007","Bremen","Urban Area","3","","",""
"High transfer dependency","2007","Bremen","Rural Area","","","",""
"High transfer dependency","2007","North Rhine-Westphalia","Urban Area","80","0.0264671431361564","0.0215638653583017","0.0313704209140112"
"High transfer dependency","2007","North Rhine-Westphalia","Rural Area","2","","",""
"High transfer dependency","2007","Hesse","Urban Area","23","","",""
"High transfer dependency","2007","Hesse","Rural Area","2","","",""
"High transfer dependency","2007","Rhineland-Palatinate,Saarland","Urban Area","26","","",""
"High transfer dependency","2007","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"High transfer dependency","2007","Baden-Württemberg","Urban Area","41","0.0259731988899804","0.019472914657593","0.0324734831223678"
"High transfer dependency","2007","Baden-Württemberg","Rural Area","3","","",""
"High transfer dependency","2007","Bavaria","Urban Area","15","","",""
"High transfer dependency","2007","Bavaria","Rural Area","25","","",""
"High transfer dependency","2007","Berlin","Urban Area","29","","",""
"High transfer dependency","2007","Berlin","Rural Area","","","",""
"High transfer dependency","2007","Brandenburg","Urban Area","","","",""
"High transfer dependency","2007","Brandenburg","Rural Area","27","","",""
"High transfer dependency","2007","Mecklenburg-Western Pomerania","Urban Area","1","","",""
"High transfer dependency","2007","Mecklenburg-Western Pomerania","Rural Area","19","","",""
"High transfer dependency","2007","Saxony","Urban Area","36","0.0554505429411363","0.0392330907525093","0.0716679951297634"
"High transfer dependency","2007","Saxony","Rural Area","23","","",""
"High transfer dependency","2007","Saxony-Anhalt","Urban Area","6","","",""
"High transfer dependency","2007","Saxony-Anhalt","Rural Area","14","","",""
"High transfer dependency","2007","Thuringia","Urban Area","12","","",""
"High transfer dependency","2007","Thuringia","Rural Area","22","","",""
"Very high transfer dependency","2007","Schleswig-Holstein","Urban Area","2","","",""
"Very high transfer dependency","2007","Schleswig-Holstein","Rural Area","10","","",""
"Very high transfer dependency","2007","Hamburg","Urban Area","14","","",""
"Very high transfer dependency","2007","Hamburg","Rural Area","","","",""
"Very high transfer dependency","2007","Lower Saxony","Urban Area","17","","",""
"Very high transfer dependency","2007","Lower Saxony","Rural Area","19","","",""
"Very high transfer dependency","2007","Bremen","Urban Area","5","","",""
"Very high transfer dependency","2007","Bremen","Rural Area","","","",""
"Very high transfer dependency","2007","North Rhine-Westphalia","Urban Area","47","0.0143609692067925","0.0107267720899158","0.0179951663236692"
"Very high transfer dependency","2007","North Rhine-Westphalia","Rural Area","3","","",""
"Very high transfer dependency","2007","Hesse","Urban Area","10","","",""
"Very high transfer dependency","2007","Hesse","Rural Area","1","","",""
"Very high transfer dependency","2007","Rhineland-Palatinate,Saarland","Urban Area","21","","",""
"Very high transfer dependency","2007","Rhineland-Palatinate,Saarland","Rural Area","5","","",""
"Very high transfer dependency","2007","Baden-Württemberg","Urban Area","27","","",""
"Very high transfer dependency","2007","Baden-Württemberg","Rural Area","","","",""
"Very high transfer dependency","2007","Bavaria","Urban Area","20","","",""
"Very high transfer dependency","2007","Bavaria","Rural Area","22","","",""
"Very high transfer dependency","2007","Berlin","Urban Area","37","0.0589066160837976","0.0421340871783931","0.0756791449892021"
"Very high transfer dependency","2007","Berlin","Rural Area","","","",""
"Very high transfer dependency","2007","Brandenburg","Urban Area","","","",""
"Very high transfer dependency","2007","Brandenburg","Rural Area","29","","",""
"Very high transfer dependency","2007","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very high transfer dependency","2007","Mecklenburg-Western Pomerania","Rural Area","16","","",""
"Very high transfer dependency","2007","Saxony","Urban Area","24","","",""
"Very high transfer dependency","2007","Saxony","Rural Area","17","","",""
"Very high transfer dependency","2007","Saxony-Anhalt","Urban Area","2","","",""
"Very high transfer dependency","2007","Saxony-Anhalt","Rural Area","27","","",""
"Very high transfer dependency","2007","Thuringia","Urban Area","18","","",""
"Very high transfer dependency","2007","Thuringia","Rural Area","9","","",""
"Complete transfer dependency","2007","Schleswig-Holstein","Urban Area","4","","",""
"Complete transfer dependency","2007","Schleswig-Holstein","Rural Area","5","","",""
"Complete transfer dependency","2007","Hamburg","Urban Area","1","","",""
"Complete transfer dependency","2007","Hamburg","Rural Area","","","",""
"Complete transfer dependency","2007","Lower Saxony","Urban Area","12","","",""
"Complete transfer dependency","2007","Lower Saxony","Rural Area","7","","",""
"Complete transfer dependency","2007","Bremen","Urban Area","2","","",""
"Complete transfer dependency","2007","Bremen","Rural Area","","","",""
"Complete transfer dependency","2007","North Rhine-Westphalia","Urban Area","62","0.0173283528201534","0.0133423232944564","0.0213143823458504"
"Complete transfer dependency","2007","North Rhine-Westphalia","Rural Area","8","","",""
"Complete transfer dependency","2007","Hesse","Urban Area","16","","",""
"Complete transfer dependency","2007","Hesse","Rural Area","","","",""
"Complete transfer dependency","2007","Rhineland-Palatinate,Saarland","Urban Area","15","","",""
"Complete transfer dependency","2007","Rhineland-Palatinate,Saarland","Rural Area","1","","",""
"Complete transfer dependency","2007","Baden-Württemberg","Urban Area","9","","",""
"Complete transfer dependency","2007","Baden-Württemberg","Rural Area","","","",""
"Complete transfer dependency","2007","Bavaria","Urban Area","8","","",""
"Complete transfer dependency","2007","Bavaria","Rural Area","7","","",""
"Complete transfer dependency","2007","Berlin","Urban Area","13","","",""
"Complete transfer dependency","2007","Berlin","Rural Area","","","",""
"Complete transfer dependency","2007","Brandenburg","Urban Area","1","","",""
"Complete transfer dependency","2007","Brandenburg","Rural Area","17","","",""
"Complete transfer dependency","2007","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Complete transfer dependency","2007","Mecklenburg-Western Pomerania","Rural Area","6","","",""
"Complete transfer dependency","2007","Saxony","Urban Area","12","","",""
"Complete transfer dependency","2007","Saxony","Rural Area","7","","",""
"Complete transfer dependency","2007","Saxony-Anhalt","Urban Area","4","","",""
"Complete transfer dependency","2007","Saxony-Anhalt","Rural Area","17","","",""
"Complete transfer dependency","2007","Thuringia","Urban Area","5","","",""
"Complete transfer dependency","2007","Thuringia","Rural Area","13","","",""
"No transfer dependency","2008","Schleswig-Holstein","Urban Area","118","0.517297635937976","0.452577367548272","0.582017904327679"
"No transfer dependency","2008","Schleswig-Holstein","Rural Area","144","0.51380548931498","0.460123281402446","0.567487697227514"
"No transfer dependency","2008","Hamburg","Urban Area","151","0.618857847394295","0.562669522486602","0.675046172301988"
"No transfer dependency","2008","Hamburg","Rural Area","","","",""
"No transfer dependency","2008","Lower Saxony","Urban Area","399","0.500114754462267","0.467247214213412","0.532982294711121"
"No transfer dependency","2008","Lower Saxony","Rural Area","354","0.453180412191571","0.420139848716032","0.486220975667109"
"No transfer dependency","2008","Bremen","Urban Area","77","0.584901658954436","0.503280830491069","0.666522487417803"
"No transfer dependency","2008","Bremen","Rural Area","","","",""
"No transfer dependency","2008","North Rhine-Westphalia","Urban Area","1657","0.457430361228308","0.441630127945927","0.47323059451069"
"No transfer dependency","2008","North Rhine-Westphalia","Rural Area","35","0.313596333033086","0.22355886149783","0.403633804568341"
"No transfer dependency","2008","Hesse","Urban Area","512","0.467970174551708","0.438563385604256","0.497376963499159"
"No transfer dependency","2008","Hesse","Rural Area","118","0.43152047921271","0.367089715354801","0.495951243070619"
"No transfer dependency","2008","Rhineland-Palatinate,Saarland","Urban Area","334","0.415486571309786","0.382020761946647","0.448952380672924"
"No transfer dependency","2008","Rhineland-Palatinate,Saarland","Rural Area","125","0.502123569173475","0.443028964530099","0.56121817381685"
"No transfer dependency","2008","Baden-Württemberg","Urban Area","955","0.501004633254195","0.479952904624907","0.522056361883483"
"No transfer dependency","2008","Baden-Württemberg","Rural Area","94","0.430857479269695","0.364510899572707","0.497204058966683"
"No transfer dependency","2008","Bavaria","Urban Area","680","0.530992158573455","0.50418238358342","0.55780193356349"
"No transfer dependency","2008","Bavaria","Rural Area","632","0.46163459786485","0.435983726009916","0.487285469719784"
"No transfer dependency","2008","Berlin","Urban Area","320","0.463492796331186","0.427017809645709","0.499967783016663"
"No transfer dependency","2008","Berlin","Rural Area","","","",""
"No transfer dependency","2008","Brandenburg","Urban Area","37","0.625208930196647","0.506614222906256","0.743803637487038"
"No transfer dependency","2008","Brandenburg","Rural Area","293","0.392944725887262","0.357990691459401","0.427898760315124"
"No transfer dependency","2008","Mecklenburg-Western Pomerania","Urban Area","35","0.518635706852219","0.395255367895227","0.642016045809212"
"No transfer dependency","2008","Mecklenburg-Western Pomerania","Rural Area","173","0.448879491749069","0.401703360653165","0.496055622844974"
"No transfer dependency","2008","Saxony","Urban Area","338","0.539976832791558","0.503822189885619","0.576131475697496"
"No transfer dependency","2008","Saxony","Rural Area","327","0.525296925542605","0.488304524327394","0.562289326757816"
"No transfer dependency","2008","Saxony-Anhalt","Urban Area","101","0.48462777390341","0.418133709584296","0.551121838222525"
"No transfer dependency","2008","Saxony-Anhalt","Rural Area","248","0.467165913850068","0.426941851972915","0.50738997572722"
"No transfer dependency","2008","Thuringia","Urban Area","112","0.476299175828815","0.415591590252337","0.537006761405293"
"No transfer dependency","2008","Thuringia","Rural Area","261","0.476397380659894","0.43676330252388","0.516031458795907"
"Very low transfer dependency","2008","Schleswig-Holstein","Urban Area","96","0.399327498805455","0.335894705827976","0.462760291782933"
"Very low transfer dependency","2008","Schleswig-Holstein","Rural Area","138","0.341954021757102","0.291004753401204","0.392903290113"
"Very low transfer dependency","2008","Hamburg","Urban Area","109","0.251108488287798","0.200938119492286","0.30127885708331"
"Very low transfer dependency","2008","Hamburg","Rural Area","","","",""
"Very low transfer dependency","2008","Lower Saxony","Urban Area","419","0.403917978132296","0.371662995367762","0.436172960896831"
"Very low transfer dependency","2008","Lower Saxony","Rural Area","414","0.395826027562757","0.363367932449872","0.428284122675642"
"Very low transfer dependency","2008","Bremen","Urban Area","49","0.320938583454235","0.243608306350084","0.398268860558385"
"Very low transfer dependency","2008","Bremen","Rural Area","","","",""
"Very low transfer dependency","2008","North Rhine-Westphalia","Urban Area","1838","0.431162826153143","0.415456019351142","0.446869632955144"
