"plb0195_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Acclaimed","2016","Employed","direct migration background","","","",""
"Acclaimed","2016","Employed","indirect migration background","","","",""
"Partly, partly","2016","Not Employed","no migration background","","","",""
"Partly, partly","2016","Not Employed","direct migration background","","","",""
"Partly, partly","2016","Not Employed","indirect migration background","","","",""
"Partly, partly","2016","Employed","no migration background","","","",""
"Partly, partly","2016","Employed","direct migration background","","","",""
"Partly, partly","2016","Employed","indirect migration background","","","",""
"Paid","2016","Not Employed","no migration background","","","",""
"Paid","2016","Not Employed","direct migration background","","","",""
"Paid","2016","Not Employed","indirect migration background","","","",""
"Paid","2016","Employed","no migration background","","","",""
"Paid","2016","Employed","direct migration background","","","",""
"Paid","2016","Employed","indirect migration background","","","",""
"Not paid","2016","Not Employed","no migration background","","","",""
"Not paid","2016","Not Employed","direct migration background","","","",""
"Not paid","2016","Not Employed","indirect migration background","","","",""
"Not paid","2016","Employed","no migration background","","","",""
"Not paid","2016","Employed","direct migration background","","","",""
"Not paid","2016","Employed","indirect migration background","","","",""
"Acclaimed","2017","Not Employed","no migration background","","","",""
"Acclaimed","2017","Not Employed","direct migration background","","","",""
"Acclaimed","2017","Not Employed","indirect migration background","","","",""
"Acclaimed","2017","Employed","no migration background","","","",""
"Acclaimed","2017","Employed","direct migration background","","","",""
"Acclaimed","2017","Employed","indirect migration background","","","",""
"Partly, partly","2017","Not Employed","no migration background","","","",""
"Partly, partly","2017","Not Employed","direct migration background","","","",""
"Partly, partly","2017","Not Employed","indirect migration background","","","",""
"Partly, partly","2017","Employed","no migration background","","","",""
"Partly, partly","2017","Employed","direct migration background","","","",""
"Partly, partly","2017","Employed","indirect migration background","","","",""
"Paid","2017","Not Employed","no migration background","","","",""
"Paid","2017","Not Employed","direct migration background","","","",""
"Paid","2017","Not Employed","indirect migration background","","","",""
"Paid","2017","Employed","no migration background","","","",""
"Paid","2017","Employed","direct migration background","","","",""
"Paid","2017","Employed","indirect migration background","","","",""
"Not paid","2017","Not Employed","no migration background","","","",""
"Not paid","2017","Not Employed","direct migration background","","","",""
"Not paid","2017","Not Employed","indirect migration background","","","",""
"Not paid","2017","Employed","no migration background","","","",""
"Not paid","2017","Employed","direct migration background","","","",""
"Not paid","2017","Employed","indirect migration background","","","",""
"Acclaimed","2018","Not Employed","no migration background","36","0.464463932419556","0.356516696861654","0.572411167977457"
"Acclaimed","2018","Not Employed","direct migration background","7","","",""
"Acclaimed","2018","Not Employed","indirect migration background","2","","",""
"Acclaimed","2018","Employed","no migration background","4280","0.550608567363723","0.539481359594537","0.561735775132909"
"Acclaimed","2018","Employed","direct migration background","620","0.461196817134866","0.435503382028159","0.486890252241573"
"Acclaimed","2018","Employed","indirect migration background","325","0.514293286716971","0.475632288985998","0.552954284447944"
"Partly, partly","2018","Not Employed","no migration background","21","","",""
"Partly, partly","2018","Not Employed","direct migration background","4","","",""
"Partly, partly","2018","Not Employed","indirect migration background","2","","",""
"Partly, partly","2018","Employed","no migration background","1606","0.218024820707082","0.208788441096749","0.227261200317415"
"Partly, partly","2018","Employed","direct migration background","376","0.243894882677679","0.2217610624976","0.266028702857758"
"Partly, partly","2018","Employed","indirect migration background","136","0.240687344332454","0.207618613758912","0.273756074905995"
"Paid","2018","Not Employed","no migration background","15","","",""
"Paid","2018","Not Employed","direct migration background","8","","",""
"Paid","2018","Not Employed","indirect migration background","6","","",""
"Paid","2018","Employed","no migration background","779","0.09612865118472","0.0895349075894729","0.102722394779967"
"Paid","2018","Employed","direct migration background","292","0.174947063735224","0.155365012589297","0.194529114881152"
"Paid","2018","Employed","indirect migration background","93","0.128636517348503","0.102738746037381","0.154534288659626"
"Not paid","2018","Not Employed","no migration background","10","","",""
"Not paid","2018","Not Employed","direct migration background","7","","",""
"Not paid","2018","Not Employed","indirect migration background","5","","",""
"Not paid","2018","Employed","no migration background","1012","0.135237960744475","0.127588163298233","0.142887758190717"
"Not paid","2018","Employed","direct migration background","158","0.11996123645223","0.103214302314077","0.136708170590383"
"Not paid","2018","Employed","indirect migration background","88","0.116382851602072","0.0915768286141043","0.141188874590039"
