"plb0195_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Paid","2013","Not Working","Rural Area","87","0.145709936065483","0.113468347132691","0.177951524998275"
"Not paid","2013","Full Time","Urban Area","896","0.205942409038085","0.193592860247373","0.218291957828797"
"Not paid","2013","Full Time","Rural Area","396","0.152687275830711","0.138003561943886","0.167370989717535"
"Not paid","2013","Part Time","Urban Area","214","0.12165106280057","0.106409787417994","0.136892338183146"
"Not paid","2013","Part Time","Rural Area","90","0.0938760867478407","0.075844400380796","0.111907773114885"
"Not paid","2013","Not Working","Urban Area","185","0.144496718341364","0.126046529351674","0.162946907331055"
"Not paid","2013","Not Working","Rural Area","49","0.151160419757152","0.118426272577441","0.183894566936862"
"Acclaimed","2014","Full Time","Urban Area","2123","0.490219865624947","0.475613951558782","0.504825779691111"
"Acclaimed","2014","Full Time","Rural Area","1223","0.509608816269993","0.489575294761767","0.529642337778219"
"Acclaimed","2014","Part Time","Urban Area","1036","0.511779405746994","0.489403198029633","0.534155613464355"
"Acclaimed","2014","Part Time","Rural Area","596","0.59846821930458","0.568472801232708","0.628463637376453"
"Acclaimed","2014","Not Working","Urban Area","71","0.523721365989144","0.445845974449173","0.601596757529115"
"Acclaimed","2014","Not Working","Rural Area","44","0.566508792345124","0.458589508294249","0.674428076395999"
"Partly, partly","2014","Full Time","Urban Area","990","0.222112822367912","0.20996811776461","0.234257526971214"
"Partly, partly","2014","Full Time","Rural Area","540","0.236345784795396","0.219320679343556","0.253370890247236"
"Partly, partly","2014","Part Time","Urban Area","384","0.210455255781273","0.19220767495311","0.228702836609436"
"Partly, partly","2014","Part Time","Rural Area","209","0.202836201592219","0.178231339843464","0.227441063340974"
"Partly, partly","2014","Not Working","Urban Area","29","","",""
"Partly, partly","2014","Not Working","Rural Area","17","","",""
"Paid","2014","Full Time","Urban Area","471","0.0983737727117109","0.0896722598604461","0.107075285562976"
"Paid","2014","Full Time","Rural Area","260","0.0962305191832927","0.0844122805865426","0.108048757780043"
"Paid","2014","Part Time","Urban Area","292","0.163447645673619","0.146894789857764","0.180000501489473"
"Paid","2014","Part Time","Rural Area","131","0.110072535120644","0.0909215464129099","0.129223523828379"
"Paid","2014","Not Working","Urban Area","29","","",""
"Paid","2014","Not Working","Rural Area","15","","",""
"Not paid","2014","Full Time","Urban Area","916","0.18929353929543","0.17784786068668","0.20073921790418"
"Not paid","2014","Full Time","Rural Area","369","0.157814879751318","0.143205046480379","0.172424713022256"
"Not paid","2014","Part Time","Urban Area","205","0.114317692798114","0.100073667231456","0.128561718364773"
"Not paid","2014","Part Time","Rural Area","90","0.088623043982556","0.0712331568306309","0.106012931134481"
"Not paid","2014","Not Working","Urban Area","29","","",""
"Not paid","2014","Not Working","Rural Area","5","","",""
"Acclaimed","2015","Full Time","Urban Area","","","",""
"Acclaimed","2015","Full Time","Rural Area","","","",""
"Acclaimed","2015","Part Time","Urban Area","","","",""
"Acclaimed","2015","Part Time","Rural Area","","","",""
"Acclaimed","2015","Not Working","Urban Area","","","",""
"Acclaimed","2015","Not Working","Rural Area","","","",""
"Partly, partly","2015","Full Time","Urban Area","","","",""
"Partly, partly","2015","Full Time","Rural Area","","","",""
"Partly, partly","2015","Part Time","Urban Area","","","",""
"Partly, partly","2015","Part Time","Rural Area","","","",""
"Partly, partly","2015","Not Working","Urban Area","","","",""
"Partly, partly","2015","Not Working","Rural Area","","","",""
"Paid","2015","Full Time","Urban Area","","","",""
"Paid","2015","Full Time","Rural Area","","","",""
"Paid","2015","Part Time","Urban Area","","","",""
"Paid","2015","Part Time","Rural Area","","","",""
"Paid","2015","Not Working","Urban Area","","","",""
"Paid","2015","Not Working","Rural Area","","","",""
"Not paid","2015","Full Time","Urban Area","","","",""
"Not paid","2015","Full Time","Rural Area","","","",""
"Not paid","2015","Part Time","Urban Area","","","",""
"Not paid","2015","Part Time","Rural Area","","","",""
"Not paid","2015","Not Working","Urban Area","","","",""
"Not paid","2015","Not Working","Rural Area","","","",""
"Acclaimed","2016","Full Time","Urban Area","","","",""
"Acclaimed","2016","Full Time","Rural Area","","","",""
"Acclaimed","2016","Part Time","Urban Area","","","",""
"Acclaimed","2016","Part Time","Rural Area","","","",""
"Acclaimed","2016","Not Working","Urban Area","","","",""
"Acclaimed","2016","Not Working","Rural Area","","","",""
"Partly, partly","2016","Full Time","Urban Area","","","",""
"Partly, partly","2016","Full Time","Rural Area","","","",""
"Partly, partly","2016","Part Time","Urban Area","","","",""
"Partly, partly","2016","Part Time","Rural Area","","","",""
"Partly, partly","2016","Not Working","Urban Area","","","",""
"Partly, partly","2016","Not Working","Rural Area","","","",""
"Paid","2016","Full Time","Urban Area","","","",""
"Paid","2016","Full Time","Rural Area","","","",""
"Paid","2016","Part Time","Urban Area","","","",""
"Paid","2016","Part Time","Rural Area","","","",""
"Paid","2016","Not Working","Urban Area","","","",""
"Paid","2016","Not Working","Rural Area","","","",""
"Not paid","2016","Full Time","Urban Area","","","",""
"Not paid","2016","Full Time","Rural Area","","","",""
"Not paid","2016","Part Time","Urban Area","","","",""
"Not paid","2016","Part Time","Rural Area","","","",""
"Not paid","2016","Not Working","Urban Area","","","",""
"Not paid","2016","Not Working","Rural Area","","","",""
"Acclaimed","2017","Full Time","Urban Area","","","",""
"Acclaimed","2017","Full Time","Rural Area","","","",""
"Acclaimed","2017","Part Time","Urban Area","","","",""
"Acclaimed","2017","Part Time","Rural Area","","","",""
"Acclaimed","2017","Not Working","Urban Area","","","",""
"Acclaimed","2017","Not Working","Rural Area","","","",""
"Partly, partly","2017","Full Time","Urban Area","","","",""
"Partly, partly","2017","Full Time","Rural Area","","","",""
"Partly, partly","2017","Part Time","Urban Area","","","",""
"Partly, partly","2017","Part Time","Rural Area","","","",""
"Partly, partly","2017","Not Working","Urban Area","","","",""
"Partly, partly","2017","Not Working","Rural Area","","","",""
"Paid","2017","Full Time","Urban Area","","","",""
"Paid","2017","Full Time","Rural Area","","","",""
"Paid","2017","Part Time","Urban Area","","","",""
"Paid","2017","Part Time","Rural Area","","","",""
"Paid","2017","Not Working","Urban Area","","","",""
"Paid","2017","Not Working","Rural Area","","","",""
"Not paid","2017","Full Time","Urban Area","","","",""
"Not paid","2017","Full Time","Rural Area","","","",""
"Not paid","2017","Part Time","Urban Area","","","",""
"Not paid","2017","Part Time","Rural Area","","","",""
"Not paid","2017","Not Working","Urban Area","","","",""
"Not paid","2017","Not Working","Rural Area","","","",""
"Acclaimed","2018","Full Time","Urban Area","2181","0.517271401381973","0.50229212686592","0.532250675898025"
"Acclaimed","2018","Full Time","Rural Area","1271","0.53506967779446","0.515148319085996","0.554991036502924"
"Acclaimed","2018","Part Time","Urban Area","1126","0.554437636665698","0.53261661688873","0.576258656442666"
"Acclaimed","2018","Part Time","Rural Area","647","0.605297799831212","0.576267369579371","0.634328230083053"
"Acclaimed","2018","Not Working","Urban Area","30","0.344356285861943","0.246189449596694","0.442523122127191"
"Acclaimed","2018","Not Working","Rural Area","15","","",""
"Partly, partly","2018","Full Time","Urban Area","954","0.232775713474205","0.220107655689443","0.245443771258968"
"Partly, partly","2018","Full Time","Rural Area","609","0.243593823123262","0.226449098305171","0.260738547941353"
"Partly, partly","2018","Part Time","Urban Area","353","0.189813977389227","0.172597237838206","0.207030716940248"
"Partly, partly","2018","Part Time","Rural Area","202","0.185215937097741","0.162143440500666","0.208288433694816"
"Partly, partly","2018","Not Working","Urban Area","22","","",""
"Partly, partly","2018","Not Working","Rural Area","5","","",""
"Paid","2018","Full Time","Urban Area","456","0.0991151302046668","0.0901576747739434","0.10807258563539"
"Paid","2018","Full Time","Rural Area","233","0.086006063563409","0.0748076618556601","0.0972044652711578"
"Paid","2018","Part Time","Urban Area","313","0.147230781488136","0.131674366924337","0.162787196051935"
"Paid","2018","Part Time","Rural Area","162","0.142806377529212","0.122026287816597","0.163586467241826"
"Paid","2018","Not Working","Urban Area","18","","",""
"Paid","2018","Not Working","Rural Area","11","","",""
"Not paid","2018","Full Time","Urban Area","684","0.150837754939155","0.14010946753044","0.16156604234787"
"Not paid","2018","Full Time","Rural Area","295","0.135330435518869","0.121667542251162","0.148993328786576"
"Not paid","2018","Part Time","Urban Area","201","0.108517604456939","0.0948623144995417","0.122172894414336"
"Not paid","2018","Part Time","Rural Area","78","0.066679885541835","0.0518633425061964","0.0814964285774736"
"Not paid","2018","Not Working","Urban Area","20","","",""
"Not paid","2018","Not Working","Rural Area","2","","",""
