"plh0206i01","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2013","general elemantary","Male","","","","","6"
"6 on scale 1-7","2013","general elemantary","Female","","","","","6"
"6 on scale 1-7","2013","vocational + Abi","Male","","","","","6"
"6 on scale 1-7","2013","in school","Male","","","","","6"
"6 on scale 1-7","2013","middle vocational","Male","","","","","6"
"6 on scale 1-7","2013","middle vocational","Female","","","","","6"
"7 Strongly agree","2013","middle vocational","Female","","","","","7"
"7 Strongly agree","2013","vocational + Abi","Female","","","","","7"
"7 Strongly agree","2013","vocational + Abi","Male","","","","","7"
"7 Strongly agree","2013","general elemantary","Female","","","","","7"
"7 Strongly agree","2013","middle vocational","Male","","","","","7"
"7 Strongly agree","2013","higher vocational","Male","","","","","7"
"7 Strongly agree","2013","higher vocational","Female","","","","","7"
"7 Strongly agree","2013","higher education","Male","","","","","7"
"7 Strongly agree","2013","higher education","Female","","","","","7"
"7 Strongly agree","2013","in school","Male","","","","","7"
"7 Strongly agree","2013","in school","Female","","","","","7"
"7 Strongly agree","2013","inadequately","Male","","","","","7"
"7 Strongly agree","2013","inadequately","Female","","","","","7"
"7 Strongly agree","2013","general elemantary","Male","","","","","7"
"1 Strongly disagree","2014","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2014","higher vocational","Male","","","","","1"
"1 Strongly disagree","2014","higher vocational","Female","","","","","1"
"1 Strongly disagree","2014","higher education","Male","","","","","1"
"1 Strongly disagree","2014","higher education","Female","","","","","1"
"1 Strongly disagree","2014","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2014","in school","Male","","","","","1"
"1 Strongly disagree","2014","in school","Female","","","","","1"
"1 Strongly disagree","2014","inadequately","Male","","","","","1"
"1 Strongly disagree","2014","inadequately","Female","","","","","1"
"1 Strongly disagree","2014","general elemantary","Male","","","","","1"
"1 Strongly disagree","2014","general elemantary","Female","","","","","1"
"1 Strongly disagree","2014","middle vocational","Male","","","","","1"
"1 Strongly disagree","2014","middle vocational","Female","","","","","1"
"2 on scale 1-7 ","2014","inadequately","Male","","","","","2"
"2 on scale 1-7 ","2014","inadequately","Female","","","","","2"
"2 on scale 1-7 ","2014","general elemantary","Male","","","","","2"
"2 on scale 1-7 ","2014","general elemantary","Female","","","","","2"
"2 on scale 1-7 ","2014","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2014","middle vocational","Female","","","","","2"
"2 on scale 1-7 ","2014","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2014","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2014","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2014","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2014","higher education","Male","","","","","2"
"2 on scale 1-7 ","2014","higher education","Female","","","","","2"
"2 on scale 1-7 ","2014","in school","Male","","","","","2"
"2 on scale 1-7 ","2014","in school","Female","","","","","2"
"3 on scale 1-7 ","2014","higher vocational","Female","","","","","3"
"3 on scale 1-7 ","2014","higher education","Male","","","","","3"
"3 on scale 1-7 ","2014","higher education","Female","","","","","3"
"3 on scale 1-7 ","2014","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2014","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2014","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2014","middle vocational","Male","","","","","3"
"3 on scale 1-7 ","2014","middle vocational","Female","","","","","3"
"3 on scale 1-7 ","2014","vocational + Abi","Male","","","","","3"
"3 on scale 1-7 ","2014","inadequately","Male","","","","","3"
"3 on scale 1-7 ","2014","inadequately","Female","","","","","3"
"3 on scale 1-7 ","2014","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2014","in school","Male","","","","","3"
"3 on scale 1-7 ","2014","in school","Female","","","","","3"
"4 on scale 1-7","2014","middle vocational","Female","","","","","4"
"4 on scale 1-7","2014","vocational + Abi","Male","","","","","4"
"4 on scale 1-7","2014","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2014","higher vocational","Male","","","","","4"
"4 on scale 1-7","2014","higher vocational","Female","","","","","4"
"4 on scale 1-7","2014","higher education","Male","","","","","4"
"4 on scale 1-7","2014","higher education","Female","","","","","4"
"4 on scale 1-7","2014","in school","Male","","","","","4"
"4 on scale 1-7","2014","in school","Female","","","","","4"
"4 on scale 1-7","2014","inadequately","Male","","","","","4"
"4 on scale 1-7","2014","inadequately","Female","","","","","4"
"4 on scale 1-7","2014","general elemantary","Male","","","","","4"
"4 on scale 1-7","2014","general elemantary","Female","","","","","4"
"4 on scale 1-7","2014","middle vocational","Male","","","","","4"
"5 on scale 1-7","2014","general elemantary","Female","","","","","5"
"5 on scale 1-7","2014","middle vocational","Male","","","","","5"
"5 on scale 1-7","2014","middle vocational","Female","","","","","5"
"5 on scale 1-7","2014","vocational + Abi","Male","","","","","5"
"5 on scale 1-7","2014","vocational + Abi","Female","","","","","5"
"5 on scale 1-7","2014","higher vocational","Male","","","","","5"
"5 on scale 1-7","2014","higher vocational","Female","","","","","5"
"5 on scale 1-7","2014","higher education","Male","","","","","5"
"5 on scale 1-7","2014","higher education","Female","","","","","5"
"5 on scale 1-7","2014","in school","Male","","","","","5"
"5 on scale 1-7","2014","in school","Female","","","","","5"
"5 on scale 1-7","2014","inadequately","Male","","","","","5"
"5 on scale 1-7","2014","inadequately","Female","","","","","5"
"5 on scale 1-7","2014","general elemantary","Male","","","","","5"
"6 on scale 1-7","2014","vocational + Abi","Female","","","","","6"
"6 on scale 1-7","2014","higher vocational","Male","","","","","6"
"6 on scale 1-7","2014","higher vocational","Female","","","","","6"
"6 on scale 1-7","2014","inadequately","Female","","","","","6"
"6 on scale 1-7","2014","middle vocational","Male","","","","","6"
"6 on scale 1-7","2014","middle vocational","Female","","","","","6"
"6 on scale 1-7","2014","vocational + Abi","Male","","","","","6"
"6 on scale 1-7","2014","higher education","Male","","","","","6"
"6 on scale 1-7","2014","higher education","Female","","","","","6"
"6 on scale 1-7","2014","in school","Male","","","","","6"
"6 on scale 1-7","2014","general elemantary","Female","","","","","6"
"6 on scale 1-7","2014","in school","Female","","","","","6"
"6 on scale 1-7","2014","inadequately","Male","","","","","6"
"6 on scale 1-7","2014","general elemantary","Male","","","","","6"
"7 Strongly agree","2014","general elemantary","Female","","","","","7"
"7 Strongly agree","2014","middle vocational","Male","","","","","7"
"7 Strongly agree","2014","middle vocational","Female","","","","","7"
"7 Strongly agree","2014","vocational + Abi","Male","","","","","7"
"7 Strongly agree","2014","vocational + Abi","Female","","","","","7"
"7 Strongly agree","2014","higher vocational","Male","","","","","7"
"7 Strongly agree","2014","higher vocational","Female","","","","","7"
"7 Strongly agree","2014","higher education","Male","","","","","7"
"7 Strongly agree","2014","higher education","Female","","","","","7"
"7 Strongly agree","2014","in school","Male","","","","","7"
"7 Strongly agree","2014","in school","Female","","","","","7"
"7 Strongly agree","2014","inadequately","Male","","","","","7"
"7 Strongly agree","2014","inadequately","Female","","","","","7"
"7 Strongly agree","2014","general elemantary","Male","","","","","7"
"1 Strongly disagree","2015","vocational + Abi","Female","4","","","","1"
"1 Strongly disagree","2015","higher vocational","Male","2","","","","1"
"1 Strongly disagree","2015","higher vocational","Female","1","","","","1"
"1 Strongly disagree","2015","higher education","Male","10","","","","1"
"1 Strongly disagree","2015","higher education","Female","8","","","","1"
"1 Strongly disagree","2015","general elemantary","Male","9","","","","1"
"1 Strongly disagree","2015","general elemantary","Female","7","","","","1"
"1 Strongly disagree","2015","middle vocational","Male","15","","","","1"
"1 Strongly disagree","2015","middle vocational","Female","23","","","","1"
"1 Strongly disagree","2015","vocational + Abi","Male","3","","","","1"
"1 Strongly disagree","2015","inadequately","Female","4","","","","1"
"1 Strongly disagree","2015","in school","Male","1","","","","1"
"1 Strongly disagree","2015","inadequately","Male","1","","","","1"
"1 Strongly disagree","2015","in school","Female","","","","","1"
"2 on scale 1-7 ","2015","inadequately","Male","3","","","","2"
"2 on scale 1-7 ","2015","inadequately","Female","2","","","","2"
"2 on scale 1-7 ","2015","vocational + Abi","Male","5","","","","2"
"2 on scale 1-7 ","2015","vocational + Abi","Female","5","","","","2"
"2 on scale 1-7 ","2015","higher vocational","Male","4","","","","2"
"2 on scale 1-7 ","2015","higher vocational","Female","3","","","","2"
"2 on scale 1-7 ","2015","higher education","Male","14","","","","2"
"2 on scale 1-7 ","2015","higher education","Female","16","","","","2"
"2 on scale 1-7 ","2015","in school","Male","","","","","2"
"2 on scale 1-7 ","2015","in school","Female","","","","","2"
"2 on scale 1-7 ","2015","general elemantary","Male","10","","","","2"
"2 on scale 1-7 ","2015","general elemantary","Female","16","","","","2"
"2 on scale 1-7 ","2015","middle vocational","Male","22","","","","2"
"2 on scale 1-7 ","2015","middle vocational","Female","24","","","","2"
"3 on scale 1-7 ","2015","higher vocational","Female","4","","","","3"
"3 on scale 1-7 ","2015","higher education","Male","21","","","","3"
"3 on scale 1-7 ","2015","higher education","Female","21","","","","3"
"3 on scale 1-7 ","2015","vocational + Abi","Female","6","","","","3"
"3 on scale 1-7 ","2015","higher vocational","Male","5","","","","3"
"3 on scale 1-7 ","2015","general elemantary","Male","12","","","","3"
"3 on scale 1-7 ","2015","general elemantary","Female","21","","","","3"
"3 on scale 1-7 ","2015","middle vocational","Male","49","0.00755950441876153","0.00526685384054192","0.00985215499698114","3"
"3 on scale 1-7 ","2015","middle vocational","Female","48","0.006446512849934","0.00452990363558062","0.00836312206428739","3"
"3 on scale 1-7 ","2015","vocational + Abi","Male","8","","","","3"
"3 on scale 1-7 ","2015","inadequately","Female","3","","","","3"
"3 on scale 1-7 ","2015","inadequately","Male","6","","","","3"
"3 on scale 1-7 ","2015","in school","Male","","","","","3"
"3 on scale 1-7 ","2015","in school","Female","4","","","","3"
"4 on scale 1-7","2015","middle vocational","Female","189","0.0276200326029824","0.0236953402927069","0.0315447249132578","4"
"4 on scale 1-7","2015","vocational + Abi","Male","29","","","","4"
"4 on scale 1-7","2015","vocational + Abi","Female","36","0.0263757907816903","0.0177988555849399","0.0349527259784408","4"
"4 on scale 1-7","2015","higher vocational","Male","27","","","","4"
"4 on scale 1-7","2015","higher vocational","Female","21","","","","4"
"4 on scale 1-7","2015","higher education","Male","75","0.0182621908006568","0.0136229459073825","0.0229014356939312","4"
"4 on scale 1-7","2015","higher education","Female","75","0.0237638396724737","0.018502989818878","0.0290246895260695","4"
"4 on scale 1-7","2015","in school","Male","6","","","","4"
"4 on scale 1-7","2015","in school","Female","5","","","","4"
"4 on scale 1-7","2015","inadequately","Male","8","","","","4"
"4 on scale 1-7","2015","inadequately","Female","21","","","","4"
"4 on scale 1-7","2015","general elemantary","Male","55","0.0449397350736416","0.0330433292577923","0.056836140889491","4"
"4 on scale 1-7","2015","general elemantary","Female","74","0.0336720590785614","0.0252780702050541","0.0420660479520686","4"
"4 on scale 1-7","2015","middle vocational","Male","169","0.0267826227667141","0.0225092532506416","0.0310559922827866","4"
"5 on scale 1-7","2015","middle vocational","Male","484","0.0924494178134179","0.0847823998950314","0.100116435731804","5"
"5 on scale 1-7","2015","middle vocational","Female","542","0.0804602776625999","0.073946221026009","0.0869743342991909","5"
"5 on scale 1-7","2015","vocational + Abi","Male","71","0.0877878141215476","0.0682996632097267","0.107275965033368","5"
"5 on scale 1-7","2015","vocational + Abi","Female","84","0.0761841670488714","0.0619851341810467","0.0903831999166961","5"
"5 on scale 1-7","2015","higher vocational","Male","60","0.0624314108438446","0.0470466982475705","0.0778161234401187","5"
"5 on scale 1-7","2015","higher vocational","Female","50","0.0731296672874601","0.0521041478863068","0.0941551866886134","5"
"5 on scale 1-7","2015","higher education","Male","266","0.0876287264846662","0.0778319736028259","0.0974254793665064","5"
"5 on scale 1-7","2015","higher education","Female","201","0.0563410189471795","0.0483768577354951","0.0643051801588639","5"
"5 on scale 1-7","2015","general elemantary","Male","110","0.0922673827121309","0.0756490213021906","0.108885744122071","5"
"5 on scale 1-7","2015","general elemantary","Female","155","0.101242461628854","0.0872054744131303","0.115279448844578","5"
"5 on scale 1-7","2015","in school","Male","20","","","","5"
"5 on scale 1-7","2015","in school","Female","11","","","","5"
"5 on scale 1-7","2015","inadequately","Male","25","","","","5"
"5 on scale 1-7","2015","inadequately","Female","27","","","","5"
"6 on scale 1-7","2015","vocational + Abi","Female","334","0.261860258325546","0.23832939873827","0.285391117912822","6"
"6 on scale 1-7","2015","higher vocational","Male","305","0.327410688570826","0.297570078643951","0.357251298497701","6"
"6 on scale 1-7","2015","higher vocational","Female","157","0.257865163026675","0.2225364196693","0.293193906384049","6"
"6 on scale 1-7","2015","higher education","Male","1085","0.340414926151717","0.323997207513039","0.356832644790395","6"
"6 on scale 1-7","2015","higher education","Female","887","0.275355624642716","0.259926915424716","0.290784333860715","6"
"6 on scale 1-7","2015","inadequately","Male","48","0.274595156840338","0.214374772169034","0.334815541511643","6"
"6 on scale 1-7","2015","inadequately","Female","63","0.193532435072868","0.149339867315719","0.237725002830017","6"
"6 on scale 1-7","2015","general elemantary","Male","260","0.25860258132194","0.233459002632403","0.283746160011476","6"
"6 on scale 1-7","2015","middle vocational","Male","1478","0.271174302846339","0.259407050345955","0.282941555346723","6"
"6 on scale 1-7","2015","middle vocational","Female","1742","0.270599370368058","0.259959851790437","0.28123888894568","6"
"6 on scale 1-7","2015","vocational + Abi","Male","227","0.324544914357407","0.292301485210596","0.356788343504218","6"
"6 on scale 1-7","2015","in school","Female","59","0.324473039094067","0.261000539772875","0.387945538415259","6"
"6 on scale 1-7","2015","in school","Male","50","0.296740847629753","0.227662838404288","0.365818856855218","6"
"6 on scale 1-7","2015","general elemantary","Female","413","0.224092649407535","0.204688704987319","0.243496593827751","6"
"7 Strongly agree","2015","in school","Male","91","0.477035140197954","0.401507678374436","0.552562602021472","7"
"7 Strongly agree","2015","in school","Female","130","0.598525492639161","0.532067799623694","0.664983185654627","7"
"7 Strongly agree","2015","inadequately","Male","120","0.568235106181344","0.501401551920526","0.635068660442162","7"
"7 Strongly agree","2015","inadequately","Female","187","0.576926016891402","0.521661404925538","0.632190628857267","7"
"7 Strongly agree","2015","general elemantary","Male","709","0.579245699667126","0.550897151684283","0.607594247649968","7"
"7 Strongly agree","2015","general elemantary","Female","1088","0.615799010012912","0.593164556347786","0.638433463678037","7"
"7 Strongly agree","2015","middle vocational","Male","3266","0.59457402156227","0.581578380138903","0.607569662985636","7"
"7 Strongly agree","2015","middle vocational","Female","4130","0.607399336097727","0.59570466019256","0.619094012002894","7"
"7 Strongly agree","2015","vocational + Abi","Male","467","0.534606218632088","0.500255733684108","0.568956703580068","7"
"7 Strongly agree","2015","vocational + Abi","Female","872","0.623824115338624","0.597896638362283","0.649751592314965","7"
"7 Strongly agree","2015","higher vocational","Male","547","0.572909074972503","0.541454102393765","0.60436404755124","7"
"7 Strongly agree","2015","higher vocational","Female","353","0.618494159066106","0.579265014256809","0.657723303875404","7"
"7 Strongly agree","2015","higher education","Male","1729","0.543536642970015","0.526278642531559","0.560794643408472","7"
"7 Strongly agree","2015","higher education","Female","2012","0.628822945867861","0.612136074971312","0.645509816764411","7"
"1 Strongly disagree","2016","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2016","higher vocational","Male","","","","","1"
"1 Strongly disagree","2016","higher vocational","Female","","","","","1"
"1 Strongly disagree","2016","higher education","Male","4","","","","1"
"1 Strongly disagree","2016","higher education","Female","2","","","","1"
"1 Strongly disagree","2016","general elemantary","Male","1","","","","1"
"1 Strongly disagree","2016","inadequately","Female","7","","","","1"
"1 Strongly disagree","2016","general elemantary","Female","","","","","1"
"1 Strongly disagree","2016","middle vocational","Male","3","","","","1"
"1 Strongly disagree","2016","in school","Female","","","","","1"
"1 Strongly disagree","2016","inadequately","Male","9","","","","1"
"1 Strongly disagree","2016","middle vocational","Female","2","","","","1"
"1 Strongly disagree","2016","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2016","in school","Male","","","","","1"
"2 on scale 1-7 ","2016","in school","Male","","","","","2"
"2 on scale 1-7 ","2016","in school","Female","","","","","2"
"2 on scale 1-7 ","2016","inadequately","Male","4","","","","2"
"2 on scale 1-7 ","2016","inadequately","Female","1","","","","2"
"2 on scale 1-7 ","2016","general elemantary","Male","","","","","2"
"2 on scale 1-7 ","2016","general elemantary","Female","1","","","","2"
"2 on scale 1-7 ","2016","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2016","middle vocational","Female","","","","","2"
"2 on scale 1-7 ","2016","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2016","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2016","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2016","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2016","higher education","Male","","","","","2"
"2 on scale 1-7 ","2016","higher education","Female","1","","","","2"
"3 on scale 1-7 ","2016","in school","Male","","","","","3"
"3 on scale 1-7 ","2016","in school","Female","1","","","","3"
"3 on scale 1-7 ","2016","inadequately","Male","1","","","","3"
"3 on scale 1-7 ","2016","inadequately","Female","4","","","","3"
"3 on scale 1-7 ","2016","higher education","Male","1","","","","3"
"3 on scale 1-7 ","2016","higher education","Female","3","","","","3"
"3 on scale 1-7 ","2016","general elemantary","Male","3","","","","3"
"3 on scale 1-7 ","2016","general elemantary","Female","5","","","","3"
"3 on scale 1-7 ","2016","middle vocational","Male","2","","","","3"
"3 on scale 1-7 ","2016","middle vocational","Female","1","","","","3"
"3 on scale 1-7 ","2016","vocational + Abi","Male","2","","","","3"
"3 on scale 1-7 ","2016","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2016","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2016","higher vocational","Female","","","","","3"
"4 on scale 1-7","2016","in school","Male","","","","","4"
"4 on scale 1-7","2016","in school","Female","1","","","","4"
"4 on scale 1-7","2016","inadequately","Male","9","","","","4"
"4 on scale 1-7","2016","inadequately","Female","10","","","","4"
"4 on scale 1-7","2016","general elemantary","Male","8","","","","4"
"4 on scale 1-7","2016","general elemantary","Female","3","","","","4"
"4 on scale 1-7","2016","middle vocational","Male","6","","","","4"
"4 on scale 1-7","2016","middle vocational","Female","3","","","","4"
"4 on scale 1-7","2016","vocational + Abi","Male","2","","","","4"
"4 on scale 1-7","2016","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2016","higher vocational","Male","","","","","4"
"4 on scale 1-7","2016","higher vocational","Female","","","","","4"
"4 on scale 1-7","2016","higher education","Male","5","","","","4"
"4 on scale 1-7","2016","higher education","Female","4","","","","4"
"5 on scale 1-7","2016","in school","Male","2","","","","5"
"5 on scale 1-7","2016","in school","Female","","","","","5"
"5 on scale 1-7","2016","inadequately","Male","22","","","","5"
"5 on scale 1-7","2016","inadequately","Female","17","","","","5"
"5 on scale 1-7","2016","vocational + Abi","Male","3","","","","5"
"5 on scale 1-7","2016","vocational + Abi","Female","2","","","","5"
"5 on scale 1-7","2016","general elemantary","Male","15","","","","5"
"5 on scale 1-7","2016","general elemantary","Female","3","","","","5"
"5 on scale 1-7","2016","middle vocational","Male","9","","","","5"
"5 on scale 1-7","2016","middle vocational","Female","4","","","","5"
"5 on scale 1-7","2016","higher vocational","Male","","","","","5"
"5 on scale 1-7","2016","higher vocational","Female","","","","","5"
"5 on scale 1-7","2016","higher education","Male","10","","","","5"
"5 on scale 1-7","2016","higher education","Female","7","","","","5"
"6 on scale 1-7","2016","vocational + Abi","Male","7","","","","6"
"6 on scale 1-7","2016","vocational + Abi","Female","1","","","","6"
"6 on scale 1-7","2016","higher vocational","Male","","","","","6"
"6 on scale 1-7","2016","higher vocational","Female","","","","","6"
"6 on scale 1-7","2016","in school","Male","2","","","","6"
"6 on scale 1-7","2016","in school","Female","3","","","","6"
"6 on scale 1-7","2016","inadequately","Male","47","0.0848405124445779","0.0666461965712249","0.103034828317931","6"
"6 on scale 1-7","2016","inadequately","Female","21","","","","6"
"6 on scale 1-7","2016","general elemantary","Male","35","0.0792974022070682","0.0564227309966226","0.102172073417514","6"
"6 on scale 1-7","2016","general elemantary","Female","11","","","","6"
"6 on scale 1-7","2016","middle vocational","Male","23","","","","6"
"6 on scale 1-7","2016","middle vocational","Female","18","","","","6"
"6 on scale 1-7","2016","higher education","Male","30","0.207932161604326","0.172431352087163","0.243432971121488","6"
"6 on scale 1-7","2016","higher education","Female","12","","","","6"
"7 Strongly agree","2016","in school","Male","13","","","","7"
"7 Strongly agree","2016","in school","Female","7","","","","7"
"7 Strongly agree","2016","inadequately","Male","809","0.811321038534914","0.785773809411135","0.836868267658693","7"
"7 Strongly agree","2016","inadequately","Female","588","0.813373522692084","0.783375527385748","0.843371517998419","7"
"7 Strongly agree","2016","general elemantary","Male","474","0.850233730980744","0.820024347176729","0.880443114784759","7"
"7 Strongly agree","2016","middle vocational","Female","255","0.667118887941434","0.612215256756905","0.722022519125963","7"
"7 Strongly agree","2016","vocational + Abi","Male","62","0.884206811233535","0.812268584246434","0.956145038220637","7"
"7 Strongly agree","2016","vocational + Abi","Female","31","0.303530336615979","0.148983262854955","0.458077410377002","7"
"7 Strongly agree","2016","general elemantary","Female","281","0.722936071782108","0.672626428224852","0.773245715339363","7"
"7 Strongly agree","2016","middle vocational","Male","466","0.859314587114631","0.829108822991776","0.889520351237486","7"
"7 Strongly agree","2016","higher vocational","Male","1","","","","7"
"7 Strongly agree","2016","higher vocational","Female","","","","","7"
"7 Strongly agree","2016","higher education","Male","452","0.742015999974015","0.7037424052773","0.780289594670729","7"
"7 Strongly agree","2016","higher education","Female","247","0.694002769087252","0.639636078195125","0.748369459979379","7"
"1 Strongly disagree","2017","in school","Male","","","","","1"
"1 Strongly disagree","2017","in school","Female","","","","","1"
"1 Strongly disagree","2017","inadequately","Male","2","","","","1"
"1 Strongly disagree","2017","inadequately","Female","","","","","1"
"1 Strongly disagree","2017","general elemantary","Male","3","","","","1"
"1 Strongly disagree","2017","general elemantary","Female","1","","","","1"
"1 Strongly disagree","2017","middle vocational","Male","1","","","","1"
"1 Strongly disagree","2017","middle vocational","Female","","","","","1"
"1 Strongly disagree","2017","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2017","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2017","higher vocational","Male","","","","","1"
"1 Strongly disagree","2017","higher vocational","Female","","","","","1"
"1 Strongly disagree","2017","higher education","Male","1","","","","1"
"1 Strongly disagree","2017","higher education","Female","","","","","1"
"2 on scale 1-7 ","2017","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2017","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2017","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2017","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2017","higher education","Male","","","","","2"
"2 on scale 1-7 ","2017","higher education","Female","","","","","2"
"2 on scale 1-7 ","2017","in school","Male","","","","","2"
"2 on scale 1-7 ","2017","in school","Female","","","","","2"
"2 on scale 1-7 ","2017","inadequately","Male","1","","","","2"
"2 on scale 1-7 ","2017","general elemantary","Male","1","","","","2"
"2 on scale 1-7 ","2017","general elemantary","Female","","","","","2"
"2 on scale 1-7 ","2017","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2017","inadequately","Female","","","","","2"
"2 on scale 1-7 ","2017","middle vocational","Female","","","","","2"
"3 on scale 1-7 ","2017","in school","Male","","","","","3"
"3 on scale 1-7 ","2017","in school","Female","","","","","3"
"3 on scale 1-7 ","2017","inadequately","Male","2","","","","3"
"3 on scale 1-7 ","2017","inadequately","Female","1","","","","3"
"3 on scale 1-7 ","2017","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2017","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2017","middle vocational","Male","1","","","","3"
"3 on scale 1-7 ","2017","middle vocational","Female","1","","","","3"
"3 on scale 1-7 ","2017","vocational + Abi","Male","","","","","3"
"3 on scale 1-7 ","2017","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2017","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2017","higher vocational","Female","","","","","3"
"3 on scale 1-7 ","2017","higher education","Male","","","","","3"
"3 on scale 1-7 ","2017","higher education","Female","","","","","3"
"4 on scale 1-7","2017","vocational + Abi","Female","1","","","","4"
"4 on scale 1-7","2017","higher vocational","Male","","","","","4"
"4 on scale 1-7","2017","higher vocational","Female","","","","","4"
"4 on scale 1-7","2017","higher education","Male","1","","","","4"
"4 on scale 1-7","2017","higher education","Female","","","","","4"
"4 on scale 1-7","2017","in school","Male","","","","","4"
"4 on scale 1-7","2017","in school","Female","","","","","4"
"4 on scale 1-7","2017","inadequately","Male","8","","","","4"
"4 on scale 1-7","2017","inadequately","Female","5","","","","4"
"4 on scale 1-7","2017","general elemantary","Male","3","","","","4"
"4 on scale 1-7","2017","general elemantary","Female","2","","","","4"
"4 on scale 1-7","2017","vocational + Abi","Male","1","","","","4"
"4 on scale 1-7","2017","middle vocational","Male","3","","","","4"
"4 on scale 1-7","2017","middle vocational","Female","1","","","","4"
"5 on scale 1-7","2017","in school","Male","1","","","","5"
"5 on scale 1-7","2017","in school","Female","2","","","","5"
"5 on scale 1-7","2017","inadequately","Male","20","","","","5"
"5 on scale 1-7","2017","inadequately","Female","13","","","","5"
"5 on scale 1-7","2017","higher education","Female","7","","","","5"
"5 on scale 1-7","2017","general elemantary","Male","8","","","","5"
"5 on scale 1-7","2017","general elemantary","Female","3","","","","5"
"5 on scale 1-7","2017","middle vocational","Male","5","","","","5"
"5 on scale 1-7","2017","middle vocational","Female","3","","","","5"
"5 on scale 1-7","2017","vocational + Abi","Male","","","","","5"
"5 on scale 1-7","2017","vocational + Abi","Female","","","","","5"
"5 on scale 1-7","2017","higher vocational","Male","","","","","5"
"5 on scale 1-7","2017","higher vocational","Female","","","","","5"
"5 on scale 1-7","2017","higher education","Male","2","","","","5"
"6 on scale 1-7","2017","vocational + Abi","Female","3","","","","6"
"6 on scale 1-7","2017","higher vocational","Male","","","","","6"
"6 on scale 1-7","2017","higher vocational","Female","","","","","6"
"6 on scale 1-7","2017","higher education","Male","23","","","","6"
"6 on scale 1-7","2017","higher education","Female","11","","","","6"
"6 on scale 1-7","2017","in school","Male","1","","","","6"
"6 on scale 1-7","2017","vocational + Abi","Male","1","","","","6"
"6 on scale 1-7","2017","inadequately","Male","44","0.0673393757212967","0.0481910190639225","0.0864877323786708","6"
"6 on scale 1-7","2017","inadequately","Female","54","0.098090058944995","0.0733668533786939","0.122813264511296","6"
"6 on scale 1-7","2017","middle vocational","Male","20","","","","6"
"6 on scale 1-7","2017","in school","Female","1","","","","6"
"6 on scale 1-7","2017","general elemantary","Male","20","","","","6"
"6 on scale 1-7","2017","general elemantary","Female","21","","","","6"
"6 on scale 1-7","2017","middle vocational","Female","16","","","","6"
"7 Strongly agree","2017","inadequately","Male","581","0.878340621043561","0.853363669809307","0.903317572277815","7"
"7 Strongly agree","2017","inadequately","Female","483","0.853944194866885","0.824589007815104","0.883299381918667","7"
"7 Strongly agree","2017","in school","Male","12","","","","7"
"7 Strongly agree","2017","in school","Female","2","","","","7"
"7 Strongly agree","2017","general elemantary","Male","291","0.88443534814861","0.849730923846571","0.919139772450648","7"
"7 Strongly agree","2017","general elemantary","Female","200","0.837796320913546","0.789841227957359","0.885751413869733","7"
"7 Strongly agree","2017","middle vocational","Male","215","0.889317648718718","0.850032111839023","0.928603185598412","7"
"7 Strongly agree","2017","middle vocational","Female","178","0.849276417584418","0.79956722726718","0.898985607901656","7"
"7 Strongly agree","2017","vocational + Abi","Male","34","0.896683783198507","0.797257605050868","0.996109961346146","7"
"7 Strongly agree","2017","vocational + Abi","Female","29","","","","7"
"7 Strongly agree","2017","higher vocational","Male","","","","","7"
"7 Strongly agree","2017","higher vocational","Female","","","","","7"
