"transab_cat2","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","2004","16-34 y.","college entrance qualification","33","0.0303796583061259","0.0221208535458772","0.0386384630663746"
"Very high transfer dependency","2004","16-34 y.","Other degree","14","","",""
"Very high transfer dependency","2004","16-34 y.","no degree/no degree yet","29","","",""
"Very high transfer dependency","2004","35-65 y.","lower secondary degree","147","0.0442129797026325","0.0378670223578903","0.0505589370473747"
"Very high transfer dependency","2004","35-65 y.","secondary school degree","110","0.0406348094802971","0.0344751653750591","0.0467944535855351"
"Very high transfer dependency","2004","35-65 y.","college entrance qualification","36","0.0153179760399355","0.0110440185378613","0.0195919335420097"
"Very high transfer dependency","2004","35-65 y.","Other degree","54","0.0873864560819155","0.0681279060670948","0.106645006096736"
"Very high transfer dependency","2004","35-65 y.","no degree/no degree yet","13","","",""
"Very high transfer dependency","2004","66 and older","lower secondary degree","3","","",""
"Very high transfer dependency","2004","66 and older","secondary school degree","1","","",""
"Very high transfer dependency","2004","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","2004","66 and older","Other degree","1","","",""
"Very high transfer dependency","2004","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","2005","16-34 y.","lower secondary degree","686","0.717416856723771","0.688525616631028","0.746308096816514"
"Very low transfer dependency","2005","16-34 y.","secondary school degree","1269","0.803541507004367","0.784061044427365","0.823021969581368"
"Very low transfer dependency","2005","16-34 y.","college entrance qualification","1362","0.84901085547918","0.831260866577561","0.866760844380798"
"Very low transfer dependency","2005","16-34 y.","Other degree","104","0.653611588260954","0.579182994468865","0.728040182053044"
"Very low transfer dependency","2005","16-34 y.","no degree/no degree yet","568","0.780041189736466","0.749134464258187","0.810947915214745"
"Very low transfer dependency","2005","35-65 y.","lower secondary degree","3217","0.863184161934553","0.852111114812608","0.874257209056498"
"Very low transfer dependency","2005","35-65 y.","secondary school degree","3366","0.866100111725464","0.855323482366619","0.87687674108431"
"Very low transfer dependency","2005","35-65 y.","college entrance qualification","2886","0.94073657942234","0.932343164895992","0.949129993948688"
"Very low transfer dependency","2005","35-65 y.","Other degree","610","0.752680611461091","0.72255614048771","0.782805082434471"
"Very low transfer dependency","2005","35-65 y.","no degree/no degree yet","93","0.663516864389091","0.586072876861335","0.740960851916848"
"Very low transfer dependency","2005","66 and older","lower secondary degree","2371","0.969185770132674","0.96232879852227","0.976042741743077"
"Very low transfer dependency","2005","66 and older","secondary school degree","541","0.980001555334137","0.968269721026421","0.991733389641852"
"Very low transfer dependency","2005","66 and older","college entrance qualification","565","0.990032224446593","0.981877027499632","0.998187421393555"
"Very low transfer dependency","2005","66 and older","Other degree","162","0.856328845102113","0.804800859126976","0.907856831077251"
"Very low transfer dependency","2005","66 and older","no degree/no degree yet","53","0.852249406738963","0.765312121498735","0.939186691979191"
"Low transfer dependency","2005","16-34 y.","lower secondary degree","119","0.126862272382426","0.105506519372627","0.148218025392225"
"Low transfer dependency","2005","16-34 y.","secondary school degree","196","0.114380570463842","0.0987757275712059","0.129985413356478"
"Low transfer dependency","2005","16-34 y.","college entrance qualification","116","0.0903785777868985","0.0761640743338532","0.104593081239944"
"Low transfer dependency","2005","16-34 y.","Other degree","23","","",""
"Low transfer dependency","2005","16-34 y.","no degree/no degree yet","62","0.0992509700054216","0.0769413164010354","0.121560623609808"
"Low transfer dependency","2005","35-65 y.","lower secondary degree","234","0.0629404529413778","0.0551152473634923","0.0707656585192633"
"Low transfer dependency","2005","35-65 y.","secondary school degree","289","0.0718201069922658","0.0636496209253933","0.0799905930591383"
"Low transfer dependency","2005","35-65 y.","college entrance qualification","105","0.0344807603248519","0.0279947119680496","0.0409668086816541"
"Low transfer dependency","2005","35-65 y.","Other degree","96","0.112921967795018","0.0908238586998202","0.135020076890216"
"Low transfer dependency","2005","35-65 y.","no degree/no degree yet","22","","",""
"Low transfer dependency","2005","66 and older","lower secondary degree","59","0.0261400241451232","0.0198092848582518","0.0324707634319945"
"Low transfer dependency","2005","66 and older","secondary school degree","4","","",""
"Low transfer dependency","2005","66 and older","college entrance qualification","3","","",""
"Low transfer dependency","2005","66 and older","Other degree","6","","",""
"Low transfer dependency","2005","66 and older","no degree/no degree yet","6","","",""
"High transfer dependency","2005","16-34 y.","lower secondary degree","49","0.0586532388536734","0.043575782324622","0.0737306953827247"
"High transfer dependency","2005","16-34 y.","secondary school degree","64","0.0350457830052766","0.0260294292775908","0.0440621367329624"
"High transfer dependency","2005","16-34 y.","college entrance qualification","39","0.026131140569828","0.018222569447774","0.034039711691882"
"High transfer dependency","2005","16-34 y.","Other degree","14","","",""
"High transfer dependency","2005","16-34 y.","no degree/no degree yet","19","","",""
"High transfer dependency","2005","35-65 y.","lower secondary degree","106","0.028312386486153","0.0229679883806683","0.0336567845916377"
"High transfer dependency","2005","35-65 y.","secondary school degree","80","0.0209067012859886","0.0163791478172581","0.025434254754719"
"High transfer dependency","2005","35-65 y.","college entrance qualification","23","","",""
"High transfer dependency","2005","35-65 y.","Other degree","31","0.0437256061205988","0.0294483692498167","0.0580028429913809"
"High transfer dependency","2005","35-65 y.","no degree/no degree yet","9","","",""
"High transfer dependency","2005","66 and older","lower secondary degree","10","","",""
"High transfer dependency","2005","66 and older","secondary school degree","1","","",""
"High transfer dependency","2005","66 and older","college entrance qualification","2","","",""
"High transfer dependency","2005","66 and older","Other degree","3","","",""
"High transfer dependency","2005","66 and older","no degree/no degree yet","5","","",""
"Very high transfer dependency","2005","16-34 y.","lower secondary degree","79","0.09706763204013","0.0780711974058442","0.116064066674416"
"Very high transfer dependency","2005","16-34 y.","secondary school degree","69","0.0470321395265147","0.0366521671367342","0.0574121119162953"
"Very high transfer dependency","2005","16-34 y.","college entrance qualification","46","0.0344794261640938","0.0254339927115013","0.0435248596166863"
"Very high transfer dependency","2005","16-34 y.","Other degree","16","","",""
"Very high transfer dependency","2005","16-34 y.","no degree/no degree yet","41","0.0787907879311532","0.0586887353999781","0.0988928404623282"
"Very high transfer dependency","2005","35-65 y.","lower secondary degree","143","0.0455629986379158","0.038843652525947","0.0522823447498846"
"Very high transfer dependency","2005","35-65 y.","secondary school degree","101","0.0411730799962813","0.0348854702394509","0.0474606897531118"
"Very high transfer dependency","2005","35-65 y.","college entrance qualification","26","","",""
"Very high transfer dependency","2005","35-65 y.","Other degree","51","0.0906718146232925","0.0706233341321451","0.11072029511444"
"Very high transfer dependency","2005","35-65 y.","no degree/no degree yet","19","","",""
"Very high transfer dependency","2005","66 and older","lower secondary degree","","","",""
"Very high transfer dependency","2005","66 and older","secondary school degree","1","","",""
"Very high transfer dependency","2005","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","2005","66 and older","Other degree","7","","",""
"Very high transfer dependency","2005","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","2006","16-34 y.","lower secondary degree","652","0.666823308051702","0.636675344145328","0.696971271958077"
"Very low transfer dependency","2006","16-34 y.","secondary school degree","1272","0.784132038407308","0.764066513631097","0.804197563183519"
"Very low transfer dependency","2006","16-34 y.","college entrance qualification","1400","0.8429989284969","0.825288812606886","0.860709044386913"
"Very low transfer dependency","2006","16-34 y.","Other degree","111","0.62469918652465","0.553366812033921","0.696031561015379"
"Very low transfer dependency","2006","16-34 y.","no degree/no degree yet","554","0.770340569212758","0.738396186262588","0.802284952162928"
"Very low transfer dependency","2006","35-65 y.","lower secondary degree","3345","0.855795637999455","0.844739118870152","0.866852157128758"
"Very low transfer dependency","2006","35-65 y.","secondary school degree","3686","0.865750279061287","0.855427560296598","0.876072997825977"
"Very low transfer dependency","2006","35-65 y.","college entrance qualification","3131","0.936240275265044","0.92791057765447","0.944569972875619"
"Very low transfer dependency","2006","35-65 y.","Other degree","610","0.740350718380405","0.709930735935691","0.770770700825118"
"Very low transfer dependency","2006","35-65 y.","no degree/no degree yet","88","0.570076210633085","0.488361408713468","0.651791012552703"
"Very low transfer dependency","2006","66 and older","lower secondary degree","2759","0.980978776081135","0.97592816455169","0.986029387610581"
"Very low transfer dependency","2006","66 and older","secondary school degree","661","0.980438221676965","0.969951856608545","0.990924586745385"
"Very low transfer dependency","2006","66 and older","college entrance qualification","665","0.976159581163601","0.964659733319564","0.987659429007638"
"Very low transfer dependency","2006","66 and older","Other degree","188","0.795177434606465","0.741605075848147","0.848749793364782"
"Very low transfer dependency","2006","66 and older","no degree/no degree yet","71","0.768942202070638","0.677709964114943","0.860174440026333"
"Low transfer dependency","2006","16-34 y.","lower secondary degree","113","0.134102500695812","0.112306993698201","0.155898007693424"
"Low transfer dependency","2006","16-34 y.","secondary school degree","184","0.111955016313506","0.096576972667812","0.1273330599592"
"Low transfer dependency","2006","16-34 y.","college entrance qualification","123","0.079516940382505","0.0663466814247605","0.0926871993402496"
"Low transfer dependency","2006","16-34 y.","Other degree","26","","",""
"Low transfer dependency","2006","16-34 y.","no degree/no degree yet","47","0.0889625303099349","0.0673411876581932","0.110583872961676"
"Low transfer dependency","2006","35-65 y.","lower secondary degree","238","0.0596797965414471","0.0522239709685145","0.0671356221143797"
"Low transfer dependency","2006","35-65 y.","secondary school degree","285","0.0664396509725019","0.0588987029117201","0.0739805990332837"
"Low transfer dependency","2006","35-65 y.","college entrance qualification","114","0.0371641860698972","0.0307150611395383","0.0436133110002561"
"Low transfer dependency","2006","35-65 y.","Other degree","82","0.0907267022812499","0.0707988072530501","0.11065459730945"
"Low transfer dependency","2006","35-65 y.","no degree/no degree yet","17","","",""
"Low transfer dependency","2006","66 and older","lower secondary degree","41","0.013772843330271","0.00946365759779976","0.0180820290627422"
"Low transfer dependency","2006","66 and older","secondary school degree","7","","",""
"Low transfer dependency","2006","66 and older","college entrance qualification","8","","",""
"Low transfer dependency","2006","66 and older","Other degree","18","","",""
"Low transfer dependency","2006","66 and older","no degree/no degree yet","7","","",""
"High transfer dependency","2006","16-34 y.","lower secondary degree","78","0.0913805194174494","0.0729501887186604","0.109810850116238"
"High transfer dependency","2006","16-34 y.","secondary school degree","79","0.0513829847788782","0.040615433542519","0.0621505360152374"
"High transfer dependency","2006","16-34 y.","college entrance qualification","57","0.0376093990312112","0.0283479174590605","0.0468708806033619"
"High transfer dependency","2006","16-34 y.","Other degree","13","","",""
"High transfer dependency","2006","16-34 y.","no degree/no degree yet","20","","",""
"High transfer dependency","2006","35-65 y.","lower secondary degree","113","0.0300883630644811","0.0247117404535265","0.0354649856754357"
"High transfer dependency","2006","35-65 y.","secondary school degree","92","0.0270922348191723","0.0221763768119216","0.0320080928264231"
"High transfer dependency","2006","35-65 y.","college entrance qualification","22","","",""
"High transfer dependency","2006","35-65 y.","Other degree","35","0.042849821575532","0.0287986933632402","0.0569009497878237"
"High transfer dependency","2006","35-65 y.","no degree/no degree yet","11","","",""
"High transfer dependency","2006","66 and older","lower secondary degree","9","","",""
"High transfer dependency","2006","66 and older","secondary school degree","1","","",""
"High transfer dependency","2006","66 and older","college entrance qualification","2","","",""
"High transfer dependency","2006","66 and older","Other degree","6","","",""
"High transfer dependency","2006","66 and older","no degree/no degree yet","1","","",""
"Very high transfer dependency","2006","16-34 y.","lower secondary degree","96","0.107693671835036","0.0878661985379886","0.127521145132083"
"Very high transfer dependency","2006","16-34 y.","secondary school degree","80","0.0525299605003077","0.0416494791798867","0.0634104418207288"
"Very high transfer dependency","2006","16-34 y.","college entrance qualification","41","0.0398747320893841","0.0303496347548473","0.049399829423921"
"Very high transfer dependency","2006","16-34 y.","Other degree","27","","",""
"Very high transfer dependency","2006","16-34 y.","no degree/no degree yet","45","0.0956895695841882","0.0733485984708015","0.118030540697575"
"Very high transfer dependency","2006","35-65 y.","lower secondary degree","182","0.0544362023946166","0.0472956219400498","0.0615767828491833"
"Very high transfer dependency","2006","35-65 y.","secondary school degree","127","0.0407178351470383","0.0347336281937096","0.046702042100367"
"Very high transfer dependency","2006","35-65 y.","college entrance qualification","38","0.0188625807711292","0.0142246118399911","0.0235005497022672"
"Very high transfer dependency","2006","35-65 y.","Other degree","71","0.126072757762814","0.103042706190034","0.149102809335593"
"Very high transfer dependency","2006","35-65 y.","no degree/no degree yet","25","","",""
"Very high transfer dependency","2006","66 and older","lower secondary degree","1","","",""
"Very high transfer dependency","2006","66 and older","secondary school degree","1","","",""
"Very high transfer dependency","2006","66 and older","college entrance qualification","1","","",""
"Very high transfer dependency","2006","66 and older","Other degree","6","","",""
"Very high transfer dependency","2006","66 and older","no degree/no degree yet","3","","",""
"Very low transfer dependency","2007","16-34 y.","lower secondary degree","564","0.696197168345534","0.664248438857417","0.72814589783365"
"Very low transfer dependency","2007","16-34 y.","secondary school degree","1153","0.767723790993214","0.745852146092213","0.789595435894216"
"Very low transfer dependency","2007","16-34 y.","college entrance qualification","1367","0.855902556223977","0.838514385610733","0.873290726837221"
"Very low transfer dependency","2007","16-34 y.","Other degree","99","0.664273703252453","0.587408407946001","0.741138998558904"
"Very low transfer dependency","2007","16-34 y.","no degree/no degree yet","543","0.767323498789847","0.735111856115854","0.79953514146384"
"Very low transfer dependency","2007","35-65 y.","lower secondary degree","2935","0.849106325664563","0.837136129283006","0.861076522046121"
"Very low transfer dependency","2007","35-65 y.","secondary school degree","3475","0.875464245800895","0.86515406657745","0.885774425024341"
"Very low transfer dependency","2007","35-65 y.","college entrance qualification","3013","0.948730410908054","0.94103468239359","0.956426139422517"
"Very low transfer dependency","2007","35-65 y.","Other degree","546","0.699659854523378","0.66610628840999","0.733213420636767"
"Very low transfer dependency","2007","35-65 y.","no degree/no degree yet","71","0.595592551261789","0.505894424633408","0.685290677890171"
"Very low transfer dependency","2007","66 and older","lower secondary degree","2640","0.974593469156226","0.968678834554919","0.980508103757533"
"Very low transfer dependency","2007","66 and older","secondary school degree","678","0.984991859564899","0.975880151362587","0.994103567767211"
"Very low transfer dependency","2007","66 and older","college entrance qualification","695","0.975725432993754","0.964356981316485","0.987093884671023"
"Very low transfer dependency","2007","66 and older","Other degree","188","0.860054174916162","0.81267828744458","0.907430062387743"
"Very low transfer dependency","2007","66 and older","no degree/no degree yet","57","0.823549634162786","0.732271477606452","0.914827790719119"
"Low transfer dependency","2007","16-34 y.","lower secondary degree","105","0.122788775582204","0.0999893984971663","0.145588152667242"
"Low transfer dependency","2007","16-34 y.","secondary school degree","160","0.121715130441018","0.104780857043424","0.138649403838611"
"Low transfer dependency","2007","16-34 y.","college entrance qualification","114","0.0722954904463593","0.0594729513836588","0.0851180295090598"
"Low transfer dependency","2007","16-34 y.","Other degree","16","","",""
"Low transfer dependency","2007","16-34 y.","no degree/no degree yet","60","0.11904095935922","0.0943536687867178","0.143728249931723"
"Low transfer dependency","2007","35-65 y.","lower secondary degree","216","0.063292299095888","0.0551497159577873","0.0714348822339887"
"Low transfer dependency","2007","35-65 y.","secondary school degree","253","0.0611223351184129","0.0536422859470032","0.0686023842898227"
"Low transfer dependency","2007","35-65 y.","college entrance qualification","81","0.0227348006978273","0.0175336408433319","0.0279359605523228"
"Low transfer dependency","2007","35-65 y.","Other degree","81","0.137864999812407","0.112630008256553","0.163099991368262"
"Low transfer dependency","2007","35-65 y.","no degree/no degree yet","15","","",""
"Low transfer dependency","2007","66 and older","lower secondary degree","58","0.016744956299877","0.0119219415745291","0.0215679710252249"
"Low transfer dependency","2007","66 and older","secondary school degree","5","","",""
"Low transfer dependency","2007","66 and older","college entrance qualification","6","","",""
"Low transfer dependency","2007","66 and older","Other degree","13","","",""
"Low transfer dependency","2007","66 and older","no degree/no degree yet","6","","",""
"High transfer dependency","2007","16-34 y.","lower secondary degree","53","0.0823228343276682","0.0632288449285415","0.101416823726795"
"High transfer dependency","2007","16-34 y.","secondary school degree","54","0.0523002172267496","0.0407693036029669","0.0638311308505323"
"High transfer dependency","2007","16-34 y.","college entrance qualification","44","0.0344180936775972","0.0253919642124789","0.0434442231427155"
"High transfer dependency","2007","16-34 y.","Other degree","13","","",""
"High transfer dependency","2007","16-34 y.","no degree/no degree yet","19","","",""
"High transfer dependency","2007","35-65 y.","lower secondary degree","99","0.030402455408843","0.0246608306772772","0.0361440801404087"
"High transfer dependency","2007","35-65 y.","secondary school degree","89","0.0215852030863875","0.0170474636368978","0.0261229425358772"
"High transfer dependency","2007","35-65 y.","college entrance qualification","25","","",""
"High transfer dependency","2007","35-65 y.","Other degree","32","0.0579543125432746","0.0408515063115286","0.0750571187750207"
"High transfer dependency","2007","35-65 y.","no degree/no degree yet","11","","",""
"High transfer dependency","2007","66 and older","lower secondary degree","18","","",""
"High transfer dependency","2007","66 and older","secondary school degree","1","","",""
"High transfer dependency","2007","66 and older","college entrance qualification","3","","",""
"High transfer dependency","2007","66 and older","Other degree","2","","",""
"High transfer dependency","2007","66 and older","no degree/no degree yet","3","","",""
"Very high transfer dependency","2007","16-34 y.","lower secondary degree","74","0.098691221744594","0.0779722775690999","0.119410165920088"
"Very high transfer dependency","2007","16-34 y.","secondary school degree","65","0.0582608613390183","0.0461289188586023","0.0703928038194343"
"Very high transfer dependency","2007","16-34 y.","college entrance qualification","42","0.0373838596520663","0.0279913374306279","0.0467763818735046"
"Very high transfer dependency","2007","16-34 y.","Other degree","17","","",""
"Very high transfer dependency","2007","16-34 y.","no degree/no degree yet","39","0.0811599680326606","0.0603420042307522","0.101977931834569"
"Very high transfer dependency","2007","35-65 y.","lower secondary degree","185","0.0571989198307054","0.0494330756954942","0.0649647639659167"
"Very high transfer dependency","2007","35-65 y.","secondary school degree","123","0.041828215994304","0.0355771175270884","0.0480793144615197"
"Very high transfer dependency","2007","35-65 y.","college entrance qualification","36","0.0197168172642571","0.0148656908603758","0.0245679436681384"
"Very high transfer dependency","2007","35-65 y.","Other degree","58","0.10452083312094","0.0821275542863378","0.126914111955542"
"Very high transfer dependency","2007","35-65 y.","no degree/no degree yet","18","","",""
"Very high transfer dependency","2007","66 and older","lower secondary degree","3","","",""
"Very high transfer dependency","2007","66 and older","secondary school degree","","","",""
"Very high transfer dependency","2007","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","2007","66 and older","Other degree","3","","",""
"Very high transfer dependency","2007","66 and older","no degree/no degree yet","1","","",""
"Very low transfer dependency","2008","16-34 y.","lower secondary degree","496","0.731764815709776","0.698635432051873","0.764894199367678"
"Very low transfer dependency","2008","16-34 y.","secondary school degree","1090","0.819045179796026","0.798229556687261","0.83986080290479"
"Very low transfer dependency","2008","16-34 y.","college entrance qualification","1234","0.849044719264747","0.830469859564286","0.867619578965207"
"Very low transfer dependency","2008","16-34 y.","Other degree","78","0.6034167911762","0.513617786694098","0.693215795658302"
"Very low transfer dependency","2008","16-34 y.","no degree/no degree yet","506","0.80628980904155","0.774291936586031","0.838287681497068"
"Very low transfer dependency","2008","35-65 y.","lower secondary degree","2734","0.851926685502774","0.839547083909664","0.864306287095884"
"Very low transfer dependency","2008","35-65 y.","secondary school degree","3363","0.884781286365731","0.874560840408258","0.895001732323204"
"Very low transfer dependency","2008","35-65 y.","college entrance qualification","2851","0.953142327218343","0.945540600933245","0.960744053503442"
"Very low transfer dependency","2008","35-65 y.","Other degree","480","0.739365306629554","0.704783441480029","0.773947171779079"
"Very low transfer dependency","2008","35-65 y.","no degree/no degree yet","66","0.651567254913278","0.558180088642126","0.74495442118443"
"Very low transfer dependency","2008","66 and older","lower secondary degree","2570","0.96833801865565","0.961661282410529","0.97501475490077"
"Very low transfer dependency","2008","66 and older","secondary school degree","692","0.991198548740045","0.984269432409524","0.998127665070566"
"Very low transfer dependency","2008","66 and older","college entrance qualification","719","0.972954513288089","0.961203205004153","0.984705821572024"
"Very low transfer dependency","2008","66 and older","Other degree","188","0.855856600568323","0.807892935338726","0.903820265797921"
"Very low transfer dependency","2008","66 and older","no degree/no degree yet","46","0.821026650945855","0.721512813673174","0.920540488218536"
"Low transfer dependency","2008","16-34 y.","lower secondary degree","85","0.131422636340142","0.106158231997222","0.156687040683063"
"Low transfer dependency","2008","16-34 y.","secondary school degree","124","0.0888573016963528","0.0734725614350218","0.104242041957684"
"Low transfer dependency","2008","16-34 y.","college entrance qualification","111","0.0703783505879739","0.0571071943748799","0.0836495068010679"
"Low transfer dependency","2008","16-34 y.","Other degree","17","","",""
"Low transfer dependency","2008","16-34 y.","no degree/no degree yet","42","0.109058752778596","0.0838208025731496","0.134296702984042"
"Low transfer dependency","2008","35-65 y.","lower secondary degree","184","0.0583336348097289","0.0501645161077486","0.0665027535117092"
"Low transfer dependency","2008","35-65 y.","secondary school degree","206","0.05300099218662","0.0458295395800855","0.0601724447931545"
"Low transfer dependency","2008","35-65 y.","college entrance qualification","72","0.0194935266516714","0.0145205842062837","0.0244664690970591"
"Low transfer dependency","2008","35-65 y.","Other degree","60","0.110262224160968","0.0855877926330758","0.134936655688859"
"Low transfer dependency","2008","35-65 y.","no degree/no degree yet","10","","",""
"Low transfer dependency","2008","66 and older","lower secondary degree","61","0.0268723702982286","0.0207061423713063","0.0330385982251508"
"Low transfer dependency","2008","66 and older","secondary school degree","6","","",""
"Low transfer dependency","2008","66 and older","college entrance qualification","11","","",""
"Low transfer dependency","2008","66 and older","Other degree","12","","",""
"Low transfer dependency","2008","66 and older","no degree/no degree yet","5","","",""
"High transfer dependency","2008","16-34 y.","lower secondary degree","40","0.0456681119303515","0.0300572828520527","0.0612789410086503"
"High transfer dependency","2008","16-34 y.","secondary school degree","43","0.0413456647976432","0.030581101437263","0.0521102281580234"
"High transfer dependency","2008","16-34 y.","college entrance qualification","41","0.0388778542489736","0.0288484175836244","0.0489072909143227"
"High transfer dependency","2008","16-34 y.","Other degree","7","","",""
"High transfer dependency","2008","16-34 y.","no degree/no degree yet","13","","",""
"High transfer dependency","2008","35-65 y.","lower secondary degree","88","0.0314454821874241","0.0253626151552964","0.0375283492195519"
"High transfer dependency","2008","35-65 y.","secondary school degree","69","0.0237499682666258","0.0188757786727878","0.0286241578604638"
"High transfer dependency","2008","35-65 y.","college entrance qualification","17","","",""
"High transfer dependency","2008","35-65 y.","Other degree","29","","",""
"High transfer dependency","2008","35-65 y.","no degree/no degree yet","5","","",""
"High transfer dependency","2008","66 and older","lower secondary degree","10","","",""
"High transfer dependency","2008","66 and older","secondary school degree","","","",""
"High transfer dependency","2008","66 and older","college entrance qualification","1","","",""
"High transfer dependency","2008","66 and older","Other degree","1","","",""
"High transfer dependency","2008","66 and older","no degree/no degree yet","5","","",""
"Very high transfer dependency","2008","16-34 y.","lower secondary degree","66","0.0911444360197304","0.0696224552692135","0.112666416770247"
"Very high transfer dependency","2008","16-34 y.","secondary school degree","57","0.0507518537099785","0.0388841623829682","0.0626195450369888"
"Very high transfer dependency","2008","16-34 y.","college entrance qualification","41","0.0416990758983057","0.0313273680923166","0.0520707837042947"
"Very high transfer dependency","2008","16-34 y.","Other degree","12","","",""
"Very high transfer dependency","2008","16-34 y.","no degree/no degree yet","25","","",""
"Very high transfer dependency","2008","35-65 y.","lower secondary degree","156","0.0582941975000728","0.0501276696881334","0.0664607253120122"
"Very high transfer dependency","2008","35-65 y.","secondary school degree","111","0.038467753181023","0.0323114399554589","0.0446240664065871"
"Very high transfer dependency","2008","35-65 y.","college entrance qualification","29","","",""
"Very high transfer dependency","2008","35-65 y.","Other degree","50","0.0983482303636789","0.0748894482722792","0.121807012455079"
"Very high transfer dependency","2008","35-65 y.","no degree/no degree yet","19","","",""
"Very high transfer dependency","2008","66 and older","lower secondary degree","1","","",""
"Very high transfer dependency","2008","66 and older","secondary school degree","","","",""
"Very high transfer dependency","2008","66 and older","college entrance qualification","1","","",""
"Very high transfer dependency","2008","66 and older","Other degree","5","","",""
"Very high transfer dependency","2008","66 and older","no degree/no degree yet","1","","",""
"Very low transfer dependency","2009","16-34 y.","lower secondary degree","453","0.776858301723341","0.743488104639179","0.810228498807504"
"Very low transfer dependency","2009","16-34 y.","secondary school degree","972","0.822890417828117","0.800949728627745","0.844831107028488"
"Very low transfer dependency","2009","16-34 y.","college entrance qualification","1200","0.867132990478189","0.849191927246572","0.885074053709807"
"Very low transfer dependency","2009","16-34 y.","Other degree","64","0.674289677702536","0.579551902630791","0.769027452774281"
"Very low transfer dependency","2009","16-34 y.","no degree/no degree yet","462","0.814964559636547","0.781935390345782","0.847993728927312"
"Very low transfer dependency","2009","35-65 y.","lower secondary degree","2460","0.862467447462154","0.849802990222692","0.875131904701616"
"Very low transfer dependency","2009","35-65 y.","secondary school degree","3209","0.883706918925127","0.873167408315303","0.894246429534951"
"Very low transfer dependency","2009","35-65 y.","college entrance qualification","2696","0.960513983777212","0.953291507418143","0.967736460136281"
"Very low transfer dependency","2009","35-65 y.","Other degree","418","0.746763654244991","0.709914645884698","0.783612662605285"
"Very low transfer dependency","2009","35-65 y.","no degree/no degree yet","58","0.617246601051687","0.517925149290892","0.716568052812482"
"Very low transfer dependency","2009","66 and older","lower secondary degree","2443","0.967590654539378","0.960671170128521","0.974510138950235"
"Very low transfer dependency","2009","66 and older","secondary school degree","701","0.97948400830705","0.969093423238769","0.989874593375332"
"Very low transfer dependency","2009","66 and older","college entrance qualification","718","0.979337158830396","0.969003751795966","0.989670565864825"
"Very low transfer dependency","2009","66 and older","Other degree","167","0.894499866676937","0.849622384533608","0.939377348820266"
"Very low transfer dependency","2009","66 and older","no degree/no degree yet","47","0.801961084797013","0.697583800243065","0.906338369350961"
"Low transfer dependency","2009","16-34 y.","lower secondary degree","69","0.0891332620460483","0.0662959586756743","0.111970565416422"
"Low transfer dependency","2009","16-34 y.","secondary school degree","99","0.0822417919461422","0.0664522818759535","0.098031302016331"
"Low transfer dependency","2009","16-34 y.","college entrance qualification","108","0.0869436086839699","0.0720512196287093","0.101835997739231"
"Low transfer dependency","2009","16-34 y.","Other degree","14","","",""
"Low transfer dependency","2009","16-34 y.","no degree/no degree yet","40","0.114495153296523","0.0874125846126722","0.141577721980373"
"Low transfer dependency","2009","35-65 y.","lower secondary degree","194","0.0647127560268774","0.0556662697676944","0.0737592422860604"
"Low transfer dependency","2009","35-65 y.","secondary school degree","194","0.0626414413769944","0.0546748393038348","0.0706080434501541"
"Low transfer dependency","2009","35-65 y.","college entrance qualification","65","0.0251292695857701","0.0193246191431896","0.0309339200283507"
"Low transfer dependency","2009","35-65 y.","Other degree","51","0.103919126627827","0.0780612685292677","0.129776984726387"
"Low transfer dependency","2009","35-65 y.","no degree/no degree yet","14","","",""
"Low transfer dependency","2009","66 and older","lower secondary degree","64","0.0272175200008526","0.0208594556649222","0.0335755843367829"
"Low transfer dependency","2009","66 and older","secondary school degree","10","","",""
"Low transfer dependency","2009","66 and older","college entrance qualification","7","","",""
"Low transfer dependency","2009","66 and older","Other degree","9","","",""
"Low transfer dependency","2009","66 and older","no degree/no degree yet","7","","",""
"High transfer dependency","2009","16-34 y.","lower secondary degree","34","0.0506975023358295","0.0331144976135967","0.0682805070580623"
"High transfer dependency","2009","16-34 y.","secondary school degree","34","0.0297345712420646","0.0199726712828091","0.03949647120132"
"High transfer dependency","2009","16-34 y.","college entrance qualification","28","","",""
"High transfer dependency","2009","16-34 y.","Other degree","8","","",""
"High transfer dependency","2009","16-34 y.","no degree/no degree yet","11","","",""
"High transfer dependency","2009","35-65 y.","lower secondary degree","71","0.026267062857508","0.0203862391420832","0.0321478865729327"
"High transfer dependency","2009","35-65 y.","secondary school degree","58","0.0166188269132376","0.0124159128866254","0.0208217409398499"
"High transfer dependency","2009","35-65 y.","college entrance qualification","17","","",""
"High transfer dependency","2009","35-65 y.","Other degree","26","","",""
"High transfer dependency","2009","35-65 y.","no degree/no degree yet","8","","",""
"High transfer dependency","2009","66 and older","lower secondary degree","6","","",""
"High transfer dependency","2009","66 and older","secondary school degree","3","","",""
"High transfer dependency","2009","66 and older","college entrance qualification","2","","",""
"High transfer dependency","2009","66 and older","Other degree","2","","",""
"High transfer dependency","2009","66 and older","no degree/no degree yet","1","","",""
