"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2004","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2004","direct migration background","higher vocational","","","",""
"Min 1x per week","2004","direct migration background","higher education","","","",""
"Min 1x per week","2004","indirect migration background","in school","","","",""
"Min 1x per week","2004","indirect migration background","inadequately","","","",""
"Min 1x per week","2004","indirect migration background","general elemantary","","","",""
"Min 1x per week","2004","indirect migration background","middle vocational","","","",""
"Min 1x per week","2004","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2004","indirect migration background","higher vocational","","","",""
"Min 1x per week","2004","indirect migration background","higher education","","","",""
"Min 1x per month","2004","no migration background","in school","","","",""
"Min 1x per month","2004","no migration background","inadequately","","","",""
"Min 1x per month","2004","no migration background","general elemantary","","","",""
"Min 1x per month","2004","no migration background","middle vocational","","","",""
"Min 1x per month","2004","no migration background","vocational + Abi","","","",""
"Min 1x per month","2004","no migration background","higher vocational","","","",""
"Min 1x per month","2004","no migration background","higher education","","","",""
"Min 1x per month","2004","direct migration background","in school","","","",""
"Min 1x per month","2004","direct migration background","inadequately","","","",""
"Min 1x per month","2004","direct migration background","general elemantary","","","",""
"Min 1x per month","2004","direct migration background","middle vocational","","","",""
"Min 1x per month","2004","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2004","direct migration background","higher vocational","","","",""
"Min 1x per month","2004","direct migration background","higher education","","","",""
"Min 1x per month","2004","indirect migration background","in school","","","",""
"Min 1x per month","2004","indirect migration background","inadequately","","","",""
"Min 1x per month","2004","indirect migration background","general elemantary","","","",""
"Min 1x per month","2004","indirect migration background","middle vocational","","","",""
"Min 1x per month","2004","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2004","indirect migration background","higher vocational","","","",""
"Min 1x per month","2004","indirect migration background","higher education","","","",""
"Rarely","2004","no migration background","in school","","","",""
"Rarely","2004","no migration background","inadequately","","","",""
"Rarely","2004","no migration background","general elemantary","","","",""
"Rarely","2004","no migration background","middle vocational","","","",""
"Rarely","2004","no migration background","vocational + Abi","","","",""
"Rarely","2004","no migration background","higher vocational","","","",""
"Rarely","2004","no migration background","higher education","","","",""
"Rarely","2004","direct migration background","in school","","","",""
"Rarely","2004","direct migration background","inadequately","","","",""
"Rarely","2004","direct migration background","general elemantary","","","",""
"Rarely","2004","direct migration background","middle vocational","","","",""
"Rarely","2004","direct migration background","vocational + Abi","","","",""
"Rarely","2004","direct migration background","higher vocational","","","",""
"Rarely","2004","direct migration background","higher education","","","",""
"Rarely","2004","indirect migration background","in school","","","",""
"Rarely","2004","indirect migration background","inadequately","","","",""
"Rarely","2004","indirect migration background","general elemantary","","","",""
"Rarely","2004","indirect migration background","middle vocational","","","",""
"Rarely","2004","indirect migration background","vocational + Abi","","","",""
"Rarely","2004","indirect migration background","higher vocational","","","",""
"Rarely","2004","indirect migration background","higher education","","","",""
"Never","2004","no migration background","in school","","","",""
"Never","2004","no migration background","inadequately","","","",""
"Never","2004","no migration background","general elemantary","","","",""
"Never","2004","no migration background","middle vocational","","","",""
"Never","2004","no migration background","vocational + Abi","","","",""
"Never","2004","no migration background","higher vocational","","","",""
"Never","2004","no migration background","higher education","","","",""
"Never","2004","direct migration background","in school","","","",""
"Never","2004","direct migration background","inadequately","","","",""
"Never","2004","direct migration background","general elemantary","","","",""
"Never","2004","direct migration background","middle vocational","","","",""
"Never","2004","direct migration background","vocational + Abi","","","",""
"Never","2004","direct migration background","higher vocational","","","",""
"Never","2004","direct migration background","higher education","","","",""
"Never","2004","indirect migration background","in school","","","",""
"Never","2004","indirect migration background","inadequately","","","",""
"Never","2004","indirect migration background","general elemantary","","","",""
"Never","2004","indirect migration background","middle vocational","","","",""
"Never","2004","indirect migration background","vocational + Abi","","","",""
"Never","2004","indirect migration background","higher vocational","","","",""
"Never","2004","indirect migration background","higher education","","","",""
"Daily","2005","no migration background","in school","","","",""
"Daily","2005","no migration background","inadequately","","","",""
"Daily","2005","no migration background","general elemantary","","","",""
"Daily","2005","no migration background","middle vocational","","","",""
"Daily","2005","no migration background","vocational + Abi","","","",""
"Daily","2005","no migration background","higher vocational","","","",""
"Daily","2005","no migration background","higher education","","","",""
"Daily","2005","direct migration background","in school","","","",""
"Daily","2005","direct migration background","inadequately","","","",""
"Daily","2005","direct migration background","general elemantary","","","",""
"Daily","2005","direct migration background","middle vocational","","","",""
"Daily","2005","direct migration background","vocational + Abi","","","",""
"Daily","2005","direct migration background","higher vocational","","","",""
"Daily","2005","direct migration background","higher education","","","",""
"Daily","2005","indirect migration background","in school","","","",""
"Daily","2005","indirect migration background","inadequately","","","",""
"Daily","2005","indirect migration background","general elemantary","","","",""
"Daily","2005","indirect migration background","middle vocational","","","",""
"Daily","2005","indirect migration background","vocational + Abi","","","",""
"Daily","2005","indirect migration background","higher vocational","","","",""
"Daily","2005","indirect migration background","higher education","","","",""
"Min 1x per week","2005","no migration background","in school","","","",""
"Min 1x per week","2005","no migration background","inadequately","","","",""
"Min 1x per week","2005","no migration background","general elemantary","","","",""
"Min 1x per week","2005","no migration background","middle vocational","","","",""
"Min 1x per week","2005","no migration background","vocational + Abi","","","",""
"Min 1x per week","2005","no migration background","higher vocational","","","",""
"Min 1x per week","2005","no migration background","higher education","","","",""
"Min 1x per week","2005","direct migration background","in school","","","",""
"Min 1x per week","2005","direct migration background","inadequately","","","",""
"Min 1x per week","2005","direct migration background","general elemantary","","","",""
"Min 1x per week","2005","direct migration background","middle vocational","","","",""
"Min 1x per week","2005","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2005","direct migration background","higher vocational","","","",""
"Min 1x per week","2005","direct migration background","higher education","","","",""
"Min 1x per week","2005","indirect migration background","in school","","","",""
"Min 1x per week","2005","indirect migration background","inadequately","","","",""
"Min 1x per week","2005","indirect migration background","general elemantary","","","",""
"Min 1x per week","2005","indirect migration background","middle vocational","","","",""
"Min 1x per week","2005","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2005","indirect migration background","higher vocational","","","",""
"Min 1x per week","2005","indirect migration background","higher education","","","",""
"Min 1x per month","2005","no migration background","in school","","","",""
"Min 1x per month","2005","no migration background","inadequately","","","",""
"Min 1x per month","2005","no migration background","general elemantary","","","",""
"Min 1x per month","2005","no migration background","middle vocational","","","",""
"Min 1x per month","2005","no migration background","vocational + Abi","","","",""
"Min 1x per month","2005","no migration background","higher vocational","","","",""
"Min 1x per month","2005","no migration background","higher education","","","",""
"Min 1x per month","2005","direct migration background","in school","","","",""
"Min 1x per month","2005","direct migration background","inadequately","","","",""
"Min 1x per month","2005","direct migration background","general elemantary","","","",""
"Min 1x per month","2005","direct migration background","middle vocational","","","",""
"Min 1x per month","2005","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2005","direct migration background","higher vocational","","","",""
"Min 1x per month","2005","direct migration background","higher education","","","",""
"Min 1x per month","2005","indirect migration background","in school","","","",""
"Min 1x per month","2005","indirect migration background","inadequately","","","",""
"Min 1x per month","2005","indirect migration background","general elemantary","","","",""
"Min 1x per month","2005","indirect migration background","middle vocational","","","",""
"Min 1x per month","2005","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2005","indirect migration background","higher vocational","","","",""
"Min 1x per month","2005","indirect migration background","higher education","","","",""
"Rarely","2005","no migration background","in school","","","",""
"Rarely","2005","no migration background","inadequately","","","",""
"Rarely","2005","no migration background","general elemantary","","","",""
"Rarely","2005","no migration background","middle vocational","","","",""
"Rarely","2005","no migration background","vocational + Abi","","","",""
"Rarely","2005","no migration background","higher vocational","","","",""
"Rarely","2005","no migration background","higher education","","","",""
"Rarely","2005","direct migration background","in school","","","",""
"Rarely","2005","direct migration background","inadequately","","","",""
"Rarely","2005","direct migration background","general elemantary","","","",""
"Rarely","2005","direct migration background","middle vocational","","","",""
"Rarely","2005","direct migration background","vocational + Abi","","","",""
"Rarely","2005","direct migration background","higher vocational","","","",""
"Rarely","2005","direct migration background","higher education","","","",""
"Rarely","2005","indirect migration background","in school","","","",""
"Rarely","2005","indirect migration background","inadequately","","","",""
"Rarely","2005","indirect migration background","general elemantary","","","",""
"Rarely","2005","indirect migration background","middle vocational","","","",""
"Rarely","2005","indirect migration background","vocational + Abi","","","",""
"Rarely","2005","indirect migration background","higher vocational","","","",""
"Rarely","2005","indirect migration background","higher education","","","",""
"Never","2005","no migration background","in school","","","",""
"Never","2005","no migration background","inadequately","","","",""
"Never","2005","no migration background","general elemantary","","","",""
"Never","2005","no migration background","middle vocational","","","",""
"Never","2005","no migration background","vocational + Abi","","","",""
"Never","2005","no migration background","higher vocational","","","",""
"Never","2005","no migration background","higher education","","","",""
"Never","2005","direct migration background","in school","","","",""
"Never","2005","direct migration background","inadequately","","","",""
"Never","2005","direct migration background","general elemantary","","","",""
"Never","2005","direct migration background","middle vocational","","","",""
"Never","2005","direct migration background","vocational + Abi","","","",""
"Never","2005","direct migration background","higher vocational","","","",""
"Never","2005","direct migration background","higher education","","","",""
"Never","2005","indirect migration background","in school","","","",""
"Never","2005","indirect migration background","inadequately","","","",""
"Never","2005","indirect migration background","general elemantary","","","",""
"Never","2005","indirect migration background","middle vocational","","","",""
"Never","2005","indirect migration background","vocational + Abi","","","",""
"Never","2005","indirect migration background","higher vocational","","","",""
"Never","2005","indirect migration background","higher education","","","",""
"Daily","2006","no migration background","in school","","","",""
"Daily","2006","no migration background","inadequately","","","",""
"Daily","2006","no migration background","general elemantary","","","",""
"Daily","2006","no migration background","middle vocational","","","",""
"Daily","2006","no migration background","vocational + Abi","","","",""
"Daily","2006","no migration background","higher vocational","","","",""
"Daily","2006","no migration background","higher education","","","",""
"Daily","2006","direct migration background","in school","","","",""
"Daily","2006","direct migration background","inadequately","","","",""
"Daily","2006","direct migration background","general elemantary","","","",""
"Daily","2006","direct migration background","middle vocational","","","",""
"Daily","2006","direct migration background","vocational + Abi","","","",""
"Daily","2006","direct migration background","higher vocational","","","",""
"Daily","2006","direct migration background","higher education","","","",""
"Daily","2006","indirect migration background","in school","","","",""
"Daily","2006","indirect migration background","inadequately","","","",""
"Daily","2006","indirect migration background","general elemantary","","","",""
"Daily","2006","indirect migration background","middle vocational","","","",""
"Daily","2006","indirect migration background","vocational + Abi","","","",""
"Daily","2006","indirect migration background","higher vocational","","","",""
"Daily","2006","indirect migration background","higher education","","","",""
"Min 1x per week","2006","no migration background","in school","","","",""
"Min 1x per week","2006","no migration background","inadequately","","","",""
"Min 1x per week","2006","no migration background","general elemantary","","","",""
"Min 1x per week","2006","no migration background","middle vocational","","","",""
"Min 1x per week","2006","no migration background","vocational + Abi","","","",""
"Min 1x per week","2006","no migration background","higher vocational","","","",""
"Min 1x per week","2006","no migration background","higher education","","","",""
"Min 1x per week","2006","direct migration background","in school","","","",""
"Min 1x per week","2006","direct migration background","inadequately","","","",""
"Min 1x per week","2006","direct migration background","general elemantary","","","",""
"Min 1x per week","2006","direct migration background","middle vocational","","","",""
"Min 1x per week","2006","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2006","direct migration background","higher vocational","","","",""
"Min 1x per week","2006","direct migration background","higher education","","","",""
"Min 1x per week","2006","indirect migration background","in school","","","",""
"Min 1x per week","2006","indirect migration background","inadequately","","","",""
"Min 1x per week","2006","indirect migration background","general elemantary","","","",""
"Min 1x per week","2006","indirect migration background","middle vocational","","","",""
"Min 1x per week","2006","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2006","indirect migration background","higher vocational","","","",""
"Min 1x per week","2006","indirect migration background","higher education","","","",""
"Min 1x per month","2006","no migration background","in school","","","",""
"Min 1x per month","2006","no migration background","inadequately","","","",""
"Min 1x per month","2006","no migration background","general elemantary","","","",""
"Min 1x per month","2006","no migration background","middle vocational","","","",""
"Min 1x per month","2006","no migration background","vocational + Abi","","","",""
"Min 1x per month","2006","no migration background","higher vocational","","","",""
"Min 1x per month","2006","no migration background","higher education","","","",""
"Min 1x per month","2006","direct migration background","in school","","","",""
"Min 1x per month","2006","direct migration background","inadequately","","","",""
"Min 1x per month","2006","direct migration background","general elemantary","","","",""
"Min 1x per month","2006","direct migration background","middle vocational","","","",""
"Min 1x per month","2006","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2006","direct migration background","higher vocational","","","",""
"Min 1x per month","2006","direct migration background","higher education","","","",""
"Min 1x per month","2006","indirect migration background","in school","","","",""
"Min 1x per month","2006","indirect migration background","inadequately","","","",""
"Min 1x per month","2006","indirect migration background","general elemantary","","","",""
"Min 1x per month","2006","indirect migration background","middle vocational","","","",""
"Min 1x per month","2006","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2006","indirect migration background","higher vocational","","","",""
"Min 1x per month","2006","indirect migration background","higher education","","","",""
"Rarely","2006","no migration background","in school","","","",""
"Rarely","2006","no migration background","inadequately","","","",""
"Rarely","2006","no migration background","general elemantary","","","",""
"Rarely","2006","no migration background","middle vocational","","","",""
"Rarely","2006","no migration background","vocational + Abi","","","",""
"Rarely","2006","no migration background","higher vocational","","","",""
"Rarely","2006","no migration background","higher education","","","",""
"Rarely","2006","direct migration background","in school","","","",""
"Rarely","2006","direct migration background","inadequately","","","",""
"Rarely","2006","direct migration background","general elemantary","","","",""
"Rarely","2006","direct migration background","middle vocational","","","",""
"Rarely","2006","direct migration background","vocational + Abi","","","",""
"Rarely","2006","direct migration background","higher vocational","","","",""
"Rarely","2006","direct migration background","higher education","","","",""
"Rarely","2006","indirect migration background","in school","","","",""
"Rarely","2006","indirect migration background","inadequately","","","",""
"Rarely","2006","indirect migration background","general elemantary","","","",""
"Rarely","2006","indirect migration background","middle vocational","","","",""
"Rarely","2006","indirect migration background","vocational + Abi","","","",""
"Rarely","2006","indirect migration background","higher vocational","","","",""
"Rarely","2006","indirect migration background","higher education","","","",""
"Never","2006","no migration background","in school","","","",""
"Never","2006","no migration background","inadequately","","","",""
"Never","2006","no migration background","general elemantary","","","",""
"Never","2006","no migration background","middle vocational","","","",""
"Never","2006","no migration background","vocational + Abi","","","",""
"Never","2006","no migration background","higher vocational","","","",""
"Never","2006","no migration background","higher education","","","",""
"Never","2006","direct migration background","in school","","","",""
"Never","2006","direct migration background","inadequately","","","",""
"Never","2006","direct migration background","general elemantary","","","",""
"Never","2006","direct migration background","middle vocational","","","",""
"Never","2006","direct migration background","vocational + Abi","","","",""
"Never","2006","direct migration background","higher vocational","","","",""
"Never","2006","direct migration background","higher education","","","",""
"Never","2006","indirect migration background","in school","","","",""
"Never","2006","indirect migration background","inadequately","","","",""
"Never","2006","indirect migration background","general elemantary","","","",""
"Never","2006","indirect migration background","middle vocational","","","",""
"Never","2006","indirect migration background","vocational + Abi","","","",""
"Never","2006","indirect migration background","higher vocational","","","",""
"Never","2006","indirect migration background","higher education","","","",""
"Daily","2007","no migration background","in school","","","",""
"Daily","2007","no migration background","inadequately","","","",""
"Daily","2007","no migration background","general elemantary","","","",""
"Daily","2007","no migration background","middle vocational","","","",""
"Daily","2007","no migration background","vocational + Abi","","","",""
"Daily","2007","no migration background","higher vocational","","","",""
"Daily","2007","no migration background","higher education","","","",""
"Daily","2007","direct migration background","in school","","","",""
"Daily","2007","direct migration background","inadequately","","","",""
"Daily","2007","direct migration background","general elemantary","","","",""
"Daily","2007","direct migration background","middle vocational","","","",""
"Daily","2007","direct migration background","vocational + Abi","","","",""
"Daily","2007","direct migration background","higher vocational","","","",""
"Daily","2007","direct migration background","higher education","","","",""
"Daily","2007","indirect migration background","in school","","","",""
"Daily","2007","indirect migration background","inadequately","","","",""
"Daily","2007","indirect migration background","general elemantary","","","",""
"Daily","2007","indirect migration background","middle vocational","","","",""
"Daily","2007","indirect migration background","vocational + Abi","","","",""
"Daily","2007","indirect migration background","higher vocational","","","",""
"Daily","2007","indirect migration background","higher education","","","",""
"Min 1x per week","2007","no migration background","in school","","","",""
"Min 1x per week","2007","no migration background","inadequately","","","",""
"Min 1x per week","2007","no migration background","general elemantary","","","",""
"Min 1x per week","2007","no migration background","middle vocational","","","",""
"Min 1x per week","2007","no migration background","vocational + Abi","","","",""
"Min 1x per week","2007","no migration background","higher vocational","","","",""
"Min 1x per week","2007","no migration background","higher education","","","",""
"Min 1x per week","2007","direct migration background","in school","","","",""
"Min 1x per week","2007","direct migration background","inadequately","","","",""
"Min 1x per week","2007","direct migration background","general elemantary","","","",""
"Min 1x per week","2007","direct migration background","middle vocational","","","",""
"Min 1x per week","2007","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2007","direct migration background","higher vocational","","","",""
"Min 1x per week","2007","direct migration background","higher education","","","",""
"Min 1x per week","2007","indirect migration background","in school","","","",""
"Min 1x per week","2007","indirect migration background","inadequately","","","",""
"Min 1x per week","2007","indirect migration background","general elemantary","","","",""
"Min 1x per week","2007","indirect migration background","middle vocational","","","",""
"Min 1x per week","2007","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2007","indirect migration background","higher vocational","","","",""
"Min 1x per week","2007","indirect migration background","higher education","","","",""
"Min 1x per month","2007","no migration background","in school","","","",""
"Min 1x per month","2007","no migration background","inadequately","","","",""
"Min 1x per month","2007","no migration background","general elemantary","","","",""
"Min 1x per month","2007","no migration background","middle vocational","","","",""
"Min 1x per month","2007","no migration background","vocational + Abi","","","",""
"Min 1x per month","2007","no migration background","higher vocational","","","",""
"Min 1x per month","2007","no migration background","higher education","","","",""
"Min 1x per month","2007","direct migration background","in school","","","",""
"Min 1x per month","2007","direct migration background","inadequately","","","",""
"Min 1x per month","2007","direct migration background","general elemantary","","","",""
"Min 1x per month","2007","direct migration background","middle vocational","","","",""
"Min 1x per month","2007","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2007","direct migration background","higher vocational","","","",""
"Min 1x per month","2007","direct migration background","higher education","","","",""
"Min 1x per month","2007","indirect migration background","in school","","","",""
"Min 1x per month","2007","indirect migration background","inadequately","","","",""
"Min 1x per month","2007","indirect migration background","general elemantary","","","",""
"Min 1x per month","2007","indirect migration background","middle vocational","","","",""
"Min 1x per month","2007","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2007","indirect migration background","higher vocational","","","",""
"Min 1x per month","2007","indirect migration background","higher education","","","",""
"Rarely","2007","no migration background","in school","","","",""
"Rarely","2007","no migration background","inadequately","","","",""
"Rarely","2007","no migration background","general elemantary","","","",""
"Rarely","2007","no migration background","middle vocational","","","",""
"Rarely","2007","no migration background","vocational + Abi","","","",""
"Rarely","2007","no migration background","higher vocational","","","",""
"Rarely","2007","no migration background","higher education","","","",""
"Rarely","2007","direct migration background","in school","","","",""
"Rarely","2007","direct migration background","inadequately","","","",""
"Rarely","2007","direct migration background","general elemantary","","","",""
"Rarely","2007","direct migration background","middle vocational","","","",""
"Rarely","2007","direct migration background","vocational + Abi","","","",""
"Rarely","2007","direct migration background","higher vocational","","","",""
"Rarely","2007","direct migration background","higher education","","","",""
"Rarely","2007","indirect migration background","in school","","","",""
"Rarely","2007","indirect migration background","inadequately","","","",""
"Rarely","2007","indirect migration background","general elemantary","","","",""
"Rarely","2007","indirect migration background","middle vocational","","","",""
"Rarely","2007","indirect migration background","vocational + Abi","","","",""
"Rarely","2007","indirect migration background","higher vocational","","","",""
"Rarely","2007","indirect migration background","higher education","","","",""
"Never","2007","no migration background","in school","","","",""
"Never","2007","no migration background","inadequately","","","",""
"Never","2007","no migration background","general elemantary","","","",""
"Never","2007","no migration background","middle vocational","","","",""
"Never","2007","no migration background","vocational + Abi","","","",""
"Never","2007","no migration background","higher vocational","","","",""
"Never","2007","no migration background","higher education","","","",""
"Never","2007","direct migration background","in school","","","",""
"Never","2007","direct migration background","inadequately","","","",""
"Never","2007","direct migration background","general elemantary","","","",""
"Never","2007","direct migration background","middle vocational","","","",""
"Never","2007","direct migration background","vocational + Abi","","","",""
"Never","2007","direct migration background","higher vocational","","","",""
"Never","2007","direct migration background","higher education","","","",""
"Never","2007","indirect migration background","in school","","","",""
"Never","2007","indirect migration background","inadequately","","","",""
"Never","2007","indirect migration background","general elemantary","","","",""
"Never","2007","indirect migration background","middle vocational","","","",""
"Never","2007","indirect migration background","vocational + Abi","","","",""
"Never","2007","indirect migration background","higher vocational","","","",""
"Never","2007","indirect migration background","higher education","","","",""
"Daily","2008","no migration background","in school","3","","",""
"Daily","2008","no migration background","inadequately","","","",""
"Daily","2008","no migration background","general elemantary","2","","",""
"Daily","2008","no migration background","middle vocational","7","","",""
"Daily","2008","no migration background","vocational + Abi","","","",""
"Daily","2008","no migration background","higher vocational","3","","",""
"Daily","2008","no migration background","higher education","7","","",""
"Daily","2008","direct migration background","in school","","","",""
"Daily","2008","direct migration background","inadequately","","","",""
"Daily","2008","direct migration background","general elemantary","","","",""
"Daily","2008","direct migration background","middle vocational","1","","",""
"Daily","2008","direct migration background","vocational + Abi","","","",""
"Daily","2008","direct migration background","higher vocational","","","",""
"Daily","2008","direct migration background","higher education","","","",""
"Daily","2008","indirect migration background","in school","2","","",""
"Daily","2008","indirect migration background","inadequately","","","",""
"Daily","2008","indirect migration background","general elemantary","1","","",""
"Daily","2008","indirect migration background","middle vocational","2","","",""
"Daily","2008","indirect migration background","vocational + Abi","1","","",""
"Daily","2008","indirect migration background","higher vocational","","","",""
"Daily","2008","indirect migration background","higher education","","","",""
"Min 1x per week","2008","no migration background","in school","43","0.162521051608783","0.119912810313166","0.2051292929044"
"Min 1x per week","2008","no migration background","inadequately","2","","",""
"Min 1x per week","2008","no migration background","general elemantary","67","0.0481924114762335","0.0371189444291413","0.0592658785233258"
"Min 1x per week","2008","no migration background","middle vocational","455","0.0525064577987984","0.0478198566308355","0.0571930589667613"
"Min 1x per week","2008","no migration background","vocational + Abi","43","0.048183935458325","0.0338793866229572","0.0624884842936928"
"Min 1x per week","2008","no migration background","higher vocational","51","0.0381072224271077","0.0275651313738607","0.0486493134803547"
"Min 1x per week","2008","no migration background","higher education","115","0.0261758331974744","0.0210955261771141","0.0312561402178346"
"Min 1x per week","2008","direct migration background","in school","1","","",""
"Min 1x per week","2008","direct migration background","inadequately","3","","",""
"Min 1x per week","2008","direct migration background","general elemantary","10","","",""
"Min 1x per week","2008","direct migration background","middle vocational","35","0.0475676679284586","0.031922281813613","0.0632130540433042"
"Min 1x per week","2008","direct migration background","vocational + Abi","6","","",""
"Min 1x per week","2008","direct migration background","higher vocational","4","","",""
"Min 1x per week","2008","direct migration background","higher education","12","","",""
"Min 1x per week","2008","indirect migration background","in school","9","","",""
"Min 1x per week","2008","indirect migration background","inadequately","1","","",""
"Min 1x per week","2008","indirect migration background","general elemantary","11","","",""
"Min 1x per week","2008","indirect migration background","middle vocational","17","","",""
"Min 1x per week","2008","indirect migration background","vocational + Abi","1","","",""
"Min 1x per week","2008","indirect migration background","higher vocational","1","","",""
"Min 1x per week","2008","indirect migration background","higher education","2","","",""
"Min 1x per month","2008","no migration background","in school","64","0.196383603947829","0.150503028689674","0.242264179205984"
"Min 1x per month","2008","no migration background","inadequately","6","","",""
"Min 1x per month","2008","no migration background","general elemantary","72","0.044657445739313","0.0339780616074656","0.0553368298711604"
"Min 1x per month","2008","no migration background","middle vocational","688","0.0830484808009292","0.0772501559897304","0.0888468056121279"
"Min 1x per month","2008","no migration background","vocational + Abi","84","0.0997290299486547","0.0797145672461584","0.119743492651151"
"Min 1x per month","2008","no migration background","higher vocational","109","0.0890070996691169","0.073327693713595","0.104686505624639"
"Min 1x per month","2008","no migration background","higher education","346","0.0885889699074387","0.0795473469271366","0.0976305928877408"
"Min 1x per month","2008","direct migration background","in school","3","","",""
"Min 1x per month","2008","direct migration background","inadequately","4","","",""
"Min 1x per month","2008","direct migration background","general elemantary","15","","",""
"Min 1x per month","2008","direct migration background","middle vocational","48","0.0677289753474208","0.0492587737142189","0.0861991769806227"
"Min 1x per month","2008","direct migration background","vocational + Abi","6","","",""
"Min 1x per month","2008","direct migration background","higher vocational","8","","",""
"Min 1x per month","2008","direct migration background","higher education","20","","",""
"Min 1x per month","2008","indirect migration background","in school","11","","",""
"Min 1x per month","2008","indirect migration background","inadequately","","","",""
"Min 1x per month","2008","indirect migration background","general elemantary","15","","",""
"Min 1x per month","2008","indirect migration background","middle vocational","46","0.188986636688425","0.146092033452592","0.231881239924258"
"Min 1x per month","2008","indirect migration background","vocational + Abi","5","","",""
"Min 1x per month","2008","indirect migration background","higher vocational","7","","",""
"Min 1x per month","2008","indirect migration background","higher education","7","","",""
"Rarely","2008","no migration background","in school","101","0.36248420902604","0.306965179449854","0.418003238602225"
"Rarely","2008","no migration background","inadequately","9","","",""
"Rarely","2008","no migration background","general elemantary","251","0.182262225121556","0.162301557129728","0.202222893113385"
"Rarely","2008","no migration background","middle vocational","2589","0.29746918366661","0.287863745356976","0.307074621976244"
"Rarely","2008","no migration background","vocational + Abi","327","0.389680198819646","0.357105574587075","0.422254823052218"
"Rarely","2008","no migration background","higher vocational","440","0.355677339935343","0.329317693248706","0.38203698662198"
"Rarely","2008","no migration background","higher education","1356","0.356201639254677","0.340963837540659","0.371439440968696"
"Rarely","2008","direct migration background","in school","3","","",""
"Rarely","2008","direct migration background","inadequately","3","","",""
"Rarely","2008","direct migration background","general elemantary","57","0.129602397778995","0.0978571132128374","0.161347682345152"
"Rarely","2008","direct migration background","middle vocational","149","0.21621022018135","0.185951455194826","0.246468985167874"
"Rarely","2008","direct migration background","vocational + Abi","42","0.229389522881449","0.170073273797646","0.288705771965253"
"Rarely","2008","direct migration background","higher vocational","29","","",""
"Rarely","2008","direct migration background","higher education","89","0.291759534657418","0.241400335005465","0.342118734309372"
"Rarely","2008","indirect migration background","in school","11","","",""
"Rarely","2008","indirect migration background","inadequately","1","","",""
"Rarely","2008","indirect migration background","general elemantary","54","0.313783124235967","0.241198646997742","0.386367601474192"
"Rarely","2008","indirect migration background","middle vocational","101","0.310290362851714","0.259604085853298","0.36097663985013"
"Rarely","2008","indirect migration background","vocational + Abi","10","","",""
"Rarely","2008","indirect migration background","higher vocational","12","","",""
"Rarely","2008","indirect migration background","higher education","36","0.458927171324711","0.353610138783894","0.564244203865529"
"Never","2008","no migration background","in school","77","0.257493955860058","0.20699465524691","0.307993256473206"
"Never","2008","no migration background","inadequately","60","0.724432961740498","0.624636426419609","0.824229497061386"
"Never","2008","no migration background","general elemantary","1045","0.724395135991712","0.70129306528679","0.747497206696634"
"Never","2008","no migration background","middle vocational","4962","0.56662108971273","0.556208859522175","0.577033319903285"
"Never","2008","no migration background","vocational + Abi","407","0.462406835773374","0.429103670931699","0.495710000615049"
"Never","2008","no migration background","higher vocational","664","0.516511135943859","0.488994656618704","0.544027615269015"
"Never","2008","no migration background","higher education","1970","0.527217120088442","0.511330736274314","0.54310350390257"
"Never","2008","direct migration background","in school","2","","",""
"Never","2008","direct migration background","inadequately","91","0.889455008324177","0.828301844276752","0.950608172371601"
"Never","2008","direct migration background","general elemantary","348","0.79708771294208","0.759075680306582","0.835099745577578"
"Never","2008","direct migration background","middle vocational","478","0.667137012169486","0.63249895202082","0.701775072318152"
"Never","2008","direct migration background","vocational + Abi","139","0.708739266143019","0.644639912020319","0.772838620265719"
"Never","2008","direct migration background","higher vocational","73","0.647417266845058","0.55971348428774","0.735121049402376"
"Never","2008","direct migration background","higher education","192","0.6084271868124","0.554353436203789","0.66250093742101"
"Never","2008","indirect migration background","in school","19","","",""
"Never","2008","indirect migration background","inadequately","7","","",""
"Never","2008","indirect migration background","general elemantary","76","0.479165968919552","0.401022817019459","0.557309120819646"
"Never","2008","indirect migration background","middle vocational","154","0.419515659223586","0.365447392896855","0.473583925550316"
"Never","2008","indirect migration background","vocational + Abi","24","","",""
"Never","2008","indirect migration background","higher vocational","16","","",""
"Never","2008","indirect migration background","higher education","41","0.480321558179118","0.374729256743093","0.585913859615143"
"Daily","2009","no migration background","in school","","","",""
"Daily","2009","no migration background","inadequately","","","",""
