"pli0089","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2018","direct migration background","Rural Area","649","0.604600079812127","0.574505969937352","0.634694189686902","5"
"Never","2018","indirect migration background","Urban Area","","","","","5"
"Never","2018","indirect migration background","Rural Area","","","","","5"
"Rarely","2018","no migration background","Urban Area","","","","","4"
"Rarely","2018","no migration background","Rural Area","","","","","4"
"Rarely","2018","direct migration background","Urban Area","552","0.208361572394811","0.193419386253692","0.22330375853593","4"
"Rarely","2018","direct migration background","Rural Area","186","0.215748767606075","0.190430681051212","0.241066854160939","4"
"Rarely","2018","indirect migration background","Urban Area","","","","","4"
"Rarely","2018","indirect migration background","Rural Area","","","","","4"
"Daily","2019","no migration background","Urban Area","16","","","","1"
"Daily","2019","no migration background","Rural Area","19","","","","1"
"Daily","2019","direct migration background","Urban Area","33","0.00168407629621996","0.000567367296314339","0.00280078529612558","1"
"Daily","2019","direct migration background","Rural Area","7","","","","1"
"Daily","2019","indirect migration background","Urban Area","6","","","","1"
"Daily","2019","indirect migration background","Rural Area","1","","","","1"
"Min 1x per month","2019","no migration background","Urban Area","1316","0.103927298410951","0.0983415860882365","0.109513010733666","3"
"Min 1x per month","2019","no migration background","Rural Area","844","0.105906537761877","0.0989599285266863","0.112853146997068","3"
"Min 1x per month","2019","direct migration background","Urban Area","338","0.0856950014837631","0.078071606397837","0.0933183965696893","3"
"Min 1x per month","2019","direct migration background","Rural Area","161","0.087085519922939","0.0745224542892721","0.0996485855566059","3"
"Min 1x per month","2019","indirect migration background","Rural Area","36","0.163399862566222","0.123326201200917","0.203473523931527","3"
"Min 1x per month","2019","indirect migration background","Urban Area","148","0.121060097946133","0.103134046588296","0.13898614930397","3"
"Min 1x per week","2019","no migration background","Urban Area","679","0.0507878028234499","0.0467689371571571","0.0548066684897427","2"
"Min 1x per week","2019","direct migration background","Urban Area","394","0.0480479106506439","0.0422232592978691","0.0538725620034187","2"
"Min 1x per week","2019","no migration background","Rural Area","484","0.0586377114296825","0.0533339139995661","0.0639415088597989","2"
"Min 1x per week","2019","indirect migration background","Rural Area","22","","","","2"
"Min 1x per week","2019","direct migration background","Rural Area","143","0.0477010825019753","0.038204696283856","0.0571974687200947","2"
"Min 1x per week","2019","indirect migration background","Urban Area","103","0.0918960705031553","0.0760208128171227","0.107771328189188","2"
"Never","2019","no migration background","Urban Area","5665","0.528856039244159","0.519719374895088","0.537992703593229","5"
"Never","2019","no migration background","Rural Area","3690","0.516362751280038","0.505081498035407","0.527644004524668","5"
"Never","2019","direct migration background","Urban Area","3426","0.670602912985793","0.657802684249851","0.683403141721734","5"
"Never","2019","direct migration background","Rural Area","1243","0.663400401341731","0.642345545695456","0.684455256988005","5"
"Never","2019","indirect migration background","Urban Area","636","0.486179042721","0.458712211464885","0.513645873977116","5"
"Never","2019","indirect migration background","Rural Area","170","0.516181373584241","0.462016632530939","0.570346114637542","5"
"Rarely","2019","no migration background","Urban Area","3790","0.314832830626556","0.306331627331885","0.323334033921227","4"
"Rarely","2019","no migration background","Rural Area","2501","0.315271811937867","0.304783111082799","0.325760512792936","4"
"Rarely","2019","direct migration background","Urban Area","988","0.19397009858358","0.183201278892381","0.20473891827478","4"
"Rarely","2019","direct migration background","Rural Area","381","0.200280274922999","0.182448457870977","0.218112091975021","4"
"Rarely","2019","indirect migration background","Rural Area","98","0.246478484060713","0.199768303012618","0.293188665108808","4"
"Rarely","2019","indirect migration background","Urban Area","379","0.292763041306873","0.26775698905352","0.317769093560226","4"
