"hlf0001_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Tenant","2018","East Germany","Male","","","","","5"
"Tenant","2018","East Germany","Female","","","","","5"
"Main Tenant","2019","West Germany","Male","5793","0.460017630119736","0.450943168331869","0.469092091907602","1"
"Main Tenant","2019","West Germany","Female","6222","0.471101017596577","0.462147965146745","0.480054070046409","1"
"Main Tenant","2019","East Germany","Male","1558","0.508836027401164","0.490835532584631","0.526836522217698","1"
"Main Tenant","2019","East Germany","Female","1797","0.555444169266269","0.538135009074863","0.572753329457675","1"
"Nursing Home/Retirement Community","2019","East Germany","Female","12","","","","4"
"Nursing Home/Retirement Community","2019","West Germany","Male","19","","","","4"
"Nursing Home/Retirement Community","2019","West Germany","Female","23","","","","4"
"Nursing Home/Retirement Community","2019","East Germany","Male","7","","","","4"
"Owner","2019","East Germany","Male","1340","0.457264947272071","0.439327519866848","0.475202374677294","3"
"Owner","2019","West Germany","Female","5481","0.506590706832273","0.497623441637009","0.515557972027538","3"
"Owner","2019","West Germany","Male","5524","0.518681049900062","0.509583791749745","0.527778308050379","3"
"Owner","2019","East Germany","Female","1300","0.413165871256054","0.396013959344527","0.43031778316758","3"
"Sub-Tenant","2019","West Germany","Male","252","0.0183023645031837","0.0158618223095771","0.0207429066967902","2"
"Sub-Tenant","2019","West Germany","Female","215","0.0177472028069713","0.0153790793747863","0.0201153262391563","2"
"Sub-Tenant","2019","East Germany","Female","57","0.0248022873322458","0.0193849629671848","0.0302196116973068","2"
"Sub-Tenant","2019","East Germany","Male","58","0.0306663098085808","0.0244583388243568","0.0368742807928048","2"
"Tenant","2019","West Germany","Male","","","","","5"
"Tenant","2019","West Germany","Female","","","","","5"
"Tenant","2019","East Germany","Male","","","","","5"
"Tenant","2019","East Germany","Female","","","","","5"
