"ple0081_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2014","college entrance qualification","vocational + Abi","1142","0.730620271137518","0.708368894390265","0.752871647884771"
"No","2014","college entrance qualification","higher vocational","351","0.786649824639473","0.748239798766405","0.825059850512541"
"No","2014","college entrance qualification","higher education","3762","0.836721572042863","0.825829878328828","0.847613265756897"
"No","2014","Other degree","in school","","","",""
"No","2014","Other degree","inadequately","28","","",""
"No","2014","Other degree","general elemantary","461","0.66054116782762","0.625080549295254","0.696001786359986"
"No","2014","Other degree","middle vocational","752","0.691388999281044","0.6642027526819","0.718575245880187"
"No","2014","Other degree","vocational + Abi","334","0.677810202627519","0.636971302120691","0.718649103134346"
"No","2014","Other degree","higher vocational","41","0.652120584136108","0.525083788201681","0.779157380070534"
"No","2014","Other degree","higher education","737","0.814403245774155","0.788918267482528","0.839888224065781"
"No","2014","no degree/no degree yet","in school","385","0.841221315014224","0.807416687484957","0.875025942543491"
"No","2014","no degree/no degree yet","inadequately","229","0.538075761651981","0.491545458018204","0.584606065285758"
"No","2014","no degree/no degree yet","general elemantary","","","",""
"No","2014","no degree/no degree yet","middle vocational","62","0.633930392554592","0.54265392469408","0.725206860415104"
"No","2014","no degree/no degree yet","vocational + Abi","","","",""
"No","2014","no degree/no degree yet","higher vocational","3","","",""
"No","2014","no degree/no degree yet","higher education","4","","",""
"Yes","2015","lower secondary degree","in school","","","",""
"Yes","2015","lower secondary degree","inadequately","","","",""
"Yes","2015","lower secondary degree","general elemantary","","","",""
"Yes","2015","lower secondary degree","middle vocational","","","",""
"Yes","2015","lower secondary degree","vocational + Abi","","","",""
"Yes","2015","lower secondary degree","higher vocational","","","",""
"Yes","2015","lower secondary degree","higher education","","","",""
"Yes","2015","secondary school degree","in school","","","",""
"Yes","2015","secondary school degree","inadequately","","","",""
"Yes","2015","secondary school degree","general elemantary","","","",""
"Yes","2015","secondary school degree","middle vocational","","","",""
"Yes","2015","secondary school degree","vocational + Abi","","","",""
"Yes","2015","secondary school degree","higher vocational","","","",""
"Yes","2015","secondary school degree","higher education","","","",""
"Yes","2015","college entrance qualification","in school","","","",""
"Yes","2015","college entrance qualification","inadequately","","","",""
"Yes","2015","college entrance qualification","general elemantary","","","",""
"Yes","2015","college entrance qualification","middle vocational","","","",""
"Yes","2015","college entrance qualification","vocational + Abi","","","",""
"Yes","2015","college entrance qualification","higher vocational","","","",""
"Yes","2015","college entrance qualification","higher education","","","",""
"Yes","2015","Other degree","in school","","","",""
"Yes","2015","Other degree","inadequately","","","",""
"Yes","2015","Other degree","general elemantary","","","",""
"Yes","2015","Other degree","middle vocational","","","",""
"Yes","2015","Other degree","vocational + Abi","","","",""
"Yes","2015","Other degree","higher vocational","","","",""
"Yes","2015","Other degree","higher education","","","",""
"Yes","2015","no degree/no degree yet","in school","","","",""
"Yes","2015","no degree/no degree yet","inadequately","","","",""
"Yes","2015","no degree/no degree yet","general elemantary","","","",""
"Yes","2015","no degree/no degree yet","middle vocational","","","",""
"Yes","2015","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2015","no degree/no degree yet","higher vocational","","","",""
"Yes","2015","no degree/no degree yet","higher education","","","",""
"No","2015","lower secondary degree","in school","","","",""
"No","2015","lower secondary degree","inadequately","","","",""
"No","2015","lower secondary degree","general elemantary","","","",""
"No","2015","lower secondary degree","middle vocational","","","",""
"No","2015","lower secondary degree","vocational + Abi","","","",""
"No","2015","lower secondary degree","higher vocational","","","",""
"No","2015","lower secondary degree","higher education","","","",""
"No","2015","secondary school degree","in school","","","",""
"No","2015","secondary school degree","inadequately","","","",""
"No","2015","secondary school degree","general elemantary","","","",""
"No","2015","secondary school degree","middle vocational","","","",""
"No","2015","secondary school degree","vocational + Abi","","","",""
"No","2015","secondary school degree","higher vocational","","","",""
"No","2015","secondary school degree","higher education","","","",""
"No","2015","college entrance qualification","in school","","","",""
"No","2015","college entrance qualification","inadequately","","","",""
"No","2015","college entrance qualification","general elemantary","","","",""
"No","2015","college entrance qualification","middle vocational","","","",""
"No","2015","college entrance qualification","vocational + Abi","","","",""
"No","2015","college entrance qualification","higher vocational","","","",""
"No","2015","college entrance qualification","higher education","","","",""
"No","2015","Other degree","in school","","","",""
"No","2015","Other degree","inadequately","","","",""
"No","2015","Other degree","general elemantary","","","",""
"No","2015","Other degree","middle vocational","","","",""
"No","2015","Other degree","vocational + Abi","","","",""
"No","2015","Other degree","higher vocational","","","",""
"No","2015","Other degree","higher education","","","",""
"No","2015","no degree/no degree yet","in school","","","",""
"No","2015","no degree/no degree yet","inadequately","","","",""
"No","2015","no degree/no degree yet","general elemantary","","","",""
"No","2015","no degree/no degree yet","middle vocational","","","",""
"No","2015","no degree/no degree yet","vocational + Abi","","","",""
"No","2015","no degree/no degree yet","higher vocational","","","",""
"No","2015","no degree/no degree yet","higher education","","","",""
"Yes","2016","lower secondary degree","in school","","","",""
"Yes","2016","lower secondary degree","inadequately","","","",""
"Yes","2016","lower secondary degree","general elemantary","511","0.320294192084369","0.295468967307467","0.345119416861272"
"Yes","2016","lower secondary degree","middle vocational","1241","0.28075133648312","0.266903265659313","0.294599407306926"
"Yes","2016","lower secondary degree","vocational + Abi","","","",""
"Yes","2016","lower secondary degree","higher vocational","58","0.187663694425583","0.14475032714134","0.230577061709827"
"Yes","2016","lower secondary degree","higher education","19","","",""
"Yes","2016","secondary school degree","in school","","","",""
"Yes","2016","secondary school degree","inadequately","","","",""
"Yes","2016","secondary school degree","general elemantary","254","0.33639960710865","0.301247657825353","0.371551556391946"
"Yes","2016","secondary school degree","middle vocational","1418","0.305311305387455","0.292161721536473","0.318460889238436"
"Yes","2016","secondary school degree","vocational + Abi","2","","",""
"Yes","2016","secondary school degree","higher vocational","126","0.196128783044219","0.164823490997407","0.227434075091031"
"Yes","2016","secondary school degree","higher education","94","0.160905002346365","0.131205459325487","0.190604545367242"
"Yes","2016","college entrance qualification","in school","","","",""
"Yes","2016","college entrance qualification","inadequately","","","",""
"Yes","2016","college entrance qualification","general elemantary","","","",""
"Yes","2016","college entrance qualification","middle vocational","155","0.143144434262748","0.120932445275054","0.165356423250441"
"Yes","2016","college entrance qualification","vocational + Abi","324","0.24760560117053","0.22480826359418","0.27040293874688"
"Yes","2016","college entrance qualification","higher vocational","81","0.240188230680706","0.198112722719362","0.28226373864205"
"Yes","2016","college entrance qualification","higher education","562","0.160434858376939","0.149160960234386","0.171708756519493"
"Yes","2016","Other degree","in school","","","",""
"Yes","2016","Other degree","inadequately","24","","",""
"Yes","2016","Other degree","general elemantary","185","0.330105373645521","0.289803355830548","0.370407391460494"
"Yes","2016","Other degree","middle vocational","342","0.285681707665313","0.257627014429757","0.31373640090087"
"Yes","2016","Other degree","vocational + Abi","228","0.331316358609818","0.294444696644928","0.368188020574708"
"Yes","2016","Other degree","higher vocational","6","","",""
"Yes","2016","Other degree","higher education","163","0.169946302640186","0.146806119637432","0.193086485642941"
"Yes","2016","no degree/no degree yet","in school","43","0.156649900855943","0.117669718189341","0.195630083522545"
"Yes","2016","no degree/no degree yet","inadequately","163","0.422825471034659","0.371291348282789","0.474359593786528"
"Yes","2016","no degree/no degree yet","general elemantary","","","",""
"Yes","2016","no degree/no degree yet","middle vocational","56","0.466825451187291","0.377188602849031","0.556462299525551"
"Yes","2016","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2016","no degree/no degree yet","higher vocational","4","","",""
"Yes","2016","no degree/no degree yet","higher education","1","","",""
"No","2016","lower secondary degree","in school","","","",""
"No","2016","lower secondary degree","inadequately","","","",""
"No","2016","lower secondary degree","general elemantary","846","0.679705807915631","0.654880583138729","0.704531032692533"
"No","2016","lower secondary degree","middle vocational","2804","0.71924866351688","0.705400592693074","0.733096734340687"
"No","2016","lower secondary degree","vocational + Abi","4","","",""
"No","2016","lower secondary degree","higher vocational","260","0.812336305574417","0.769422938290173","0.85524967285866"
"No","2016","lower secondary degree","higher education","108","0.831250658066587","0.76611282969236","0.896388486440814"
"No","2016","secondary school degree","in school","","","",""
"No","2016","secondary school degree","inadequately","","","",""
"No","2016","secondary school degree","general elemantary","440","0.66360039289135","0.628448443608054","0.698752342174647"
"No","2016","secondary school degree","middle vocational","3294","0.694688694612545","0.681539110761564","0.707838278463527"
"No","2016","secondary school degree","vocational + Abi","14","","",""
"No","2016","secondary school degree","higher vocational","492","0.803871216955781","0.772565924908969","0.835176509002593"
"No","2016","secondary school degree","higher education","494","0.839094997653635","0.809395454632758","0.868794540674513"
"No","2016","college entrance qualification","in school","","","",""
"No","2016","college entrance qualification","inadequately","","","",""
"No","2016","college entrance qualification","general elemantary","","","",""
"No","2016","college entrance qualification","middle vocational","800","0.856855565737252","0.834643576749559","0.879067554724946"
"No","2016","college entrance qualification","vocational + Abi","1053","0.75239439882947","0.729597061253121","0.77519173640582"
"No","2016","college entrance qualification","higher vocational","315","0.759811769319294","0.71773626135795","0.801887277280638"
"No","2016","college entrance qualification","higher education","3509","0.839565141623061","0.828291243480508","0.850839039765614"
"No","2016","Other degree","in school","","","",""
"No","2016","Other degree","inadequately","25","","",""
"No","2016","Other degree","general elemantary","338","0.669894626354479","0.629592608539506","0.710196644169452"
"No","2016","Other degree","middle vocational","654","0.714318292334687","0.68626359909913","0.742372985570243"
"No","2016","Other degree","vocational + Abi","398","0.668683641390182","0.631811979425292","0.705555303355072"
"No","2016","Other degree","higher vocational","38","0.960827199897482","0.903503171109756","1.01815122868521"
"No","2016","Other degree","higher education","849","0.830053697359814","0.806913514357059","0.853193880362568"
"No","2016","no degree/no degree yet","in school","291","0.843350099144057","0.804369916477455","0.882330281810659"
"No","2016","no degree/no degree yet","inadequately","190","0.577174528965341","0.525640406213472","0.628708651717211"
"No","2016","no degree/no degree yet","general elemantary","","","",""
"No","2016","no degree/no degree yet","middle vocational","63","0.533174548812709","0.443537700474449","0.622811397150969"
"No","2016","no degree/no degree yet","vocational + Abi","","","",""
"No","2016","no degree/no degree yet","higher vocational","3","","",""
"No","2016","no degree/no degree yet","higher education","2","","",""
"Yes","2017","lower secondary degree","in school","","","",""
"Yes","2017","lower secondary degree","inadequately","","","",""
"Yes","2017","lower secondary degree","general elemantary","","","",""
"Yes","2017","lower secondary degree","middle vocational","","","",""
"Yes","2017","lower secondary degree","vocational + Abi","","","",""
"Yes","2017","lower secondary degree","higher vocational","","","",""
"Yes","2017","lower secondary degree","higher education","","","",""
"Yes","2017","secondary school degree","in school","","","",""
"Yes","2017","secondary school degree","inadequately","","","",""
"Yes","2017","secondary school degree","general elemantary","","","",""
"Yes","2017","secondary school degree","middle vocational","","","",""
"Yes","2017","secondary school degree","vocational + Abi","","","",""
"Yes","2017","secondary school degree","higher vocational","","","",""
"Yes","2017","secondary school degree","higher education","","","",""
"Yes","2017","college entrance qualification","in school","","","",""
"Yes","2017","college entrance qualification","inadequately","","","",""
"Yes","2017","college entrance qualification","general elemantary","","","",""
"Yes","2017","college entrance qualification","middle vocational","","","",""
"Yes","2017","college entrance qualification","vocational + Abi","","","",""
"Yes","2017","college entrance qualification","higher vocational","","","",""
"Yes","2017","college entrance qualification","higher education","","","",""
"Yes","2017","Other degree","in school","","","",""
"Yes","2017","Other degree","inadequately","","","",""
"Yes","2017","Other degree","general elemantary","","","",""
"Yes","2017","Other degree","middle vocational","","","",""
"Yes","2017","Other degree","vocational + Abi","","","",""
"Yes","2017","Other degree","higher vocational","","","",""
"Yes","2017","Other degree","higher education","","","",""
"Yes","2017","no degree/no degree yet","in school","","","",""
"Yes","2017","no degree/no degree yet","inadequately","","","",""
"Yes","2017","no degree/no degree yet","general elemantary","","","",""
"Yes","2017","no degree/no degree yet","middle vocational","","","",""
"Yes","2017","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2017","no degree/no degree yet","higher vocational","","","",""
"Yes","2017","no degree/no degree yet","higher education","","","",""
"No","2017","lower secondary degree","in school","","","",""
"No","2017","lower secondary degree","inadequately","","","",""
"No","2017","lower secondary degree","general elemantary","","","",""
"No","2017","lower secondary degree","middle vocational","","","",""
"No","2017","lower secondary degree","vocational + Abi","","","",""
"No","2017","lower secondary degree","higher vocational","","","",""
"No","2017","lower secondary degree","higher education","","","",""
"No","2017","secondary school degree","in school","","","",""
"No","2017","secondary school degree","inadequately","","","",""
"No","2017","secondary school degree","general elemantary","","","",""
"No","2017","secondary school degree","middle vocational","","","",""
"No","2017","secondary school degree","vocational + Abi","","","",""
"No","2017","secondary school degree","higher vocational","","","",""
"No","2017","secondary school degree","higher education","","","",""
"No","2017","college entrance qualification","in school","","","",""
"No","2017","college entrance qualification","inadequately","","","",""
"No","2017","college entrance qualification","general elemantary","","","",""
"No","2017","college entrance qualification","middle vocational","","","",""
"No","2017","college entrance qualification","vocational + Abi","","","",""
"No","2017","college entrance qualification","higher vocational","","","",""
"No","2017","college entrance qualification","higher education","","","",""
"No","2017","Other degree","in school","","","",""
"No","2017","Other degree","inadequately","","","",""
"No","2017","Other degree","general elemantary","","","",""
"No","2017","Other degree","middle vocational","","","",""
"No","2017","Other degree","vocational + Abi","","","",""
"No","2017","Other degree","higher vocational","","","",""
"No","2017","Other degree","higher education","","","",""
"No","2017","no degree/no degree yet","in school","","","",""
"No","2017","no degree/no degree yet","inadequately","","","",""
"No","2017","no degree/no degree yet","general elemantary","","","",""
"No","2017","no degree/no degree yet","middle vocational","","","",""
"No","2017","no degree/no degree yet","vocational + Abi","","","",""
"No","2017","no degree/no degree yet","higher vocational","","","",""
"No","2017","no degree/no degree yet","higher education","","","",""
"Yes","2018","lower secondary degree","in school","","","",""
"Yes","2018","lower secondary degree","inadequately","","","",""
"Yes","2018","lower secondary degree","general elemantary","555","0.33691033411247","0.311872909022314","0.361947759202626"
"Yes","2018","lower secondary degree","middle vocational","1202","0.278963729913891","0.264932986363357","0.292994473464425"
"Yes","2018","lower secondary degree","vocational + Abi","","","",""
"Yes","2018","lower secondary degree","higher vocational","49","0.160461072096845","0.119337328589522","0.201584815604168"
"Yes","2018","lower secondary degree","higher education","15","","",""
"Yes","2018","secondary school degree","in school","","","",""
"Yes","2018","secondary school degree","inadequately","","","",""
"Yes","2018","secondary school degree","general elemantary","275","0.319207372673535","0.286823003932078","0.351591741414992"
"Yes","2018","secondary school degree","middle vocational","1489","0.289436235015642","0.277033611462522","0.301838858568763"
"Yes","2018","secondary school degree","vocational + Abi","","","",""
"Yes","2018","secondary school degree","higher vocational","131","0.198694747274825","0.168390523495643","0.228998971054007"
"Yes","2018","secondary school degree","higher education","97","0.155833985534603","0.127556904733534","0.184111066335671"
"Yes","2018","college entrance qualification","in school","","","",""
"Yes","2018","college entrance qualification","inadequately","","","",""
"Yes","2018","college entrance qualification","general elemantary","","","",""
"Yes","2018","college entrance qualification","middle vocational","200","0.163344994499473","0.142107771711972","0.184582217286973"
"Yes","2018","college entrance qualification","vocational + Abi","386","0.251794607301992","0.230573219491877","0.273015995112107"
"Yes","2018","college entrance qualification","higher vocational","80","0.228664456935412","0.188012901568431","0.269316012302393"
"Yes","2018","college entrance qualification","higher education","591","0.14518017090858","0.134863287908729","0.155497053908431"
"Yes","2018","Other degree","in school","","","",""
"Yes","2018","Other degree","inadequately","22","","",""
"Yes","2018","Other degree","general elemantary","172","0.343063892530699","0.301410834621858","0.38471695043954"
"Yes","2018","Other degree","middle vocational","301","0.282779705521871","0.253471120529655","0.312088290514087"
"Yes","2018","Other degree","vocational + Abi","162","0.329354230169684","0.287656117573728","0.37105234276564"
"Yes","2018","Other degree","higher vocational","7","","",""
"Yes","2018","Other degree","higher education","158","0.186093675056143","0.161306552188551","0.210880797923736"
"Yes","2018","no degree/no degree yet","in school","33","0.0812864698691356","0.05202306369362","0.110549876044651"
"Yes","2018","no degree/no degree yet","inadequately","207","0.467450886550639","0.419847298041047","0.515054475060231"
"Yes","2018","no degree/no degree yet","general elemantary","","","",""
"Yes","2018","no degree/no degree yet","middle vocational","46","0.468558499209012","0.375305804292181","0.561811194125843"
"Yes","2018","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2018","no degree/no degree yet","higher vocational","4","","",""
"Yes","2018","no degree/no degree yet","higher education","","","",""
"No","2018","lower secondary degree","in school","","","",""
"No","2018","lower secondary degree","inadequately","","","",""
"No","2018","lower secondary degree","general elemantary","814","0.66308966588753","0.638052240797374","0.688127090977686"
"No","2018","lower secondary degree","middle vocational","2723","0.721036270086109","0.707005526535575","0.735067013636643"
"No","2018","lower secondary degree","vocational + Abi","4","","",""
"No","2018","lower secondary degree","higher vocational","257","0.839538927903155","0.798415184395832","0.880662671410478"
"No","2018","lower secondary degree","higher education","99","0.8622082184759","0.798935950477537","0.925480486474263"
"No","2018","secondary school degree","in school","","","",""
"No","2018","secondary school degree","inadequately","","","",""
"No","2018","secondary school degree","general elemantary","521","0.680792627326465","0.648408258585008","0.713176996067922"
"No","2018","secondary school degree","middle vocational","3647","0.710563764984358","0.698161141431237","0.722966388537478"
"No","2018","secondary school degree","vocational + Abi","14","","",""
"No","2018","secondary school degree","higher vocational","535","0.801305252725175","0.771001028945993","0.831609476504357"
"No","2018","secondary school degree","higher education","535","0.844166014465397","0.815888933664329","0.872443095266466"
"No","2018","college entrance qualification","in school","","","",""
"No","2018","college entrance qualification","inadequately","","","",""
"No","2018","college entrance qualification","general elemantary","","","",""
"No","2018","college entrance qualification","middle vocational","964","0.836655005500527","0.815417782713026","0.857892228288028"
"No","2018","college entrance qualification","vocational + Abi","1221","0.748205392698008","0.726984004887893","0.769426780508123"
"No","2018","college entrance qualification","higher vocational","330","0.771335543064588","0.730683987697607","0.811987098431569"
"No","2018","college entrance qualification","higher education","3888","0.85481982909142","0.844502946091569","0.865136712091271"
"No","2018","Other degree","in school","","","",""
"No","2018","Other degree","inadequately","31","0.651126587076063","0.522811770450747","0.779441403701378"
"No","2018","Other degree","general elemantary","327","0.656936107469301","0.61528304956046","0.698589165378142"
"No","2018","Other degree","middle vocational","606","0.717220294478129","0.687911709485913","0.746528879470345"
"No","2018","Other degree","vocational + Abi","326","0.670645769830316","0.62894765723436","0.712343882426272"
"No","2018","Other degree","higher vocational","27","","",""
"No","2018","Other degree","higher education","789","0.813906324943857","0.789119202076264","0.838693447811449"
"No","2018","no degree/no degree yet","in school","302","0.918713530130864","0.889450123955349","0.94797693630638"
"No","2018","no degree/no degree yet","inadequately","215","0.532549113449361","0.484945524939769","0.580152701958953"
"No","2018","no degree/no degree yet","general elemantary","","","",""
"No","2018","no degree/no degree yet","middle vocational","64","0.531441500790988","0.438188805874157","0.624694195707819"
"No","2018","no degree/no degree yet","vocational + Abi","","","",""
"No","2018","no degree/no degree yet","higher vocational","2","","",""
"No","2018","no degree/no degree yet","higher education","3","","",""
