"pgoeffd","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2008","lower secondary degree","direct migration background","","","",""
"Yes","2008","lower secondary degree","indirect migration background","","","",""
"Yes","2008","secondary school degree","no migration background","891","0.247821420234727","0.233507638104236","0.262135202365219"
"Yes","2008","secondary school degree","direct migration background","","","",""
"Yes","2008","secondary school degree","indirect migration background","","","",""
"Yes","2008","college entrance qualification","no migration background","1080","0.32371267102546","0.307360205545956","0.340065136504965"
"Yes","2008","college entrance qualification","direct migration background","42","0.275652224640945","0.204615878746752","0.346688570535138"
"Yes","2008","college entrance qualification","indirect migration background","30","0.196997998044535","0.130153162797658","0.263842833291411"
"Yes","2008","Other degree","no migration background","","","",""
"Yes","2008","Other degree","direct migration background","71","0.137847557941195","0.104355452014309","0.171339663868082"
"Yes","2008","Other degree","indirect migration background","","","",""
"Yes","2008","no degree/no degree yet","no migration background","","","",""
"Yes","2008","no degree/no degree yet","direct migration background","","","",""
"Yes","2008","no degree/no degree yet","indirect migration background","","","",""
"No","2008","lower secondary degree","no migration background","1730","0.832433372180518","0.816436751062076","0.84842999329896"
"No","2008","lower secondary degree","direct migration background","221","0.908818097521174","0.872698243547571","0.944937951494776"
"No","2008","lower secondary degree","indirect migration background","127","0.885920055923619","0.833995981758135","0.937844130089103"
"No","2008","secondary school degree","no migration background","2604","0.752178579765273","0.737864797634781","0.766492361895764"
"No","2008","secondary school degree","direct migration background","89","0.790047547209282","0.714281663595596","0.865813430822969"
"No","2008","secondary school degree","indirect migration background","104","0.88866787601027","0.833962977264617","0.943372774755924"
"No","2008","college entrance qualification","no migration background","2065","0.67628732897454","0.659934863495035","0.692639794454044"
"No","2008","college entrance qualification","direct migration background","110","0.724347775359055","0.653311429464862","0.795384121253248"
"No","2008","college entrance qualification","indirect migration background","106","0.803002001955465","0.736157166708589","0.869846837202342"
"No","2008","Other degree","no migration background","33","0.884068156768111","0.788380017893505","0.979756295642717"
"No","2008","Other degree","direct migration background","336","0.862152442058805","0.828660336131918","0.895644547985691"
"No","2008","Other degree","indirect migration background","","","",""
"No","2008","no degree/no degree yet","no migration background","46","0.777841299263821","0.663753247091951","0.891929351435691"
"No","2008","no degree/no degree yet","direct migration background","","","",""
"No","2008","no degree/no degree yet","indirect migration background","","","",""
"Yes","2009","lower secondary degree","no migration background","346","0.165604481011915","0.149349736558672","0.181859225465158"
"Yes","2009","lower secondary degree","direct migration background","","","",""
"Yes","2009","lower secondary degree","indirect migration background","","","",""
"Yes","2009","secondary school degree","no migration background","842","0.237133536328374","0.222955399872305","0.251311672784444"
"Yes","2009","secondary school degree","direct migration background","","","",""
"Yes","2009","secondary school degree","indirect migration background","","","",""
"Yes","2009","college entrance qualification","no migration background","1054","0.306224498763372","0.290001667386847","0.322447330139896"
"Yes","2009","college entrance qualification","direct migration background","43","0.275732744361445","0.204455120316077","0.347010368406813"
"Yes","2009","college entrance qualification","indirect migration background","32","0.221505127533775","0.150121899219004","0.292888355848547"
"Yes","2009","Other degree","no migration background","","","",""
"Yes","2009","Other degree","direct migration background","69","0.141157426888771","0.105679692515451","0.176635161262092"
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","","","",""
"Yes","2009","no degree/no degree yet","direct migration background","","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"No","2009","lower secondary degree","no migration background","1663","0.834395518988085","0.818140774534842","0.850650263441328"
"No","2009","lower secondary degree","direct migration background","181","0.839301243921192","0.789630160309283","0.8889723275331"
"No","2009","lower secondary degree","indirect migration background","129","0.899761125537076","0.851047173230973","0.948475077843179"
"No","2009","secondary school degree","no migration background","2615","0.762866463671626","0.748688327215556","0.777044600127695"
"No","2009","secondary school degree","direct migration background","79","0.730098474693642","0.644370439802639","0.815826509584646"
"No","2009","secondary school degree","indirect migration background","102","0.873256066241591","0.814700033471006","0.931812099012175"
"No","2009","college entrance qualification","no migration background","2047","0.693775501236628","0.677552669860104","0.709998332613153"
"No","2009","college entrance qualification","direct migration background","108","0.724267255638555","0.652989631593187","0.795544879683923"
"No","2009","college entrance qualification","indirect migration background","98","0.778494872466225","0.707111644151454","0.849878100780996"
"No","2009","Other degree","no migration background","33","0.876979850589725","0.777643916837326","0.976315784342124"
"No","2009","Other degree","direct migration background","301","0.858842573111229","0.823364838737908","0.894320307484549"
"No","2009","Other degree","indirect migration background","","","",""
"No","2009","no degree/no degree yet","no migration background","47","0.770245394693825","0.659068788090735","0.881422001296916"
"No","2009","no degree/no degree yet","direct migration background","","","",""
"No","2009","no degree/no degree yet","indirect migration background","","","",""
"Yes","2010","lower secondary degree","no migration background","387","0.175299336089672","0.160147388320866","0.190451283858478"
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","1012","0.231003094043143","0.218721408106939","0.243284779979347"
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","1398","0.3307829013072","0.316464855167286","0.345100947447113"
"Yes","2010","college entrance qualification","direct migration background","52","0.272031650424542","0.21004738441005","0.334015916439034"
"Yes","2010","college entrance qualification","indirect migration background","56","0.267298363556161","0.208005430382825","0.326591296729496"
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","109","0.162989869881287","0.13582143750458","0.190158302257994"
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"No","2010","lower secondary degree","no migration background","2032","0.824700663910328","0.809548716141522","0.839852611679134"
"No","2010","lower secondary degree","direct migration background","266","0.896730262771841","0.861826350007801","0.931634175535881"
"No","2010","lower secondary degree","indirect migration background","153","0.861397539237023","0.810493910626723","0.912301167847323"
"No","2010","secondary school degree","no migration background","3512","0.768996905956857","0.756715220020653","0.781278591893061"
"No","2010","secondary school degree","direct migration background","129","0.847791747602842","0.790684663018075","0.904898832187608"
"No","2010","secondary school degree","indirect migration background","147","0.871500033135464","0.821046689788736","0.921953376482192"
"No","2010","college entrance qualification","no migration background","2750","0.6692170986928","0.654899052552887","0.683535144832714"
"No","2010","college entrance qualification","direct migration background","146","0.727968349575458","0.665984083560966","0.78995261558995"
"No","2010","college entrance qualification","indirect migration background","158","0.73270163644384","0.673408703270505","0.791994569617175"
"No","2010","Other degree","no migration background","47","0.806985494840724","0.710294519252697","0.903676470428752"
"No","2010","Other degree","direct migration background","601","0.837010130118713","0.809841697742006","0.86417856249542"
"No","2010","Other degree","indirect migration background","","","",""
"No","2010","no degree/no degree yet","no migration background","56","0.864186765640432","0.782154342323731","0.946219188957134"
"No","2010","no degree/no degree yet","direct migration background","63","0.98107935542198","0.948455842675027","1.01370286816893"
"No","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","480","0.177203431857986","0.163308496628578","0.191098367087394"
"Yes","2011","lower secondary degree","direct migration background","","","",""
"Yes","2011","lower secondary degree","indirect migration background","","","",""
"Yes","2011","secondary school degree","no migration background","1272","0.236687167921081","0.225272970473455","0.248101365368706"
"Yes","2011","secondary school degree","direct migration background","31","0.177037094790961","0.12203433336821","0.232039856213713"
"Yes","2011","secondary school degree","indirect migration background","40","0.221234710344773","0.168277876024091","0.274191544665455"
"Yes","2011","college entrance qualification","no migration background","1696","0.329469788644985","0.316374763465116","0.342564813824854"
"Yes","2011","college entrance qualification","direct migration background","60","0.244854613689749","0.188417461396799","0.301291765982699"
"Yes","2011","college entrance qualification","indirect migration background","66","0.25737664265338","0.203926311844405","0.310826973462355"
"Yes","2011","Other degree","no migration background","","","",""
"Yes","2011","Other degree","direct migration background","128","0.164113072276797","0.139169896889766","0.189056247663828"
"Yes","2011","Other degree","indirect migration background","","","",""
"Yes","2011","no degree/no degree yet","no migration background","","","",""
"Yes","2011","no degree/no degree yet","direct migration background","","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","","","",""
"No","2011","lower secondary degree","no migration background","2421","0.822796568142014","0.808901632912606","0.836691503371422"
"No","2011","lower secondary degree","direct migration background","276","0.896007253674331","0.861232863550568","0.930781643798094"
"No","2011","lower secondary degree","indirect migration background","172","0.86958127902834","0.822791972136632","0.916370585920048"
"No","2011","secondary school degree","no migration background","4055","0.763312832078919","0.751898634631294","0.774727029526545"
"No","2011","secondary school degree","direct migration background","154","0.822962905209039","0.767960143786287","0.87796566663179"
"No","2011","secondary school degree","indirect migration background","196","0.778765289655227","0.725808455334545","0.831722123975909"
"No","2011","college entrance qualification","no migration background","3253","0.670530211355015","0.657435186175146","0.683625236534884"
"No","2011","college entrance qualification","direct migration background","163","0.755145386310251","0.698708234017301","0.811582538603201"
"No","2011","college entrance qualification","indirect migration background","191","0.74262335734662","0.689173026537645","0.796073688155595"
"No","2011","Other degree","no migration background","59","0.843325169186593","0.758774691629903","0.927875646743282"
"No","2011","Other degree","direct migration background","719","0.835886927723203","0.810943752336172","0.860830103110234"
"No","2011","Other degree","indirect migration background","","","",""
"No","2011","no degree/no degree yet","no migration background","107","0.866121592695939","0.805195662373898","0.927047523017981"
"No","2011","no degree/no degree yet","direct migration background","67","0.892430089616275","0.822771640561992","0.962088538670558"
"No","2011","no degree/no degree yet","indirect migration background","","","",""
"Yes","2012","lower secondary degree","no migration background","469","0.179672939564597","0.165383736375464","0.193962142753729"
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","1202","0.232961891328639","0.221420213900381","0.244503568756897"
"Yes","2012","secondary school degree","direct migration background","35","0.161139378944701","0.109134603766239","0.213144154123163"
"Yes","2012","secondary school degree","indirect migration background","43","0.230769602530251","0.176786519711427","0.284752685349075"
"Yes","2012","college entrance qualification","no migration background","1692","0.34888826791184","0.335491144532541","0.362285391291138"
"Yes","2012","college entrance qualification","direct migration background","61","0.262487901074949","0.203811909818536","0.321163892331363"
"Yes","2012","college entrance qualification","indirect migration background","61","0.184646093015071","0.13853485540984","0.230757330620301"
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","135","0.160828787547338","0.136972872199438","0.184684702895239"
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"No","2012","lower secondary degree","no migration background","2304","0.820327060435403","0.806037857246271","0.834616263624536"
"No","2012","lower secondary degree","direct migration background","261","0.903181397946036","0.868606426747943","0.93775636914413"
"No","2012","lower secondary degree","indirect migration background","170","0.894903455633828","0.852294208216853","0.937512703050802"
"No","2012","secondary school degree","no migration background","3951","0.767038108671361","0.755496431243103","0.778579786099619"
"No","2012","secondary school degree","direct migration background","157","0.838860621055299","0.786855845876837","0.890865396233761"
"No","2012","secondary school degree","indirect migration background","191","0.769230397469749","0.715247314650925","0.823213480288573"
"No","2012","college entrance qualification","no migration background","3170","0.65111173208816","0.637714608708862","0.664508855467459"
"No","2012","college entrance qualification","direct migration background","155","0.737512098925051","0.678836107668637","0.796188090181464"
"No","2012","college entrance qualification","indirect migration background","211","0.815353906984929","0.769242669379699","0.86146514459016"
"No","2012","Other degree","no migration background","52","0.811912134033412","0.717633989053733","0.906190279013092"
"No","2012","Other degree","direct migration background","776","0.839171212452661","0.815315297104761","0.863027127800562"
"No","2012","Other degree","indirect migration background","","","",""
"No","2012","no degree/no degree yet","no migration background","129","0.941170214266298","0.901911030289306","0.98042939824329"
"No","2012","no degree/no degree yet","direct migration background","60","0.868979919969637","0.789364471396094","0.948595368543181"
"No","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","429","0.17300530971353","0.158301109934323","0.187709509492737"
"Yes","2013","lower secondary degree","direct migration background","35","0.102742353482307","0.0740779574910777","0.131406749473535"
"Yes","2013","lower secondary degree","indirect migration background","39","0.147176636367872","0.108237751285973","0.18611552144977"
"Yes","2013","secondary school degree","no migration background","1169","0.239824653981551","0.227756953959168","0.251892354003933"
"Yes","2013","secondary school degree","direct migration background","52","0.154159950115824","0.11566359216816","0.192656308063488"
"Yes","2013","secondary school degree","indirect migration background","59","0.187735413631107","0.148316987750768","0.227153839511445"
"Yes","2013","college entrance qualification","no migration background","1646","0.376775442577539","0.36253801071046","0.391012874444618"
"Yes","2013","college entrance qualification","direct migration background","84","0.212761209393101","0.169386706956682","0.256135711829521"
"Yes","2013","college entrance qualification","indirect migration background","96","0.220906509227417","0.181965796973604","0.25984722148123"
"Yes","2013","Other degree","no migration background","","","",""
"Yes","2013","Other degree","direct migration background","336","0.158416948575839","0.143663741452706","0.173170155698972"
"Yes","2013","Other degree","indirect migration background","","","",""
"Yes","2013","no degree/no degree yet","no migration background","","","",""
"Yes","2013","no degree/no degree yet","direct migration background","","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","","","",""
"No","2013","lower secondary degree","no migration background","2113","0.82699469028647","0.812290490507263","0.841698890065677"
"No","2013","lower secondary degree","direct migration background","396","0.897257646517693","0.868593250526465","0.925922042508922"
"No","2013","lower secondary degree","indirect migration background","279","0.852823363632128","0.81388447855023","0.891762248714027"
"No","2013","secondary school degree","no migration background","3640","0.760175346018449","0.748107645996067","0.772243046040832"
"No","2013","secondary school degree","direct migration background","286","0.845840049884176","0.807343691936512","0.88433640783184"
"No","2013","secondary school degree","indirect migration background","318","0.812264586368893","0.772846160488554","0.851683012249232"
"No","2013","college entrance qualification","no migration background","2804","0.623224557422461","0.608987125555382","0.63746198928954"
"No","2013","college entrance qualification","direct migration background","258","0.787238790606899","0.743864288170479","0.830613293043318"
"No","2013","college entrance qualification","indirect migration background","340","0.779093490772583","0.74015277851877","0.818034203026396"
"No","2013","Other degree","no migration background","46","0.79857646780088","0.699540904923965","0.897612030677796"
"No","2013","Other degree","direct migration background","2017","0.841583051424161","0.826829844301028","0.856336258547294"
"No","2013","Other degree","indirect migration background","52","0.945256658365057","0.886713706214924","1.00379961051519"
"No","2013","no degree/no degree yet","no migration background","123","0.875009681979811","0.819223604899709","0.930795759059913"
"No","2013","no degree/no degree yet","direct migration background","181","0.93330465193365","0.89810576555826","0.968503538309039"
"No","2013","no degree/no degree yet","indirect migration background","36","0.890601662567507","0.796201974865737","0.985001350269278"
"Yes","2014","lower secondary degree","no migration background","398","0.176256238976961","0.160629499934176","0.191882978019745"
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","43","0.185493743081597","0.138694697201474","0.23229278896172"
"Yes","2014","secondary school degree","no migration background","1036","0.230336336635829","0.217713337526959","0.242959335744699"
"Yes","2014","secondary school degree","direct migration background","44","0.132393453179621","0.0929764514713074","0.171810454887934"
"Yes","2014","secondary school degree","indirect migration background","58","0.24516114074981","0.198677184516952","0.291645096982669"
"Yes","2014","college entrance qualification","no migration background","1548","0.382669152807748","0.367894108377638","0.397444197237858"
"Yes","2014","college entrance qualification","direct migration background","69","0.219252072980477","0.173195192598366","0.265308953362588"
"Yes","2014","college entrance qualification","indirect migration background","95","0.26117972610551","0.217300712159427","0.305058740051593"
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","277","0.181047337672609","0.163576338534916","0.198518336810303"
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"No","2014","lower secondary degree","no migration background","1886","0.823743761023039","0.808117021980255","0.839370500065824"
"No","2014","lower secondary degree","direct migration background","334","0.90362762490918","0.873228237184696","0.934027012633665"
"No","2014","lower secondary degree","indirect migration background","222","0.814506256918403","0.76770721103828","0.861305302798526"
"No","2014","secondary school degree","no migration background","3238","0.769663663364171","0.757040664255301","0.782286662473041"
"No","2014","secondary school degree","direct migration background","240","0.867606546820379","0.828189545112066","0.907023548528692"
"No","2014","secondary school degree","indirect migration background","271","0.75483885925019","0.708354903017331","0.801322815483048"
"No","2014","college entrance qualification","no migration background","2609","0.617330847192252","0.602555802762142","0.632105891622362"
"No","2014","college entrance qualification","direct migration background","241","0.780747927019523","0.734691046637412","0.826804807401634"
"No","2014","college entrance qualification","indirect migration background","290","0.73882027389449","0.694941259948407","0.782699287840573"
"No","2014","Other degree","no migration background","48","0.820665648800907","0.72359513320735","0.917736164394465"
"No","2014","Other degree","direct migration background","1589","0.818952662327391","0.801481663189697","0.836423661465084"
"No","2014","Other degree","indirect migration background","34","0.775384753803443","0.644408057457158","0.906361450149727"
"No","2014","no degree/no degree yet","no migration background","90","0.88616676225777","0.824529934656481","0.947803589859058"
"No","2014","no degree/no degree yet","direct migration background","112","0.938345716130027","0.895665044755105","0.981026387504949"
"No","2014","no degree/no degree yet","indirect migration background","34","0.919387528427595","0.830457739170699","1.00831731768449"
"Yes","2015","lower secondary degree","no migration background","380","0.183784790286118","0.167168120414354","0.200401460157883"
"Yes","2015","lower secondary degree","direct migration background","","","",""
"Yes","2015","lower secondary degree","indirect migration background","38","0.180987250223565","0.132678867313181","0.229295633133949"
"Yes","2015","secondary school degree","no migration background","969","0.226853388899884","0.213983903458502","0.239722874341266"
"Yes","2015","secondary school degree","direct migration background","41","0.152314224758108","0.109999074593801","0.194629374922416"
"Yes","2015","secondary school degree","indirect migration background","51","0.192037094746414","0.14685722860036","0.237216960892469"
"Yes","2015","college entrance qualification","no migration background","1520","0.378272068126524","0.363234000773294","0.393310135479754"
"Yes","2015","college entrance qualification","direct migration background","56","0.228601958309098","0.179848559206416","0.27735535741178"
"Yes","2015","college entrance qualification","indirect migration background","91","0.268909752828783","0.223484608037424","0.314334897620143"
"Yes","2015","Other degree","no migration background","","","",""
"Yes","2015","Other degree","direct migration background","316","0.152490764181373","0.138132106560399","0.166849421802346"
"Yes","2015","Other degree","indirect migration background","","","",""
"Yes","2015","no degree/no degree yet","no migration background","","","",""
"Yes","2015","no degree/no degree yet","direct migration background","","","",""
"Yes","2015","no degree/no degree yet","indirect migration background","","","",""
"No","2015","lower secondary degree","no migration background","1707","0.816215209713882","0.799598539842117","0.832831879585646"
"No","2015","lower secondary degree","direct migration background","293","0.908110636434732","0.876410965605224","0.93981030726424"
"No","2015","lower secondary degree","indirect migration background","206","0.819012749776435","0.770704366866052","0.867321132686819"
"No","2015","secondary school degree","no migration background","3099","0.773146611100116","0.760277125658734","0.786016096541498"
"No","2015","secondary school degree","direct migration background","236","0.847685775241892","0.805370625077584","0.890000925406199"
"No","2015","secondary school degree","indirect migration background","241","0.807962905253586","0.762783039107531","0.85314277139964"
"No","2015","college entrance qualification","no migration background","2475","0.621727931873476","0.606689864520246","0.636765999226706"
"No","2015","college entrance qualification","direct migration background","229","0.771398041690902","0.72264464258822","0.820151440793584"
"No","2015","college entrance qualification","indirect migration background","275","0.731090247171217","0.685665102379857","0.776515391962576"
"No","2015","Other degree","no migration background","42","0.785246084341316","0.677691850031925","0.892800318650708"
"No","2015","Other degree","direct migration background","2092","0.847509235818627","0.833150578197654","0.861867893439601"
"No","2015","Other degree","indirect migration background","31","0.634517094528906","0.483380029130958","0.785654159926855"
"No","2015","no degree/no degree yet","no migration background","80","0.754568142117245","0.668928089782366","0.840208194452124"
"No","2015","no degree/no degree yet","direct migration background","149","0.880974689199503","0.83111013262372","0.930839245775287"
"No","2015","no degree/no degree yet","indirect migration background","","","",""
"Yes","2016","lower secondary degree","no migration background","343","0.175524957339424","0.15864475487567","0.192405159803178"
"Yes","2016","lower secondary degree","direct migration background","30","0.140172642603353","0.101147135124938","0.179198150081769"
"Yes","2016","lower secondary degree","indirect migration background","31","0.129020123367562","0.0852185592671313","0.172821687467993"
"Yes","2016","secondary school degree","no migration background","907","0.23203913865212","0.218510239614517","0.245568037689722"
"Yes","2016","secondary school degree","direct migration background","37","0.184811190972144","0.134972873999026","0.234649507945261"
"Yes","2016","secondary school degree","indirect migration background","52","0.24865341233056","0.197380954278652","0.299925870382467"
"Yes","2016","college entrance qualification","no migration background","1452","0.375115243316879","0.359731816771658","0.390498669862099"
"Yes","2016","college entrance qualification","direct migration background","63","0.163184219069729","0.119588127154407","0.206780310985052"
"Yes","2016","college entrance qualification","indirect migration background","105","0.330509745115511","0.282252122447102","0.37876736778392"
"Yes","2016","Other degree","no migration background","","","",""
"Yes","2016","Other degree","direct migration background","319","0.149070982814391","0.134235471916466","0.163906493712315"
"Yes","2016","Other degree","indirect migration background","","","",""
"Yes","2016","no degree/no degree yet","no migration background","","","",""
"Yes","2016","no degree/no degree yet","direct migration background","","","",""
"Yes","2016","no degree/no degree yet","indirect migration background","","","",""
"No","2016","lower secondary degree","no migration background","1608","0.824475042660576","0.807594840196822","0.84135524512433"
"No","2016","lower secondary degree","direct migration background","274","0.859827357396647","0.820801849918231","0.898852864875062"
"No","2016","lower secondary degree","indirect migration background","194","0.870979876632438","0.827178312532007","0.914781440732869"
"No","2016","secondary school degree","no migration background","2833","0.76796086134788","0.754431962310278","0.781489760385483"
"No","2016","secondary school degree","direct migration background","196","0.815188809027857","0.765350492054739","0.865027126000974"
"No","2016","secondary school degree","indirect migration background","221","0.75134658766944","0.700074129617533","0.802619045721348"
"No","2016","college entrance qualification","no migration background","2353","0.624884756683121","0.609501330137901","0.640268183228342"
"No","2016","college entrance qualification","direct migration background","213","0.836815780930271","0.793219689014948","0.880411872845593"
"No","2016","college entrance qualification","indirect migration background","260","0.669490254884489","0.62123263221608","0.717747877552898"
"No","2016","Other degree","no migration background","35","0.683655162397531","0.556022470923488","0.811287853871574"
"No","2016","Other degree","direct migration background","1895","0.850929017185609","0.836093506287685","0.865764528083534"
"No","2016","Other degree","indirect migration background","32","0.710655927643804","0.564544489569827","0.85676736571778"
"No","2016","no degree/no degree yet","no migration background","73","0.850405954312962","0.772247961533363","0.928563947092561"
"No","2016","no degree/no degree yet","direct migration background","253","0.910218899782115","0.876308559054588","0.944129240509643"
"No","2016","no degree/no degree yet","indirect migration background","","","",""
"Yes","2017","lower secondary degree","no migration background","386","0.161701140606108","0.146330276774553","0.177072004437663"
"Yes","2017","lower secondary degree","direct migration background","","","",""
"Yes","2017","lower secondary degree","indirect migration background","31","0.163396866474022","0.115821109849162","0.210972623098882"
"Yes","2017","secondary school degree","no migration background","1093","0.235699817630143","0.223190018774523","0.248209616485763"
"Yes","2017","secondary school degree","direct migration background","38","0.17489871577004","0.126838091018974","0.222959340521105"
"Yes","2017","secondary school degree","indirect migration background","55","0.181012162468195","0.137000575328674","0.225023749607716"
"Yes","2017","college entrance qualification","no migration background","1720","0.376982672799944","0.36291494189844","0.391050403701449"
"Yes","2017","college entrance qualification","direct migration background","70","0.216016057228385","0.167640910598439","0.264391203858332"
"Yes","2017","college entrance qualification","indirect migration background","128","0.296423803933284","0.253458752781833","0.339388855084736"
"Yes","2017","Other degree","no migration background","","","",""
"Yes","2017","Other degree","direct migration background","296","0.156493331483989","0.141794469082322","0.171192193885656"
"Yes","2017","Other degree","indirect migration background","","","",""
"Yes","2017","no degree/no degree yet","no migration background","","","",""
"Yes","2017","no degree/no degree yet","direct migration background","31","0.121641056751529","0.0869984037314702","0.156283709771587"
"Yes","2017","no degree/no degree yet","indirect migration background","","","",""
"No","2017","lower secondary degree","no migration background","1818","0.838298859393892","0.822927995562337","0.853669723225447"
"No","2017","lower secondary degree","direct migration background","270","0.857918516995275","0.817941899720647","0.897895134269904"
"No","2017","lower secondary degree","indirect migration background","201","0.836603133525978","0.789027376901118","0.884178890150838"
"No","2017","secondary school degree","no migration background","3329","0.764300182369857","0.751790383514237","0.776809981225477"
"No","2017","secondary school degree","direct migration background","202","0.82510128422996","0.777040659478895","0.873161908981026"
"No","2017","secondary school degree","indirect migration background","239","0.818987837531805","0.774976250392284","0.862999424671326"
"No","2017","college entrance qualification","no migration background","2839","0.623017327200056","0.608949596298552","0.63708505810156"
"No","2017","college entrance qualification","direct migration background","208","0.783983942771615","0.735608796141669","0.832359089401561"
"No","2017","college entrance qualification","indirect migration background","306","0.703576196066716","0.660611144915264","0.746541247218167"
"No","2017","Other degree","no migration background","38","0.771743541158289","0.657667495426177","0.885819586890402"
"No","2017","Other degree","direct migration background","2051","0.843506668516011","0.828807806114344","0.858205530917678"
"No","2017","Other degree","indirect migration background","","","",""
"No","2017","no degree/no degree yet","no migration background","115","0.87790959666408","0.82141344080628","0.93440575252188"
"No","2017","no degree/no degree yet","direct migration background","311","0.878358943248471","0.843716290228413","0.91300159626853"
"No","2017","no degree/no degree yet","indirect migration background","33","0.968666059293268","0.910948412129238","1.0263837064573"
"Yes","2018","lower secondary degree","no migration background","350","0.189954365289125","0.172403845400422","0.207504885177828"
"Yes","2018","lower secondary degree","direct migration background","","","",""
"Yes","2018","lower secondary degree","indirect migration background","30","0.129294774836528","0.086577850011346","0.17201169966171"
"Yes","2018","secondary school degree","no migration background","989","0.231572171460835","0.218612451636438","0.244531891285232"
"Yes","2018","secondary school degree","direct migration background","44","0.238229430820422","0.182566427724259","0.293892433916584"
"Yes","2018","secondary school degree","indirect migration background","56","0.170973552249959","0.128228227656555","0.213718876843364"
"Yes","2018","college entrance qualification","no migration background","1623","0.376719919566015","0.36217570044113","0.3912641386909"
"Yes","2018","college entrance qualification","direct migration background","63","0.203440509990159","0.15568817709684","0.251192842883478"
"Yes","2018","college entrance qualification","indirect migration background","123","0.302315610486103","0.25780677552965","0.346824445442557"
"Yes","2018","Other degree","no migration background","","","",""
"Yes","2018","Other degree","direct migration background","340","0.184560347397899","0.168865515849539","0.20025517894626"
"Yes","2018","Other degree","indirect migration background","","","",""
"Yes","2018","no degree/no degree yet","no migration background","","","",""
"Yes","2018","no degree/no degree yet","direct migration background","","","",""
"Yes","2018","no degree/no degree yet","indirect migration background","","","",""
"No","2018","lower secondary degree","no migration background","1569","0.810045634710875","0.792495114822172","0.827596154599578"
"No","2018","lower secondary degree","direct migration background","254","0.833080535516737","0.789323995397614","0.876837075635861"
"No","2018","lower secondary degree","indirect migration background","207","0.870705225163472","0.82798830033829","0.913422149988654"
"No","2018","secondary school degree","no migration background","3081","0.768427828539165","0.755468108714768","0.781387548363562"
"No","2018","secondary school degree","direct migration background","181","0.761770569179578","0.706107566083416","0.817433572275741"
"No","2018","secondary school degree","indirect migration background","242","0.829026447750041","0.786281123156636","0.871771772343445"
"No","2018","college entrance qualification","no migration background","2641","0.623280080433985","0.6087358613091","0.63782429955887"
"No","2018","college entrance qualification","direct migration background","210","0.796559490009841","0.748807157116522","0.84431182290316"
"No","2018","college entrance qualification","indirect migration background","286","0.697684389513897","0.653175554557443","0.742193224470351"
"No","2018","Other degree","no migration background","42","0.715221921259347","0.601027167555736","0.829416674962958"
"No","2018","Other degree","direct migration background","2007","0.815439652602101","0.79974482105374","0.831134484150461"
"No","2018","Other degree","indirect migration background","","","",""
"No","2018","no degree/no degree yet","no migration background","84","0.8718849573128","0.803958921153898","0.939810993471703"
"No","2018","no degree/no degree yet","direct migration background","382","0.941592602941826","0.918892825050602","0.96429238083305"
"No","2018","no degree/no degree yet","indirect migration background","30","0.917706867867395","0.822491535249463","1.01292220048533"
"Yes","2019","lower secondary degree","no migration background","308","0.178339212493298","0.160455344311684","0.196223080674912"
"Yes","2019","lower secondary degree","direct migration background","","","",""
"Yes","2019","lower secondary degree","indirect migration background","","","",""
"Yes","2019","secondary school degree","no migration background","948","0.23953015021869","0.226232155397639","0.252828145039741"
"Yes","2019","secondary school degree","direct migration background","43","0.288924818673623","0.225949302206514","0.351900335140732"
