"party","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"NPD","2002","16-34 y.","Urban Area","25","","","","6"
"NPD","2002","35-65 y.","Urban Area","21","","","","6"
"NPD","2002","66 and older","Rural Area","1","","","","6"
"Other","2002","16-34 y.","Urban Area","22","","","","8"
"Other","2002","16-34 y.","Rural Area","9","","","","8"
"Other","2002","35-65 y.","Urban Area","35","0.0109264201568677","0.00789747054910169","0.0139553697646337","8"
"Other","2002","35-65 y.","Rural Area","26","","","","8"
"Other","2002","66 and older","Urban Area","10","","","","8"
"Other","2002","66 and older","Rural Area","1","","","","8"
"PDS/Linke","2002","16-34 y.","Rural Area","54","0.108548543745578","0.0820402908561519","0.135056796635005","5"
"PDS/Linke","2002","16-34 y.","Urban Area","61","0.0366881314948521","0.026854571095699","0.0465216918940052","5"
"PDS/Linke","2002","35-65 y.","Urban Area","134","0.0308678100423466","0.025828359141562","0.0359072609431313","5"
"PDS/Linke","2002","35-65 y.","Rural Area","167","0.071109018070369","0.0594791071542987","0.0827389289864393","5"
"PDS/Linke","2002","66 and older","Urban Area","50","0.0291741502578548","0.0205884704937023","0.0377598300220073","5"
"PDS/Linke","2002","66 and older","Rural Area","87","0.13162819897608","0.104137400744455","0.159118997207704","5"
"SPD","2002","66 and older","Urban Area","600","0.410713385537275","0.385615471411629","0.435811299662921","1"
"SPD","2002","66 and older","Rural Area","198","0.367678324991333","0.328471373658964","0.406885276323703","1"
"SPD","2002","35-65 y.","Rural Area","659","0.390457179458478","0.368381174113911","0.412533184803045","1"
"SPD","2002","16-34 y.","Urban Area","603","0.433092312057055","0.407173747365381","0.459010876748729","1"
"SPD","2002","35-65 y.","Urban Area","2030","0.466188762616039","0.451653812165449","0.480723713066629","1"
"SPD","2002","16-34 y.","Rural Area","175","0.301104466527144","0.26201272789649","0.340196205157798","1"
"AfD","2003","16-34 y.","Urban Area","","","","","7"
"AfD","2003","16-34 y.","Rural Area","","","","","7"
"AfD","2003","35-65 y.","Urban Area","","","","","7"
"AfD","2003","35-65 y.","Rural Area","","","","","7"
"AfD","2003","66 and older","Urban Area","","","","","7"
"AfD","2003","66 and older","Rural Area","","","","","7"
"CDU/CSU","2003","35-65 y.","Rural Area","914","0.494464744845937","0.471834417035365","0.517095072656508","2"
"CDU/CSU","2003","66 and older","Rural Area","315","0.471698789990313","0.433381262562688","0.510016317417938","2"
"CDU/CSU","2003","16-34 y.","Urban Area","551","0.353728235365628","0.329402073320345","0.378054397410911","2"
"CDU/CSU","2003","16-34 y.","Rural Area","295","0.49643447057922","0.456021721935956","0.536847219222484","2"
"CDU/CSU","2003","35-65 y.","Urban Area","1822","0.392224052956071","0.377912570517983","0.406535535394158","2"
"CDU/CSU","2003","66 and older","Urban Area","759","0.515437221185787","0.489863380923103","0.54101106144847","2"
"FDP","2003","66 and older","Rural Area","14","","","","3"
"FDP","2003","66 and older","Urban Area","47","0.0291337732770098","0.0205275799244472","0.0377399666295724","3"
"FDP","2003","16-34 y.","Urban Area","76","0.0508038428473746","0.0396311616130591","0.0619765240816902","3"
"FDP","2003","35-65 y.","Urban Area","199","0.041657892837928","0.0358011697514525","0.0475146159244034","3"
"FDP","2003","35-65 y.","Rural Area","53","0.0236592811609372","0.0167799070332584","0.0305386552886159","3"
"FDP","2003","16-34 y.","Rural Area","35","0.0712447622449464","0.0504532280555185","0.0920362964343743","3"
"NPD","2003","16-34 y.","Urban Area","19","","","","6"
"NPD","2003","35-65 y.","Urban Area","20","","","","6"
"NPD","2003","66 and older","Rural Area","1","","","","6"
"NPD","2003","16-34 y.","Rural Area","7","","","","6"
"NPD","2003","35-65 y.","Rural Area","16","","","","6"
"NPD","2003","66 and older","Urban Area","2","","","","6"
"Other","2003","16-34 y.","Urban Area","27","","","","8"
"Other","2003","16-34 y.","Rural Area","11","","","","8"
"Other","2003","35-65 y.","Urban Area","25","","","","8"
"Other","2003","35-65 y.","Rural Area","20","","","","8"
"Other","2003","66 and older","Urban Area","4","","","","8"
"Other","2003","66 and older","Rural Area","4","","","","8"
"PDS/Linke","2003","16-34 y.","Urban Area","33","0.0202424902301671","0.0130773876862289","0.0274075927741053","5"
"PDS/Linke","2003","16-34 y.","Rural Area","41","0.0651437030260115","0.0451971398064099","0.0850902662456131","5"
"PDS/Linke","2003","35-65 y.","Urban Area","86","0.0172398653760168","0.0134244971666398","0.0210552335853939","5"
"PDS/Linke","2003","35-65 y.","Rural Area","111","0.0426866405275466","0.0335366529761415","0.0518366280789518","5"
"PDS/Linke","2003","66 and older","Urban Area","36","0.0193445356707607","0.0122964623189232","0.0263926090225982","5"
"PDS/Linke","2003","66 and older","Rural Area","79","0.107440168870697","0.0836703264168441","0.131210011324551","5"
"SPD","2003","66 and older","Urban Area","580","0.405325952863959","0.380202765748556","0.430449139979362","1"
"SPD","2003","66 and older","Rural Area","235","0.385473706528656","0.348114993408197","0.422832419649115","1"
"SPD","2003","16-34 y.","Rural Area","153","0.220044814555016","0.186559851645306","0.253529777464727","1"
"SPD","2003","35-65 y.","Rural Area","632","0.356747913844428","0.335064943403903","0.378430884284953","1"
"SPD","2003","16-34 y.","Urban Area","523","0.350342381742265","0.326069589010857","0.374615174473672","1"
"SPD","2003","35-65 y.","Urban Area","1791","0.423346230228757","0.408863475617583","0.437828984839931","1"
"AfD","2004","16-34 y.","Urban Area","","","","","7"
"AfD","2004","16-34 y.","Rural Area","","","","","7"
"AfD","2004","35-65 y.","Urban Area","","","","","7"
"AfD","2004","35-65 y.","Rural Area","","","","","7"
"AfD","2004","66 and older","Urban Area","","","","","7"
"AfD","2004","66 and older","Rural Area","","","","","7"
"CDU/CSU","2004","35-65 y.","Rural Area","769","0.494099402736566","0.469423559367307","0.518775246105826","2"
"CDU/CSU","2004","35-65 y.","Urban Area","1570","0.399747555157823","0.384164777783374","0.415330332532272","2"
"CDU/CSU","2004","66 and older","Urban Area","723","0.531334542183326","0.504783983424298","0.557885100942354","2"
"CDU/CSU","2004","66 and older","Rural Area","290","0.510683076205224","0.46978875572876","0.551577396681687","2"
"CDU/CSU","2004","16-34 y.","Urban Area","437","0.373614121790527","0.346082083356235","0.401146160224819","2"
"CDU/CSU","2004","16-34 y.","Rural Area","242","0.490880140193493","0.446157727748221","0.535602552638766","2"
"FDP","2004","66 and older","Rural Area","17","","","","3"
"FDP","2004","66 and older","Urban Area","50","0.0317453175115866","0.0224172257909882","0.041073409232185","3"
"FDP","2004","16-34 y.","Urban Area","68","0.0607992945303583","0.047199441296453","0.0743991477642635","3"
"FDP","2004","16-34 y.","Rural Area","26","","","","3"
"FDP","2004","35-65 y.","Urban Area","170","0.0369905745215272","0.0309865038381006","0.0429946452049538","3"
"FDP","2004","35-65 y.","Rural Area","52","0.027357892154762","0.0193068871877977","0.0354088971217263","3"
"NPD","2004","16-34 y.","Urban Area","20","","","","6"
"NPD","2004","66 and older","Rural Area","2","","","","6"
"NPD","2004","16-34 y.","Rural Area","8","","","","6"
"NPD","2004","35-65 y.","Urban Area","22","","","","6"
"NPD","2004","35-65 y.","Rural Area","16","","","","6"
"NPD","2004","66 and older","Urban Area","1","","","","6"
"Other","2004","16-34 y.","Urban Area","12","","","","8"
"Other","2004","35-65 y.","Rural Area","29","","","","8"
"Other","2004","66 and older","Urban Area","7","","","","8"
"Other","2004","16-34 y.","Rural Area","12","","","","8"
"Other","2004","35-65 y.","Urban Area","29","","","","8"
"Other","2004","66 and older","Rural Area","3","","","","8"
"PDS/Linke","2004","16-34 y.","Urban Area","34","0.0276843062606508","0.01834690081927","0.0370217117020316","5"
"PDS/Linke","2004","16-34 y.","Rural Area","35","0.0610012196040669","0.0395905995140639","0.0824118396940699","5"
"PDS/Linke","2004","35-65 y.","Urban Area","98","0.0252172912838023","0.0202297314930629","0.0302048510745416","5"
"PDS/Linke","2004","35-65 y.","Rural Area","129","0.0657704410707673","0.0535362735305351","0.0780046086109994","5"
"PDS/Linke","2004","66 and older","Urban Area","43","0.0262302996077228","0.0177269913869737","0.0347336078284719","5"
"PDS/Linke","2004","66 and older","Rural Area","80","0.112349887833893","0.0865154287658082","0.138184346901979","5"
"SPD","2004","66 and older","Urban Area","487","0.374657048806849","0.348903667947404","0.400410429666293","1"
"SPD","2004","66 and older","Rural Area","174","0.317507182237947","0.279425338695038","0.355589025780855","1"
"SPD","2004","16-34 y.","Rural Area","115","0.249757270183957","0.21103262567694","0.288481914690975","1"
"SPD","2004","35-65 y.","Urban Area","1443","0.401240377317778","0.385647956142442","0.416832798493114","1"
"SPD","2004","16-34 y.","Urban Area","416","0.335326290305062","0.308457766936251","0.362194813673872","1"
"SPD","2004","35-65 y.","Rural Area","463","0.314692161558914","0.291771979829902","0.337612343287927","1"
"AfD","2005","16-34 y.","Rural Area","","","","","7"
"AfD","2005","16-34 y.","Urban Area","","","","","7"
"AfD","2005","35-65 y.","Urban Area","","","","","7"
"AfD","2005","35-65 y.","Rural Area","","","","","7"
"AfD","2005","66 and older","Urban Area","","","","","7"
"AfD","2005","66 and older","Rural Area","","","","","7"
"CDU/CSU","2005","35-65 y.","Rural Area","709","0.464732789649604","0.439798434841235","0.489667144457973","2"
"CDU/CSU","2005","66 and older","Urban Area","772","0.508708273906771","0.483625535435159","0.533791012378383","2"
"CDU/CSU","2005","66 and older","Rural Area","299","0.517497564821323","0.478227934880488","0.556767194762158","2"
"CDU/CSU","2005","16-34 y.","Urban Area","358","0.290486444936269","0.264349810878287","0.316623078994251","2"
"CDU/CSU","2005","16-34 y.","Rural Area","205","0.4504706453879","0.404449903388152","0.496491387387649","2"
"CDU/CSU","2005","35-65 y.","Urban Area","1422","0.360170674490188","0.344717310175005","0.37562403880537","2"
"FDP","2005","35-65 y.","Rural Area","49","0.0245733985643577","0.0168333966647666","0.0323134004639489","3"
"FDP","2005","66 and older","Rural Area","17","","","","3"
"FDP","2005","16-34 y.","Urban Area","66","0.0531275188470267","0.0402149726738843","0.0660400650201691","3"
"FDP","2005","66 and older","Urban Area","55","0.026240973933446","0.0182207490239898","0.0342611988429023","3"
"FDP","2005","16-34 y.","Rural Area","30","0.0730369436890375","0.0489696404944526","0.0971042468836225","3"
"FDP","2005","35-65 y.","Urban Area","168","0.0384005777253017","0.0322146794489159","0.0445864760016876","3"
"NPD","2005","16-34 y.","Rural Area","24","","","","6"
"NPD","2005","66 and older","Urban Area","6","","","","6"
"NPD","2005","16-34 y.","Urban Area","41","0.0449500842457655","0.0330216164236522","0.0568785520678787","6"
"NPD","2005","35-65 y.","Rural Area","29","","","","6"
"NPD","2005","35-65 y.","Urban Area","28","","","","6"
"NPD","2005","66 and older","Rural Area","1","","","","6"
"Other","2005","16-34 y.","Urban Area","8","","","","8"
"Other","2005","35-65 y.","Rural Area","25","","","","8"
"Other","2005","66 and older","Urban Area","9","","","","8"
"Other","2005","66 and older","Rural Area","4","","","","8"
"Other","2005","16-34 y.","Rural Area","5","","","","8"
"Other","2005","35-65 y.","Urban Area","34","0.0122552103556958","0.00871344686515119","0.0157969738462405","8"
"PDS/Linke","2005","35-65 y.","Urban Area","102","0.0261673486713844","0.0210285828781353","0.0313061144646335","5"
"PDS/Linke","2005","16-34 y.","Urban Area","35","0.0263250915543774","0.0171079064910855","0.0355422766176692","5"
"PDS/Linke","2005","16-34 y.","Rural Area","36","0.0647794689407977","0.0420127404453281","0.0875461974362673","5"
"PDS/Linke","2005","35-65 y.","Rural Area","128","0.0676806992283726","0.0551225420841407","0.0802388563726046","5"
"PDS/Linke","2005","66 and older","Urban Area","48","0.0237795947942154","0.0161351316747645","0.0314240579136663","5"
"PDS/Linke","2005","66 and older","Rural Area","88","0.106010923131957","0.081817667570955","0.13020417869296","5"
"SPD","2005","66 and older","Urban Area","596","0.407989606143557","0.383331481721417","0.432647730565696","1"
"SPD","2005","35-65 y.","Urban Area","1490","0.424472089112526","0.408561195845358","0.440382982379694","1"
"SPD","2005","66 and older","Rural Area","205","0.333175548886971","0.296133481481853","0.370217616292088","1"
"SPD","2005","35-65 y.","Rural Area","472","0.308189339694903","0.285105205602871","0.331273473786935","1"
"SPD","2005","16-34 y.","Rural Area","105","0.228872244842469","0.190013868271274","0.267730621413664","1"
"SPD","2005","16-34 y.","Urban Area","429","0.361175023812069","0.333521137581356","0.388828910042782","1"
"AfD","2006","16-34 y.","Rural Area","","","","","7"
"AfD","2006","16-34 y.","Urban Area","","","","","7"
"AfD","2006","35-65 y.","Urban Area","","","","","7"
"AfD","2006","35-65 y.","Rural Area","","","","","7"
"AfD","2006","66 and older","Urban Area","","","","","7"
"AfD","2006","66 and older","Rural Area","","","","","7"
"CDU/CSU","2006","16-34 y.","Rural Area","205","0.369802229653802","0.32826977439368","0.411334684913924","2"
"CDU/CSU","2006","35-65 y.","Rural Area","827","0.451049906716383","0.428326051770338","0.473773761662428","2"
"CDU/CSU","2006","35-65 y.","Urban Area","1642","0.36437761070835","0.34990552012761","0.378849701289089","2"
"CDU/CSU","2006","16-34 y.","Urban Area","399","0.278193120508846","0.254055869878599","0.302330371139093","2"
"CDU/CSU","2006","66 and older","Urban Area","869","0.503144051426269","0.479459910915048","0.52682819193749","2"
"CDU/CSU","2006","66 and older","Rural Area","382","0.508062220116736","0.472635502739051","0.543488937494421","2"
"FDP","2006","35-65 y.","Rural Area","70","0.0419377073022229","0.0327838846510518","0.0510915299533939","3"
"FDP","2006","66 and older","Rural Area","19","","","","3"
"FDP","2006","66 and older","Urban Area","67","0.032773414752625","0.0243396560671368","0.0412071734381132","3"
"FDP","2006","16-34 y.","Urban Area","72","0.0623892660530405","0.049361488871428","0.075417043234653","3"
"FDP","2006","16-34 y.","Rural Area","40","0.0810135170185692","0.0575389431599623","0.104488090877176","3"
"FDP","2006","35-65 y.","Urban Area","225","0.0453945464808283","0.0391346142254427","0.051654478736214","3"
"NPD","2006","16-34 y.","Rural Area","26","","","","6"
"NPD","2006","66 and older","Urban Area","3","","","","6"
"NPD","2006","35-65 y.","Rural Area","28","","","","6"
"NPD","2006","16-34 y.","Urban Area","40","0.0386627935582896","0.0282782218581636","0.0490473652584156","6"
"NPD","2006","35-65 y.","Urban Area","34","0.0133430037689092","0.00989263319593143","0.0167933743418869","6"
"NPD","2006","66 and older","Rural Area","1","","","","6"
"Other","2006","16-34 y.","Urban Area","17","","","","8"
"Other","2006","35-65 y.","Rural Area","20","","","","8"
"Other","2006","66 and older","Urban Area","6","","","","8"
"Other","2006","66 and older","Rural Area","6","","","","8"
"Other","2006","16-34 y.","Rural Area","6","","","","8"
"Other","2006","35-65 y.","Urban Area","37","0.0103556873633029","0.00731140543984612","0.0133999692867597","8"
"PDS/Linke","2006","16-34 y.","Urban Area","50","0.0307875781407972","0.0214829001534723","0.040092256128122","5"
"PDS/Linke","2006","16-34 y.","Rural Area","43","0.0884337838290434","0.0640069247708203","0.112860642887266","5"
"PDS/Linke","2006","35-65 y.","Urban Area","184","0.0477499777677844","0.0413376174247469","0.0541623381108218","5"
"PDS/Linke","2006","66 and older","Rural Area","97","0.104427949322237","0.0827570959294061","0.126098802715068","5"
"PDS/Linke","2006","35-65 y.","Rural Area","179","0.0916505166065301","0.0784741028586917","0.104826930354368","5"
"PDS/Linke","2006","66 and older","Urban Area","63","0.0303214245696528","0.0221990144971716","0.038443834642134","5"
"SPD","2006","66 and older","Urban Area","664","0.410918751858705","0.387613071262456","0.434224432454954","1"
"SPD","2006","66 and older","Rural Area","249","0.335046625412596","0.301598976597783","0.368494274227409","1"
"SPD","2006","16-34 y.","Rural Area","151","0.323326380291275","0.283084839109602","0.363567921472947","1"
"SPD","2006","16-34 y.","Urban Area","533","0.407612420800727","0.381143832727661","0.434081008873793","1"
"SPD","2006","35-65 y.","Rural Area","591","0.323048617288811","0.301692811575162","0.34440442300246","1"
"SPD","2006","35-65 y.","Urban Area","1623","0.397433824473017","0.382717795825161","0.412149853120874","1"
"AfD","2007","35-65 y.","Rural Area","","","","","7"
"AfD","2007","66 and older","Urban Area","","","","","7"
"AfD","2007","66 and older","Rural Area","","","","","7"
"AfD","2007","16-34 y.","Rural Area","","","","","7"
"AfD","2007","35-65 y.","Urban Area","","","","","7"
"AfD","2007","16-34 y.","Urban Area","","","","","7"
"CDU/CSU","2007","16-34 y.","Rural Area","179","0.392535206596526","0.346540907333244","0.438529505859807","2"
"CDU/CSU","2007","35-65 y.","Rural Area","651","0.466235463472695","0.44065546624246","0.491815460702929","2"
"CDU/CSU","2007","35-65 y.","Urban Area","1265","0.330485219167464","0.314854571215369","0.346115867119559","2"
"CDU/CSU","2007","16-34 y.","Urban Area","320","0.286072524231959","0.259044700835586","0.313100347628332","2"
"CDU/CSU","2007","66 and older","Urban Area","823","0.495301793890262","0.471140734611356","0.519462853169169","2"
"CDU/CSU","2007","66 and older","Rural Area","323","0.480081265848438","0.442475160630875","0.517687371066001","2"
"FDP","2007","16-34 y.","Urban Area","66","0.0533702257883563","0.0399275553834905","0.0668128961932222","3"
"FDP","2007","35-65 y.","Rural Area","66","0.0449780301431557","0.0343505603345704","0.055605499951741","3"
"FDP","2007","66 and older","Rural Area","15","","","","3"
"FDP","2007","66 and older","Urban Area","69","0.0353323651256132","0.0264108144073817","0.0442539158438447","3"
"FDP","2007","35-65 y.","Urban Area","202","0.0430329201478698","0.0362896620202793","0.0497761782754603","3"
"FDP","2007","16-34 y.","Rural Area","34","0.0801002279873341","0.0545325507876174","0.105667905187051","3"
"NPD","2007","35-65 y.","Urban Area","28","","","","6"
"NPD","2007","35-65 y.","Rural Area","24","","","","6"
"NPD","2007","16-34 y.","Rural Area","23","","","","6"
"NPD","2007","16-34 y.","Urban Area","34","0.0345311074145676","0.0236111650483804","0.0454510497807548","6"
"NPD","2007","66 and older","Rural Area","2","","","","6"
"NPD","2007","66 and older","Urban Area","4","","","","6"
"Other","2007","66 and older","Rural Area","5","","","","8"
"Other","2007","16-34 y.","Urban Area","11","","","","8"
"Other","2007","66 and older","Urban Area","6","","","","8"
"Other","2007","35-65 y.","Rural Area","16","","","","8"
"Other","2007","16-34 y.","Rural Area","7","","","","8"
"Other","2007","35-65 y.","Urban Area","33","0.0086638002260226","0.0055842621792138","0.0117433382728314","8"
"PDS/Linke","2007","16-34 y.","Urban Area","42","0.0382002852314773","0.0267366706778197","0.0496638997851349","5"
"PDS/Linke","2007","35-65 y.","Rural Area","143","0.0956872373729316","0.0806034875327401","0.110770987213123","5"
"PDS/Linke","2007","16-34 y.","Rural Area","40","0.0954140763939593","0.0677424120630645","0.123085740724854","5"
"PDS/Linke","2007","35-65 y.","Urban Area","157","0.0488352716901311","0.0416735811780956","0.0559969622021667","5"
"PDS/Linke","2007","66 and older","Urban Area","69","0.0323606726279338","0.0238094017192258","0.0409119435366419","5"
"PDS/Linke","2007","66 and older","Rural Area","99","0.121744002365045","0.0971308299563283","0.146357174773762","5"
"SPD","2007","66 and older","Urban Area","627","0.404119316742703","0.380405601612739","0.427833031872667","1"
"SPD","2007","16-34 y.","Rural Area","106","0.255414560274077","0.214338929804021","0.296490190744134","1"
"SPD","2007","66 and older","Rural Area","222","0.353778574069074","0.317787924557879","0.389769223580269","1"
"SPD","2007","16-34 y.","Urban Area","412","0.375048286306683","0.346094005987579","0.404002566625787","1"
"SPD","2007","35-65 y.","Rural Area","437","0.288100430698782","0.264878180391206","0.311322681006358","1"
"SPD","2007","35-65 y.","Urban Area","1340","0.412937622426998","0.39657679635982","0.429298448494175","1"
"AfD","2008","35-65 y.","Rural Area","","","","","7"
"AfD","2008","66 and older","Urban Area","","","","","7"
"AfD","2008","66 and older","Rural Area","","","","","7"
"AfD","2008","16-34 y.","Rural Area","","","","","7"
"AfD","2008","35-65 y.","Urban Area","","","","","7"
"AfD","2008","16-34 y.","Urban Area","","","","","7"
"CDU/CSU","2008","16-34 y.","Rural Area","148","0.416046400488128","0.365410626401427","0.46668217457483","2"
"CDU/CSU","2008","35-65 y.","Rural Area","629","0.458930106819466","0.432695990786809","0.485164222852123","2"
"CDU/CSU","2008","66 and older","Rural Area","345","0.515587083637377","0.478670573965646","0.552503593309109","2"
"CDU/CSU","2008","66 and older","Urban Area","851","0.502114229700285","0.478061732723247","0.526166726677323","2"
"CDU/CSU","2008","16-34 y.","Urban Area","324","0.304809923580391","0.275930433862371","0.333689413298412","2"
"CDU/CSU","2008","35-65 y.","Urban Area","1203","0.358249000954693","0.341633373671446","0.37486462823794","2"
"FDP","2008","16-34 y.","Rural Area","24","","","","3"
"FDP","2008","35-65 y.","Urban Area","195","0.0487380918550429","0.0412766065973482","0.0561995771127375","3"
"FDP","2008","66 and older","Rural Area","17","","","","3"
"FDP","2008","16-34 y.","Urban Area","62","0.0657637923952921","0.0502132710220021","0.0813143137685822","3"
"FDP","2008","35-65 y.","Rural Area","56","0.0316770387805796","0.0224566575266726","0.0408974200344866","3"
"FDP","2008","66 and older","Urban Area","85","0.0422701422585313","0.0325910993485814","0.0519491851684813","3"
"NPD","2008","35-65 y.","Rural Area","20","","","","6"
"NPD","2008","66 and older","Urban Area","2","","","","6"
"NPD","2008","16-34 y.","Urban Area","29","","","","6"
"NPD","2008","66 and older","Rural Area","","","","","6"
"NPD","2008","16-34 y.","Rural Area","21","","","","6"
"NPD","2008","35-65 y.","Urban Area","29","","","","6"
"Other","2008","66 and older","Rural Area","5","","","","8"
"Other","2008","16-34 y.","Urban Area","8","","","","8"
"Other","2008","66 and older","Urban Area","7","","","","8"
"Other","2008","35-65 y.","Rural Area","13","","","","8"
"Other","2008","16-34 y.","Rural Area","5","","","","8"
"Other","2008","35-65 y.","Urban Area","20","","","","8"
"PDS/Linke","2008","35-65 y.","Rural Area","154","0.105996322541554","0.0897901101037277","0.12220253497938","5"
"PDS/Linke","2008","16-34 y.","Urban Area","48","0.0287221952921753","0.0182435840122952","0.0392008065720554","5"
"PDS/Linke","2008","16-34 y.","Rural Area","35","0.118942137228486","0.085686330785909","0.152197943671063","5"
"PDS/Linke","2008","35-65 y.","Urban Area","176","0.0576896917295859","0.049610143995007","0.0657692394641649","5"
"PDS/Linke","2008","66 and older","Rural Area","116","0.128473740520728","0.103755976346903","0.153191504694554","5"
"PDS/Linke","2008","66 and older","Urban Area","69","0.0321554178495643","0.0236690092647917","0.0406418264343369","5"
"SPD","2008","66 and older","Urban Area","591","0.388046981883849","0.364604950528641","0.411489013239058","1"
"SPD","2008","66 and older","Rural Area","212","0.303796041073091","0.269824045349445","0.337768036796737","1"
"SPD","2008","16-34 y.","Rural Area","91","0.23355527479189","0.19009097784494","0.27701957173884","1"
"SPD","2008","35-65 y.","Rural Area","399","0.284119938173508","0.260376835798529","0.307863040548486","1"
"SPD","2008","16-34 y.","Urban Area","360","0.399199539091178","0.368475145046354","0.429923933136001","1"
"SPD","2008","35-65 y.","Urban Area","1144","0.372227104571683","0.355475892054568","0.388978317088797","1"
"AfD","2009","35-65 y.","Rural Area","","","","","7"
"AfD","2009","35-65 y.","Urban Area","","","","","7"
"AfD","2009","66 and older","Urban Area","","","","","7"
"AfD","2009","66 and older","Rural Area","","","","","7"
"AfD","2009","16-34 y.","Urban Area","","","","","7"
"AfD","2009","16-34 y.","Rural Area","","","","","7"
"CDU/CSU","2009","66 and older","Rural Area","354","0.545585126775942","0.508486949359171","0.582683304192714","2"
"CDU/CSU","2009","16-34 y.","Rural Area","123","0.341811328558799","0.290713490943047","0.39290916617455","2"
"CDU/CSU","2009","35-65 y.","Rural Area","527","0.418767867143406","0.391666239622452","0.445869494664361","2"
"CDU/CSU","2009","16-34 y.","Urban Area","254","0.295326946927966","0.2647309558465","0.325922938009431","2"
"CDU/CSU","2009","66 and older","Urban Area","787","0.486482268817918","0.462098122498737","0.510866415137099","2"
"CDU/CSU","2009","35-65 y.","Urban Area","1013","0.334124522581231","0.316761623315823","0.351487421846639","2"
"FDP","2009","16-34 y.","Rural Area","34","0.129633121924801","0.0934468983620153","0.165819345487588","3"
"FDP","2009","16-34 y.","Urban Area","88","0.0977970430906839","0.0778749878150991","0.117719098366269","3"
"FDP","2009","35-65 y.","Urban Area","243","0.0761906533041353","0.0664247238194663","0.0859565827888043","3"
"FDP","2009","35-65 y.","Rural Area","96","0.076772092029753","0.0621472885528251","0.0913968955066808","3"
"FDP","2009","66 and older","Urban Area","128","0.0621610256065984","0.0503817237808169","0.07394032743238","3"
"FDP","2009","66 and older","Rural Area","22","","","","3"
"NPD","2009","35-65 y.","Rural Area","23","","","","6"
"NPD","2009","66 and older","Urban Area","5","","","","6"
"NPD","2009","16-34 y.","Urban Area","27","","","","6"
"NPD","2009","35-65 y.","Urban Area","23","","","","6"
"NPD","2009","66 and older","Rural Area","4","","","","6"
"NPD","2009","16-34 y.","Rural Area","19","","","","6"
"Other","2009","16-34 y.","Urban Area","16","","","","8"
"Other","2009","16-34 y.","Rural Area","5","","","","8"
"Other","2009","66 and older","Rural Area","5","","","","8"
"Other","2009","35-65 y.","Urban Area","29","","","","8"
"Other","2009","35-65 y.","Rural Area","9","","","","8"
"Other","2009","66 and older","Urban Area","12","","","","8"
"PDS/Linke","2009","35-65 y.","Rural Area","146","0.118037581986242","0.100313282441464","0.13576188153102","5"
"PDS/Linke","2009","35-65 y.","Urban Area","150","0.0555415086130116","0.047110649476775","0.0639723677492483","5"
"PDS/Linke","2009","16-34 y.","Rural Area","25","","","","5"
"PDS/Linke","2009","16-34 y.","Urban Area","39","0.0256971822254784","0.0150848976570354","0.0363094667939214","5"
"PDS/Linke","2009","66 and older","Urban Area","71","0.0380925006407302","0.0287538802292553","0.0474311210522051","5"
"PDS/Linke","2009","66 and older","Rural Area","105","0.113951978215152","0.0902772714562423","0.137626684974062","5"
"SPD","2009","66 and older","Rural Area","185","0.262738820962628","0.229946825111528","0.295530816813728","1"
"SPD","2009","66 and older","Urban Area","559","0.37298660608973","0.349393704663268","0.396579507516193","1"
"SPD","2009","35-65 y.","Rural Area","359","0.267747461477547","0.243423908507336","0.292071014447757","1"
"SPD","2009","16-34 y.","Rural Area","76","0.237279952441488","0.191450233034193","0.283109671848782","1"
"SPD","2009","35-65 y.","Urban Area","929","0.33617627831838","0.318787003310972","0.353565553325787","1"
"SPD","2009","16-34 y.","Urban Area","278","0.331876207870892","0.300294494772294","0.36345792096949","1"
"AfD","2010","35-65 y.","Rural Area","","","","","7"
"AfD","2010","16-34 y.","Rural Area","","","","","7"
"AfD","2010","66 and older","Urban Area","","","","","7"
"AfD","2010","66 and older","Rural Area","","","","","7"
"AfD","2010","16-34 y.","Urban Area","","","","","7"
"AfD","2010","35-65 y.","Urban Area","","","","","7"
"CDU/CSU","2010","66 and older","Rural Area","364","0.512054429777521","0.476702653950473","0.547406205604569","2"
"CDU/CSU","2010","35-65 y.","Rural Area","833","0.433583996454559","0.411627802531366","0.455540190377752","2"
"CDU/CSU","2010","66 and older","Urban Area","815","0.474687954565279","0.450716572358748","0.498659336771811","2"
"CDU/CSU","2010","16-34 y.","Rural Area","228","0.323698503582567","0.287562037638918","0.359834969526216","2"
"CDU/CSU","2010","16-34 y.","Urban Area","477","0.296819416006986","0.274433870185877","0.319204961828096","2"
"CDU/CSU","2010","35-65 y.","Urban Area","1459","0.325367273967672","0.311306500546432","0.339428047388912","2"
"FDP","2010","16-34 y.","Rural Area","71","0.138700552230374","0.112006080130907","0.16539502432984","3"
"FDP","2010","35-65 y.","Rural Area","104","0.0496700167695384","0.0400442120391047","0.0592958214999721","3"
"FDP","2010","66 and older","Urban Area","96","0.0447344407170734","0.0348109753758872","0.0546579060582595","3"
"FDP","2010","66 and older","Rural Area","21","","","","3"
"FDP","2010","35-65 y.","Urban Area","285","0.0552734965414047","0.0484154553051305","0.0621315377776789","3"
"FDP","2010","16-34 y.","Urban Area","133","0.0701866816997207","0.0576693045981297","0.0827040588013117","3"
"NPD","2010","66 and older","Rural Area","1","","","","6"
